timestep,ep_rew_mean,ep_len_mean,correctness_rate,alignment_mean,episode_seconds_mean,episodes,truncation_rate,context_size_mean,examples_seen,dataset_pass,kl_step_mean
6188,0.797023,76.0,1.0000,nan,9.011,2,0.0000,309.5,0,0,0.00000
7112,0.830248,44.8,1.0000,nan,4.647,1,0.0000,286.0,0,0,0.00000
25452,0.262443,185.0,0.5000,nan,18.134,4,0.0000,365.8,0,0,0.00000
32060,0.279351,150.6,0.0000,nan,27.067,1,0.0000,425.0,0,0,0.00000
47320,-0.083870,197.1,0.7500,nan,16.582,4,0.0000,364.2,0,0,0.00000
54208,0.361459,67.6,0.0000,nan,28.566,1,0.0000,434.0,0,0,0.00000
63280,0.455932,141.9,1.0000,nan,30.644,1,0.0000,433.0,0,0,0.00000
77756,0.422458,182.8,1.0000,nan,71.570,1,1.0000,711.0,0,0,0.00000
91532,0.162969,134.2,1.0000,nan,9.088,6,0.0000,314.2,0,0,0.00000
103460,-0.528805,243.6,0.0000,nan,33.428,1,0.0000,451.0,0,0,0.00000
112896,-0.051208,190.4,0.0000,nan,44.573,1,0.0000,536.0,0,0,0.00000
119196,0.173696,150.4,1.0000,nan,13.769,1,0.0000,337.0,0,0,0.00000
130172,0.447686,163.2,1.0000,nan,30.446,1,0.0000,434.0,0,0,0.00000
134288,0.191330,129.7,0.0000,nan,13.137,1,0.0000,330.0,0,0,0.00000
141820,0.022212,120.8,0.5000,nan,15.088,2,0.0000,348.5,0,0,0.00000
143808,0.215252,96.8,1.0000,nan,3.110,1,0.0000,275.0,0,0,0.00000
159684,0.740313,156.4,1.0000,nan,17.250,3,0.0000,361.3,0,0,0.00000
164444,0.732966,154.1,1.0000,nan,16.012,1,0.0000,345.0,0,0,0.00000
172984,0.759667,123.2,1.0000,nan,21.801,1,0.0000,385.0,0,0,0.00000
177072,0.774130,110.9,1.0000,nan,12.935,1,0.0000,333.0,0,0,0.00000
188048,0.740686,128.1,1.0000,nan,42.106,1,0.0000,510.0,0,0,0.00000
196392,0.713907,157.8,1.0000,nan,22.123,1,0.0000,387.0,0,0,0.00000
207144,0.430107,175.4,0.0000,nan,34.484,1,0.0000,458.0,0,0,0.00000
208880,0.491440,102.9,1.0000,nan,3.688,1,0.0000,278.0,0,0,0.00000
220220,0.469240,128.2,1.0000,nan,35.085,1,0.0000,464.0,0,0,0.00000
223860,0.259309,72.9,0.5000,nan,5.369,2,0.0000,289.0,0,0,0.00000
235508,0.282478,170.1,1.0000,nan,50.675,1,0.0000,576.0,0,0,0.00000
248276,0.207866,240.5,1.0000,nan,44.220,1,0.0000,516.0,0,0,0.00000
257460,0.529938,195.9,1.0000,nan,25.480,1,0.0000,404.0,0,0,0.00000
271404,0.106187,213.6,0.0000,nan,45.676,1,0.0000,529.0,0,0,0.00000
275884,0.810986,68.4,1.0000,nan,5.343,3,0.0000,291.3,0,0,0.00000
278544,0.813202,73.7,1.0000,nan,11.742,1,0.0000,338.0,0,0,0.00000
304192,-0.249662,281.4,0.0000,nan,76.948,1,1.0000,717.0,0,0,0.00000
320124,-0.313885,313.8,1.0000,nan,77.627,1,1.0000,756.0,0,0,0.00000
