timestep,correct_full,correct_random,correct_kv_norm,correct_learned,retention,evict_attn_percentile,evict_mean_pos_frac,evict_sink_frac,evict_generated_frac,truncation_rate
141820,0.7500,0.5625,0.6250,0.5938,0.6250,nan,0.5376,0.0000,0.7577,0.3125
271404,0.7500,0.5625,0.6250,0.4688,0.5417,nan,0.8006,0.0000,0.9381,0.0312
438760,0.7500,0.5625,0.6250,0.5000,0.5417,nan,0.7281,0.0000,0.9151,0.0000
618044,0.7500,0.5625,0.6250,0.6250,0.7083,nan,0.5933,0.0000,0.7450,0.0312
822192,0.7500,0.5625,0.6250,0.5312,0.5417,nan,0.6613,0.0000,0.8277,0.0312
977984,0.7500,0.5625,0.6250,0.6562,0.7083,nan,0.5656,0.0000,0.7378,0.1562
1138872,0.7500,0.5625,0.6250,0.5938,0.6250,nan,0.5017,0.0000,0.6639,0.0000
1303232,0.7500,0.5625,0.6250,0.5938,0.6250,nan,0.5908,0.0000,0.7757,0.2188
1445528,0.7500,0.5625,0.6250,0.5000,0.5833,nan,0.5769,0.0000,0.7617,0.1875
1626044,0.7500,0.5625,0.6250,0.5312,0.5833,nan,0.5820,0.0000,0.7055,0.0312
1755824,0.7500,0.5625,0.6250,0.5625,0.6250,nan,0.5522,0.0000,0.6865,0.0312
1895740,0.7500,0.5625,0.6250,0.5000,0.6250,nan,0.5888,0.0000,0.7531,0.1562
2051392,0.7500,0.5625,0.6250,0.5625,0.5833,nan,0.5602,0.0000,0.7078,0.0938
2218188,0.7500,0.5625,0.6250,0.5625,0.6250,nan,0.5939,0.0000,0.7287,0.0312
2375464,0.7500,0.5625,0.6250,0.5938,0.6250,nan,0.5580,0.0000,0.7275,0.2188
2539628,0.7500,0.5625,0.6250,0.5938,0.6667,nan,0.5769,0.0000,0.7497,0.3125
2702588,0.7500,0.5625,0.6250,0.5625,0.6667,nan,0.5641,0.0000,0.7340,0.2188
2911916,0.7500,0.5625,0.6250,0.5000,0.5833,nan,0.5738,0.0000,0.7647,0.4062
3080644,0.7500,0.5625,0.6250,0.5625,0.6667,nan,0.5687,0.0000,0.7482,0.2500
3252564,0.7500,0.5625,0.6250,0.5312,0.6250,nan,0.5265,0.0000,0.7143,0.1875
3425772,0.7500,0.5625,0.6250,0.5938,0.6667,nan,0.5595,0.0000,0.7311,0.1562
3589432,0.7500,0.5625,0.6250,0.6250,0.7083,nan,0.5465,0.0000,0.6909,0.0312
3774456,0.7500,0.5625,0.6250,0.5938,0.6250,nan,0.6123,0.0000,0.7707,0.0938
3956120,0.7500,0.5625,0.6250,0.6875,0.7083,nan,0.5795,0.0000,0.7372,0.0938
4082204,0.7500,0.5625,0.6250,0.5938,0.6667,nan,0.5857,0.0000,0.7682,0.2500
4236484,0.7500,0.5625,0.6250,0.5312,0.5833,nan,0.5994,0.0000,0.7890,0.2812
4416804,0.7500,0.5625,0.6250,0.6250,0.6667,nan,0.5876,0.0000,0.7529,0.0938
4560332,0.7500,0.5625,0.6250,0.5312,0.5833,nan,0.6034,0.0000,0.7900,0.2812
4722928,0.7500,0.5625,0.6250,0.6250,0.6667,nan,0.5638,0.0000,0.7235,0.0625
4899048,0.7500,0.5625,0.6250,0.6250,0.6667,nan,0.5650,0.0000,0.7229,0.0938
