timestep,ep_rew_mean,ep_len_mean,correctness_rate,alignment_mean,episode_seconds_mean,episodes,truncation_rate,context_size_mean,examples_seen,dataset_pass,kl_step_mean
6132,0.796869,75.3,1.0000,nan,11.925,2,0.0000,312.5,0,0,0.00000
7560,0.827678,47.6,1.0000,nan,9.241,1,0.0000,304.0,0,0,0.00000
23576,0.085360,174.0,0.0000,nan,86.116,1,1.0000,689.0,0,0,0.00000
37604,-0.318246,241.6,1.0000,nan,16.765,2,0.0000,343.5,0,0,0.00000
47768,0.043011,184.3,0.0000,nan,45.636,1,0.0000,483.0,0,0,0.00000
53284,0.462334,125.2,1.0000,nan,17.989,1,0.0000,345.0,0,0,0.00000
57260,0.825321,48.4,1.0000,nan,24.309,1,0.0000,392.0,0,0,0.00000
72968,-0.215532,213.0,0.0000,nan,77.364,1,1.0000,689.0,0,0,0.00000
84448,0.452809,134.2,0.0000,nan,57.506,1,0.0000,549.0,0,0,0.00000
98560,0.170409,139.7,1.0000,nan,11.363,7,0.0000,316.3,0,0,0.00000
105084,-0.178354,195.0,0.0000,nan,33.707,1,0.0000,434.0,0,0,0.00000
111860,-0.104559,126.3,0.0000,nan,26.907,1,0.0000,391.0,0,0,0.00000
115584,0.334315,92.0,1.0000,nan,11.284,1,0.0000,314.0,0,0,0.00000
129696,0.169651,139.7,0.0000,nan,87.365,1,1.0000,718.0,0,0,0.00000
145208,-0.045516,175.3,0.0000,nan,72.442,1,0.0000,679.0,0,0,0.00000
155316,0.723546,153.6,1.0000,nan,11.933,4,0.0000,329.5,0,0,0.00000
159208,0.827333,47.6,1.0000,nan,20.515,1,0.0000,389.0,0,0,0.00000
173348,0.083139,208.7,0.0000,nan,67.963,1,0.0000,608.0,0,0,0.00000
178024,0.250074,171.4,1.0000,nan,21.077,1,0.0000,366.0,0,0,0.00000
192976,0.136987,178.7,1.0000,nan,10.211,2,0.0000,315.5,0,0,0.00000
198296,0.126123,188.4,1.0000,nan,15.863,1,0.0000,349.0,0,0,0.00000
202300,0.823994,48.7,1.0000,nan,21.032,1,0.0000,393.0,0,0,0.00000
218148,-0.033108,180.1,0.0000,nan,75.125,1,1.0000,689.0,0,0,0.00000
227080,0.082906,174.1,1.0000,nan,10.357,2,0.0000,318.0,0,0,0.00000
235956,0.739396,139.6,1.0000,nan,42.978,1,0.0000,531.0,0,0,0.00000
236880,0.776748,102.4,1.0000,nan,4.635,1,0.0000,286.0,0,0,0.00000
247212,0.473573,112.1,0.0000,nan,35.745,1,0.0000,471.0,0,0,0.00000
259308,0.228159,187.1,1.0000,nan,13.775,2,0.0000,343.0,0,0,0.00000
265748,0.278651,136.0,0.0000,nan,27.229,1,0.0000,426.0,0,0,0.00000
279860,-0.044617,190.3,1.0000,nan,9.790,2,0.0000,318.0,0,0,0.00000
280868,0.464961,85.0,1.0000,nan,1.010,2,0.0000,262.5,0,0,0.00000
299488,-0.072112,214.8,1.0000,nan,76.687,1,1.0000,712.0,0,0,0.00000
315476,0.126810,179.2,0.0000,nan,82.749,1,1.0000,716.0,0,0,0.00000
329588,0.166156,139.7,1.0000,nan,10.434,7,0.0000,312.4,0,0,0.00000
345576,-0.566757,289.6,1.0000,nan,26.899,1,0.0000,396.0,0,0,0.00000
354620,0.071981,179.4,1.0000,nan,16.862,2,0.0000,352.0,0,0,0.00000
368704,0.158257,139.7,1.0000,nan,9.433,8,0.0000,311.5,0,0,0.00000
378028,-0.212056,223.0,1.0000,nan,24.106,1,0.0000,385.0,0,0,0.00000
392000,-0.078586,205.6,0.0000,nan,79.971,1,1.0000,700.0,0,0,0.00000
400036,0.087981,163.0,1.0000,nan,10.211,2,0.0000,311.5,0,0,0.00000
