timestep,ep_rew_mean,ep_len_mean,correctness_rate,alignment_mean,episode_seconds_mean,episodes,truncation_rate,context_size_mean,examples_seen,dataset_pass,kl_step_mean
6384,0.754651,114.0,1.0000,nan,18.957,1,0.0000,368.0,0,0,0.00000
7420,0.844298,30.2,1.0000,nan,0.945,2,0.0000,262.5,0,0,0.00000
32256,-0.276166,257.4,1.0000,nan,77.440,1,1.0000,712.0,0,0,0.00000
39620,-0.021842,173.3,0.5000,nan,12.864,2,0.0000,338.0,0,0,0.00000
47936,0.292660,126.4,0.0000,nan,32.868,1,0.0000,489.0,0,0,0.00000
53256,0.466826,124.9,1.0000,nan,15.271,1,0.0000,354.0,0,0,0.00000
56896,0.829578,44.8,1.0000,nan,1.966,3,0.0000,270.3,0,0,0.00000
81452,0.039622,280.6,1.0000,nan,68.842,1,1.0000,712.0,0,0,0.00000
95564,-0.474924,336.0,1.0000,nan,10.028,1,0.0000,318.0,0,0,0.00000
104580,0.080055,182.0,1.0000,nan,14.958,2,0.0000,348.5,0,0,0.00000
108780,0.476154,113.9,1.0000,nan,9.984,1,0.0000,315.0,0,0,0.00000
115528,0.788559,84.2,1.0000,nan,10.349,2,0.0000,318.0,0,0,0.00000
116480,0.828375,45.9,1.0000,nan,4.388,1,0.0000,287.0,0,0,0.00000
132272,-0.249714,235.8,0.0000,nan,62.889,1,1.0000,689.0,0,0,0.00000
137116,-0.100699,211.2,1.0000,nan,18.223,1,0.0000,374.0,0,0,0.00000
144956,0.487805,112.6,1.0000,nan,9.124,3,0.0000,317.7,0,0,0.00000
152992,0.593216,120.4,1.0000,nan,25.366,1,0.0000,414.0,0,0,0.00000
154420,0.814357,59.4,1.0000,nan,0.703,1,0.0000,261.0,0,0,0.00000
164612,0.474095,115.7,1.0000,nan,22.571,1,0.0000,394.0,0,0,0.00000
178668,-0.211027,211.1,0.0000,nan,65.560,1,1.0000,700.0,0,0,0.00000
182616,0.115258,173.8,1.0000,nan,7.127,1,0.0000,300.0,0,0,0.00000
188944,0.813346,62.4,1.0000,nan,7.018,3,0.0000,300.7,0,0,0.00000
192808,0.798045,80.4,1.0000,nan,0.708,1,0.0000,261.0,0,0,0.00000
217308,-0.588656,283.2,0.0000,nan,70.999,1,1.0000,689.0,0,0,0.00000
222152,-0.289653,241.6,1.0000,nan,9.785,1,0.0000,314.0,0,0,0.00000
236628,0.182920,139.4,1.0000,nan,8.903,8,0.0000,314.6,0,0,0.00000
253120,-0.874561,294.6,0.0000,nan,26.809,1,0.0000,414.0,0,0,0.00000
267428,-0.590432,243.0,0.0000,nan,68.691,1,1.0000,700.0,0,0,0.00000
282044,-0.209862,222.9,0.7500,nan,16.282,4,0.0000,361.5,0,0,0.00000
287224,0.115686,187.2,1.0000,nan,16.002,1,0.0000,350.0,0,0,0.00000
288400,0.825750,52.5,1.0000,nan,5.955,1,0.0000,295.0,0,0,0.00000
298032,0.480713,107.6,0.0000,nan,34.440,1,0.0000,466.0,0,0,0.00000
309288,0.096404,192.7,1.0000,nan,9.818,1,0.0000,314.0,0,0,0.00000
318360,0.261182,163.8,1.0000,nan,14.437,2,0.0000,344.5,0,0,0.00000
332444,0.138149,139.7,1.0000,nan,8.798,8,0.0000,313.8,0,0,0.00000
343672,0.030410,218.0,0.0000,nan,53.957,1,0.0000,602.0,0,0,0.00000
352464,0.265140,154.9,1.0000,nan,9.842,2,0.0000,316.5,0,0,0.00000
366576,0.165880,139.7,0.0000,nan,71.520,1,1.0000,718.0,0,0,0.00000
391412,-1.220747,378.1,0.0000,nan,73.828,1,1.0000,689.0,0,0,0.00000
405524,-0.226040,231.5,0.0000,nan,68.631,1,1.0000,700.0,0,0,0.00000
