timestep,ep_rew_mean,ep_len_mean,correctness_rate,alignment_mean,episode_seconds_mean,episodes,truncation_rate,context_size_mean,examples_seen,dataset_pass,kl_step_mean
6608,0.790487,81.0,1.0000,nan,11.610,2,0.0000,313.0,0,0,0.00000
7560,0.827610,47.3,1.0000,nan,5.664,1,0.0000,287.0,0,0,0.00000
17304,0.481479,106.5,0.0000,nan,42.936,1,0.0000,476.0,0,0,0.00000
31276,-0.230002,232.1,0.6667,nan,25.576,3,0.0000,393.7,0,0,0.00000
35000,-0.086044,199.7,1.0000,nan,12.138,1,0.0000,329.0,0,0,0.00000
40208,0.792078,82.0,1.0000,nan,16.554,1,0.0000,350.0,0,0,0.00000
44072,0.827542,47.2,1.0000,nan,19.779,1,0.0000,387.0,0,0,0.00000
53060,0.459281,126.9,0.0000,nan,30.499,1,0.0000,435.0,0,0,0.00000
56924,0.181513,111.4,1.0000,nan,13.019,1,0.0000,330.0,0,0,0.00000
65408,0.307907,115.7,0.0000,nan,33.903,1,0.0000,437.0,0,0,0.00000
79520,0.152663,139.4,0.0000,nan,86.239,1,1.0000,718.0,0,0,0.00000
89628,-0.226990,230.8,0.0000,nan,40.452,1,0.0000,487.0,0,0,0.00000
103684,-0.221497,225.9,1.0000,nan,10.285,1,0.0000,316.0,0,0,0.00000
113568,0.473373,114.6,1.0000,nan,12.845,3,0.0000,328.7,0,0,0.00000
127680,0.162479,139.4,0.0000,nan,74.712,1,1.0000,718.0,0,0,0.00000
141708,-0.201999,226.3,0.0000,nan,79.924,1,1.0000,700.0,0,0,0.00000
145432,-0.063009,197.1,1.0000,nan,12.385,1,0.0000,320.0,0,0,0.00000
153048,0.487983,113.1,0.0000,nan,41.253,1,0.0000,486.0,0,0,0.00000
159600,0.610740,104.1,1.0000,nan,22.407,1,0.0000,381.0,0,0,0.00000
160524,0.828622,45.1,1.0000,nan,0.754,1,0.0000,261.0,0,0,0.00000
174524,-0.229119,225.6,0.0000,nan,74.178,1,1.0000,700.0,0,0,0.00000
177884,-0.084837,192.8,1.0000,nan,8.132,1,0.0000,299.0,0,0,0.00000
185920,0.477522,120.0,0.0000,nan,41.138,1,0.0000,489.0,0,0,0.00000
192276,0.611453,103.2,1.0000,nan,22.177,1,0.0000,375.0,0,0,0.00000
193228,0.843773,30.9,1.0000,nan,5.329,1,0.0000,287.0,0,0,0.00000
207200,-0.206050,206.6,0.0000,nan,76.937,1,1.0000,700.0,0,0,0.00000
221284,0.147814,139.7,0.0000,nan,83.237,1,1.0000,718.0,0,0,0.00000
230860,-0.226083,225.5,0.0000,nan,41.575,1,0.0000,474.0,0,0,0.00000
238616,0.275944,144.2,1.0000,nan,15.915,2,0.0000,342.5,0,0,0.00000
245924,0.294605,120.0,0.0000,nan,34.012,1,0.0000,446.0,0,0,0.00000
251244,0.474781,112.8,1.0000,nan,18.369,1,0.0000,354.0,0,0,0.00000
255164,0.827120,47.6,1.0000,nan,2.422,3,0.0000,270.3,0,0,0.00000
270928,0.081608,195.5,1.0000,nan,25.029,1,0.0000,388.0,0,0,0.00000
279972,0.048920,192.6,0.0000,nan,45.253,1,0.0000,513.0,0,0,0.00000
294980,-0.064687,202.8,1.0000,nan,10.878,2,0.0000,316.5,0,0,0.00000
299964,0.126071,185.1,1.0000,nan,16.681,1,0.0000,341.0,0,0,0.00000
306488,0.763136,108.6,1.0000,nan,40.726,1,0.0000,483.0,0,0,0.00000
325024,-0.117486,206.7,0.0000,nan,82.900,1,1.0000,700.0,0,0,0.00000
339612,-0.338435,211.7,0.5000,nan,17.755,4,0.0000,351.2,0,0,0.00000
345156,0.121447,190.8,1.0000,nan,19.089,1,0.0000,350.0,0,0,0.00000
346584,0.817699,58.6,1.0000,nan,8.817,1,0.0000,304.0,0,0,0.00000
360864,0.438509,156.6,0.0000,nan,70.827,1,0.0000,640.0,0,0,0.00000
369824,0.235241,181.7,1.0000,nan,15.734,2,0.0000,341.0,0,0,0.00000
384496,-0.341026,212.2,0.0000,nan,83.582,1,1.0000,716.0,0,0,0.00000
390600,-0.174483,196.4,1.0000,nan,19.017,1,0.0000,350.0,0,0,0.00000
391916,0.526392,63.0,1.0000,nan,7.818,1,0.0000,300.0,0,0,0.00000
403340,0.151783,139.3,0.0000,nan,49.617,1,0.0000,520.0,0,0,0.00000
