timestep,ep_rew_mean,ep_len_mean,correctness_rate,alignment_mean,episode_seconds_mean,episodes,truncation_rate,context_size_mean,examples_seen,dataset_pass,kl_step_mean
6552,0.638809,117.0,1.0000,nan,31.684,1,0.0000,372.0,0,0,0.01562
7560,0.813481,30.2,1.0000,nan,1.512,2,0.0000,262.5,0,0,0.01052
16940,0.406892,102.6,1.0000,nan,35.074,1,0.0000,386.0,0,0,0.01830
24556,-0.224465,143.3,0.0000,nan,55.673,1,0.0000,473.0,0,0,0.05877
27776,-0.209611,112.2,1.0000,nan,19.637,1,0.0000,331.0,0,0,0.04592
33572,-0.147134,98.6,1.0000,nan,18.830,2,0.0000,330.0,0,0,0.01884
37408,0.723664,47.0,1.0000,nan,33.455,1,0.0000,387.0,0,0,0.04811
53200,-0.840824,195.0,0.0000,nan,111.153,1,1.0000,689.0,0,0,0.21554
67172,-2.169978,242.4,0.5000,nan,22.809,2,0.0000,345.0,0,0,0.03463
75964,-0.660244,170.6,0.0000,nan,60.711,1,0.0000,490.0,0,0,0.04013
81284,0.302368,125.2,1.0000,nan,26.375,1,0.0000,354.0,0,0,0.01247
85008,0.778021,45.9,1.0000,nan,3.560,3,0.0000,270.7,0,0,0.01340
101528,-0.705742,254.5,0.5000,nan,52.435,2,0.0000,459.5,0,0,0.05739
106736,-0.451408,212.6,1.0000,nan,18.947,1,0.0000,327.0,0,0,0.07258
113484,0.374926,97.8,0.0000,nan,45.692,1,0.0000,433.0,0,0,0.01789
118692,0.396513,108.1,1.0000,nan,25.104,1,0.0000,350.0,0,0,0.00938
122556,0.563207,47.3,1.0000,nan,33.559,1,0.0000,388.0,0,0,0.20043
132832,0.038706,140.1,0.0000,nan,60.047,1,0.0000,484.0,0,0,0.03150
140616,0.015111,146.9,1.0000,nan,22.734,2,0.0000,344.5,0,0,0.02817
148988,0.087945,130.7,0.0000,nan,58.130,1,0.0000,480.0,0,0,0.00933
154392,0.368361,123.2,1.0000,nan,26.506,1,0.0000,354.0,0,0,0.02343
158004,0.729637,44.5,1.0000,nan,3.452,3,0.0000,270.3,0,0,0.01981
173796,-1.129071,221.6,0.6667,nan,35.827,3,0.0000,395.7,0,0,0.04202
189728,-0.720124,175.8,0.6667,nan,18.857,3,0.0000,329.0,0,0,0.05585
198520,-0.199471,141.0,0.0000,nan,69.566,1,0.0000,528.0,0,0,0.15940
199444,-0.125722,103.5,1.0000,nan,7.544,1,0.0000,286.0,0,0,0.00518
209300,0.292372,107.3,0.0000,nan,57.951,1,0.0000,476.0,0,0,0.02144
215096,-0.067180,140.6,1.0000,nan,16.192,1,0.0000,317.0,0,0,0.03937
225288,-0.113399,120.4,0.6667,nan,20.433,3,0.0000,334.7,0,0,0.01774
233436,-0.192516,147.0,0.0000,nan,63.755,1,0.0000,505.0,0,0,0.07409
234444,0.484979,50.9,1.0000,nan,1.506,2,0.0000,262.5,0,0,0.00470
250208,-1.754597,219.8,0.6667,nan,35.509,3,0.0000,393.3,0,0,0.09859
259756,-0.621803,185.6,1.0000,nan,26.237,2,0.0000,356.0,0,0,0.02444
269808,0.348104,149.1,1.0000,nan,17.712,4,0.0000,326.0,0,0,0.00702
273448,0.695183,45.1,1.0000,nan,31.611,1,0.0000,380.0,0,0,0.07044
281316,-0.042079,129.7,0.0000,nan,57.190,1,0.0000,478.0,0,0,0.02637
287840,0.103980,112.4,1.0000,nan,14.502,2,0.0000,311.5,0,0,0.01187
302036,-0.793574,139.4,0.0000,nan,117.339,1,1.0000,718.0,0,0,0.17061
312312,-1.312861,232.5,0.0000,nan,60.706,1,0.0000,487.0,0,0,0.01630
326284,-1.649343,230.2,0.6667,nan,34.127,3,0.0000,391.3,0,0,0.02597
337568,-0.232806,164.2,0.0000,nan,91.933,1,0.0000,617.0,0,0,0.12847
340984,0.823776,42.8,1.0000,nan,3.565,3,0.0000,270.7,0,0,0.00348
353556,0.226190,158.6,1.0000,nan,35.177,1,0.0000,386.0,0,0,0.05954
361396,-0.152451,162.1,0.0000,nan,57.207,1,0.0000,481.0,0,0,0.06749
376152,-0.546520,239.4,0.6667,nan,36.009,3,0.0000,398.7,0,0,0.02304
382144,0.239880,135.3,1.0000,nan,13.548,2,0.0000,307.0,0,0,0.00559
383096,0.750807,44.5,1.0000,nan,7.811,1,0.0000,287.0,0,0,0.01037
398944,-0.318139,167.5,0.0000,nan,111.633,1,1.0000,689.0,0,0,0.08594
406560,-0.426505,177.5,1.0000,nan,22.793,2,0.0000,345.0,0,0,0.02489
