timestep,ep_rew_mean,ep_len_mean,correctness_rate,alignment_mean,episode_seconds_mean,episodes,truncation_rate,context_size_mean,examples_seen,dataset_pass,kl_step_mean
16156,-0.236009,212.6,0.7500,nan,21.731,4,0.0000,370.0,0,0,0.00000
19964,-0.099002,200.7,1.0000,nan,8.926,1,0.0000,300.0,0,0,0.00000
26152,0.795353,78.7,1.0000,nan,10.341,2,0.0000,307.0,0,0,0.00000
27104,0.827646,46.5,1.0000,nan,5.814,1,0.0000,287.0,0,0,0.00000
42756,0.415556,165.6,0.0000,nan,45.015,1,0.0000,476.0,0,0,0.00000
58856,-0.046564,177.9,0.6667,nan,14.399,3,0.0000,332.3,0,0,0.00000
72968,0.130821,139.4,0.0000,nan,83.422,1,1.0000,718.0,0,0,0.00000
97804,-0.942247,378.1,0.0000,nan,86.179,1,1.0000,689.0,0,0,0.00000
105980,0.248590,187.3,0.0000,nan,42.011,1,0.0000,476.0,0,0,0.00000
113428,0.297796,121.3,1.0000,nan,11.905,2,0.0000,317.5,0,0,0.00000
118916,0.474860,114.0,1.0000,nan,18.642,1,0.0000,350.0,0,0,0.00000
122500,0.829607,44.5,1.0000,nan,22.592,1,0.0000,378.0,0,0,0.00000
138348,0.107808,193.0,0.0000,nan,82.335,1,1.0000,689.0,0,0,0.00000
152572,-0.550296,246.6,0.5000,nan,18.204,2,0.0000,352.5,0,0,0.00000
167272,-0.252777,229.6,0.0000,nan,87.086,1,1.0000,716.0,0,0,0.00000
172816,0.117791,190.7,1.0000,nan,19.206,1,0.0000,350.0,0,0,0.00000
176428,0.830184,44.5,1.0000,nan,22.434,1,0.0000,379.0,0,0,0.00000
192248,0.115891,193.0,0.0000,nan,80.064,1,1.0000,689.0,0,0,0.00000
199976,0.070044,187.6,1.0000,nan,19.112,2,0.0000,360.0,0,0,0.00000
214732,-0.218530,245.8,0.0000,nan,83.973,1,1.0000,716.0,0,0,0.00000
221424,0.411379,142.3,1.0000,nan,11.846,2,0.0000,316.5,0,0,0.00000
222376,0.828925,46.2,1.0000,nan,5.580,1,0.0000,287.0,0,0,0.00000
238448,0.086614,169.8,0.0000,nan,81.022,1,1.0000,689.0,0,0,0.00000
247492,0.177026,127.7,0.6667,nan,13.216,3,0.0000,328.0,0,0,0.00000
250964,0.298328,116.0,1.0000,nan,16.124,1,0.0000,338.0,0,0,0.00000
256340,0.787939,83.3,1.0000,nan,16.669,1,0.0000,338.0,0,0,0.00000
260036,0.825880,47.9,1.0000,nan,23.655,1,0.0000,382.0,0,0,0.00000
270872,0.438134,144.0,0.0000,nan,50.364,1,0.0000,512.0,0,0,0.00000
276332,0.132600,147.1,1.0000,nan,12.191,1,0.0000,316.0,0,0,0.00000
285572,0.283523,134.3,1.0000,nan,18.366,2,0.0000,350.0,0,0,0.00000
289352,0.480397,109.8,1.0000,nan,8.879,1,0.0000,300.0,0,0,0.00000
296016,0.788638,83.3,1.0000,nan,12.522,2,0.0000,318.0,0,0,0.00000
296940,0.828831,44.8,1.0000,nan,5.620,1,0.0000,286.0,0,0,0.00000
315700,0.124051,196.4,0.0000,nan,44.548,1,0.0000,472.0,0,0,0.00000
329784,-0.369867,243.3,0.0000,nan,72.239,1,1.0000,700.0,0,0,0.00000
338380,0.479663,119.0,1.0000,nan,9.312,3,0.0000,316.3,0,0,0.00000
344876,0.602617,109.3,1.0000,nan,9.667,2,0.0000,313.5,0,0,0.00000
346248,0.824390,50.1,1.0000,nan,7.088,1,0.0000,302.0,0,0,0.00000
362628,-0.231926,207.9,0.0000,nan,73.855,1,1.0000,689.0,0,0,0.00000
366716,-0.445855,171.3,0.0000,nan,7.329,1,0.0000,298.0,0,0,0.00000
376180,0.448677,141.3,0.0000,nan,47.242,1,0.0000,552.0,0,0,0.00000
380016,0.823033,51.8,1.0000,nan,3.014,3,0.0000,276.3,0,0,0.00000
396088,-0.259887,223.5,0.6667,nan,24.567,3,0.0000,399.3,0,0,0.00000
405496,-0.214497,184.5,0.5000,nan,16.368,2,0.0000,353.5,0,0,0.00000
