timestep,ep_rew_mean,ep_len_mean,correctness_rate,alignment_mean,episode_seconds_mean,episodes,truncation_rate,context_size_mean,examples_seen,dataset_pass,kl_step_mean
5740,0.762885,102.5,1.0000,nan,29.795,1,0.0000,350.0,0,0,0.00000
9240,0.814878,58.2,1.0000,nan,9.530,2,0.0000,290.5,0,0,0.00000
13636,0.511966,71.4,1.0000,nan,44.693,1,0.0000,409.0,0,0,0.00000
29036,0.384225,203.4,1.0000,nan,16.697,1,0.0000,337.0,0,0,0.00000
40376,0.214452,223.3,1.0000,nan,25.499,2,0.0000,376.5,0,0,0.00000
55244,-0.250765,249.7,1.0000,nan,17.933,1,0.0000,306.0,0,0,0.00000
80892,-0.713395,337.8,0.0000,nan,100.294,1,1.0000,724.0,0,0,0.00000
83300,-0.135119,157.2,0.0000,nan,8.281,1,0.0000,297.0,0,0,0.00000
88452,0.371357,70.8,0.0000,nan,28.202,1,0.0000,372.0,0,0,0.00000
95368,0.629635,92.6,1.0000,nan,40.869,1,0.0000,413.0,0,0,0.00000
102928,0.797962,92.8,1.0000,nan,17.590,3,0.0000,317.0,0,0,0.00000
119448,-0.074599,230.2,0.6667,nan,28.449,3,0.0000,387.7,0,0,0.00000
135632,-0.299875,285.9,0.0000,nan,96.533,1,1.0000,725.0,0,0,0.00000
140168,0.385853,162.2,1.0000,nan,17.147,2,0.0000,333.5,0,0,0.00000
148540,0.736098,152.2,1.0000,nan,23.708,1,0.0000,374.0,0,0,0.00000
152880,0.485968,113.1,0.0000,nan,34.820,1,0.0000,361.0,0,0,0.00000
171668,-0.102174,244.6,0.0000,nan,107.167,1,1.0000,741.0,0,0,0.00000
179928,-0.505957,241.0,0.0000,nan,9.614,1,0.0000,302.0,0,0,0.00000
197596,0.119858,221.4,0.0000,nan,111.592,1,1.0000,745.0,0,0,0.00000
207984,-0.198947,258.6,0.0000,nan,46.678,1,0.0000,461.0,0,0,0.00000
213136,0.466238,135.4,1.0000,nan,47.737,1,0.0000,428.0,0,0,0.00000
231504,0.068822,241.8,1.0000,nan,34.193,2,0.0000,410.0,0,0,0.00000
241444,-0.213440,245.8,1.0000,nan,49.166,1,0.0000,471.0,0,0,0.00000
248640,0.579286,154.4,1.0000,nan,32.699,1,0.0000,396.0,0,0,0.00000
266476,0.032166,243.6,1.0000,nan,28.614,4,0.0000,384.2,0,0,0.00000
286188,-0.352445,318.1,1.0000,nan,43.721,2,0.0000,438.0,0,0,0.00000
305984,0.079135,202.9,0.0000,nan,119.188,1,1.0000,749.0,0,0,0.00000
308028,0.113636,176.3,1.0000,nan,0.682,1,0.0000,260.0,0,0,0.00000
315448,0.790894,94.3,1.0000,nan,44.104,1,0.0000,449.0,0,0,0.00000
327488,-0.166956,204.0,0.0000,nan,77.060,1,0.0000,602.0,0,0,0.00000
340592,-0.391296,257.9,0.0000,nan,63.849,1,0.0000,500.0,0,0,0.00000
344932,0.279879,147.4,1.0000,nan,33.855,1,0.0000,393.0,0,0,0.00000
352268,0.754350,114.5,1.0000,nan,34.999,1,0.0000,411.0,0,0,0.00000
362376,0.465044,149.5,0.5000,nan,20.972,2,0.0000,345.5,0,0,0.00000
369376,0.577800,158.9,1.0000,nan,36.411,1,0.0000,406.0,0,0,0.00000
375116,0.762737,115.3,1.0000,nan,44.894,1,0.0000,406.0,0,0,0.00000
388584,0.386925,205.1,1.0000,nan,27.149,3,0.0000,380.3,0,0,0.00000
405664,0.165702,282.6,1.0000,nan,106.142,1,1.0000,717.0,0,0,0.00000
414316,0.076809,242.8,1.0000,nan,23.767,1,0.0000,369.0,0,0,0.00000
424368,0.569021,142.1,1.0000,nan,19.979,2,0.0000,339.5,0,0,0.00000
443912,0.006073,309.0,0.0000,nan,114.412,1,1.0000,752.0,0,0,0.00000
447972,0.823513,46.9,1.0000,nan,36.043,1,0.0000,354.0,0,0,0.00000
453628,0.785114,88.2,1.0000,nan,35.121,1,0.0000,413.0,0,0,0.00000
464548,0.442589,160.2,0.0000,nan,31.543,1,0.0000,403.0,0,0,0.00000
474180,0.734327,151.3,1.0000,nan,20.657,2,0.0000,345.0,0,0,0.00000
491512,0.105253,212.0,0.0000,nan,118.787,1,1.0000,711.0,0,0,0.00000
496076,-0.148044,176.6,1.0000,nan,21.854,1,0.0000,346.0,0,0,0.00000
514332,0.396145,209.5,1.0000,nan,26.867,4,0.0000,371.8,0,0,0.00000
523600,0.378943,241.9,1.0000,nan,34.999,1,0.0000,422.0,0,0,0.00000
529900,0.470023,135.9,1.0000,nan,16.141,1,0.0000,333.0,0,0,0.00000
540988,0.721417,154.3,1.0000,nan,26.114,3,0.0000,355.3,0,0,0.00000
551376,0.413923,195.0,0.0000,nan,68.585,1,0.0000,524.0,0,0,0.00000
560756,0.494774,123.0,0.0000,nan,67.044,1,0.0000,530.0,0,0,0.00000
575400,-0.144930,187.3,0.8000,nan,15.057,5,0.0000,312.2,0,0,0.00000
597632,-0.602290,338.2,0.0000,nan,113.580,1,1.0000,771.0,0,0,0.00000
604548,-0.185996,232.9,0.0000,nan,38.790,1,0.0000,375.0,0,0,0.00000
606368,0.646578,73.2,1.0000,nan,12.722,1,0.0000,293.0,0,0,0.00000
611492,0.787712,88.6,1.0000,nan,44.247,1,0.0000,410.0,0,0,0.00000
616084,0.483510,106.8,1.0000,nan,7.147,1,0.0000,290.0,0,0,0.00000
620620,0.619932,95.7,1.0000,nan,39.605,1,0.0000,409.0,0,0,0.00000
624680,0.820727,51.8,1.0000,nan,52.410,1,0.0000,388.0,0,0,0.00000
631960,0.756845,112.5,1.0000,nan,22.918,1,0.0000,365.0,0,0,0.00000
638652,0.476254,126.8,1.0000,nan,17.550,1,0.0000,337.0,0,0,0.00000
648620,0.588275,151.7,1.0000,nan,22.549,2,0.0000,358.0,0,0,0.00000
660744,0.690819,206.2,1.0000,nan,44.929,1,0.0000,469.0,0,0,0.00000
677460,0.318187,263.0,1.0000,nan,23.343,1,0.0000,334.0,0,0,0.00000
691880,0.484341,234.1,1.0000,nan,73.733,1,0.0000,569.0,0,0,0.00000
708372,-0.259332,284.6,0.0000,nan,99.106,1,1.0000,706.0,0,0,0.00000
