timestep,correct_full,correct_random,correct_kv_norm,correct_learned,retention,evict_attn_percentile,evict_mean_pos_frac,evict_sink_frac,evict_generated_frac,truncation_rate
148540,0.7500,0.7500,0.7500,0.6875,0.7917,nan,0.7410,0.0000,0.9990,0.0000
327488,0.7500,0.7500,0.7500,0.5938,0.6667,nan,0.3682,0.0000,0.4753,0.0000
474180,0.7500,0.7500,0.7500,0.6562,0.7500,nan,0.6200,0.0000,0.7016,0.0625
620620,0.7500,0.7500,0.7500,0.6562,0.7500,nan,0.4519,0.0000,0.6184,0.1562
761992,0.7500,0.7500,0.7500,0.6875,0.7917,nan,0.4274,0.0000,0.5660,0.0625
914032,0.7500,0.7500,0.7500,0.6562,0.7500,nan,0.5442,0.0000,0.6418,0.0000
1087072,0.7500,0.7500,0.7500,0.6250,0.7500,nan,0.8427,0.0000,0.9990,0.0625
1231580,0.7500,0.7500,0.7500,0.6250,0.7500,nan,0.8445,0.0000,0.9970,0.1562
1382752,0.7500,0.7500,0.7500,0.6562,0.7083,nan,0.3934,0.0000,0.5210,0.0312
1511916,0.7500,0.7500,0.7500,0.6875,0.7500,nan,0.7517,0.0000,0.9712,0.0625
1666000,0.7500,0.7500,0.7500,0.5938,0.7083,nan,0.6762,0.0000,0.9606,0.0312
1795920,0.7500,0.7500,0.7500,0.5625,0.6250,nan,0.4369,0.0000,0.6011,0.0000
1943704,0.7500,0.7500,0.7500,0.6250,0.6667,nan,0.5363,0.0000,0.7421,0.0625
