timestep,ep_rew_mean,ep_len_mean,correctness_rate,alignment_mean,episode_seconds_mean,episodes,truncation_rate,context_size_mean,examples_seen,dataset_pass,kl_step_mean
597716,-0.399658,263.3,0.0000,nan,42.849,1,0.0000,464.0,0,0,0.00000
624120,-1.488721,421.8,0.0000,nan,95.947,1,1.0000,718.0,0,0,0.00000
650832,-1.693420,475.8,0.0000,nan,96.202,1,1.0000,724.0,0,0,0.00000
664608,-0.675572,348.8,0.0000,nan,50.469,1,0.0000,501.0,0,0,0.00000
682332,-0.542585,282.2,0.0000,nan,96.559,1,1.0000,753.0,0,0,0.00000
684320,-0.591271,196.0,0.0000,nan,7.138,1,0.0000,291.0,0,0,0.00000
704704,-0.643379,236.1,0.0000,nan,34.230,2,0.0000,426.0,0,0,0.00000
713636,-0.652650,239.9,0.0000,nan,39.520,1,0.0000,451.0,0,0,0.00000
730436,-0.661352,242.3,0.0000,nan,26.349,1,0.0000,385.0,0,0,0.00000
755636,-1.142401,404.6,0.0000,nan,91.938,1,0.0000,698.0,0,0,0.00000
758912,-0.668625,231.8,0.0000,nan,6.090,1,0.0000,286.0,0,0,0.00000
776188,-0.657283,211.2,0.0000,nan,20.221,2,0.0000,358.0,0,0,0.00000
802116,-1.449380,413.8,0.0000,nan,97.325,1,1.0000,725.0,0,0,0.00000
804776,-0.821959,230.9,0.0000,nan,9.608,1,0.0000,303.0,0,0,0.00000
813596,-0.170387,109.3,0.0000,nan,25.386,1,0.0000,379.0,0,0,0.00000
823312,0.588766,170.7,0.0000,nan,60.550,1,0.0000,574.0,0,0,0.00000
845180,0.730518,312.2,0.0000,nan,62.233,1,0.0000,556.0,0,0,0.00000
871528,-0.293756,446.3,0.0000,nan,100.873,1,1.0000,744.0,0,0,0.00000
888076,-0.376495,315.6,0.0000,nan,35.767,2,0.0000,442.0,0,0,0.00000
901768,-0.478871,223.1,0.0000,nan,26.402,2,0.0000,385.5,0,0,0.00000
911848,0.236726,180.7,0.0000,nan,35.268,1,0.0000,423.0,0,0,0.00000
920192,0.291984,164.3,0.0000,nan,30.132,1,0.0000,403.0,0,0,0.00000
935648,-0.107190,248.3,0.0000,nan,31.539,2,0.0000,421.0,0,0,0.00000
961380,-0.430993,429.2,0.0000,nan,95.817,1,1.0000,717.0,0,0,0.00000
978600,0.026298,253.5,0.0000,nan,93.667,1,1.0000,742.0,0,0,0.00000
