timestep,correct_full,correct_random,correct_kv_norm,correct_learned,retention,evict_attn_percentile,evict_mean_pos_frac,evict_sink_frac,evict_generated_frac,truncation_rate
307020,0.8750,0.0000,0.0000,0.0000,0.0000,nan,0.6249,0.0000,0.7955,0.5000
670964,0.8750,0.0000,0.0000,0.0000,0.0000,nan,0.5897,0.0000,0.7464,0.3125
1006768,0.8750,0.0000,0.0000,0.1250,0.1429,nan,0.6180,0.0000,0.7873,0.2500
1324372,0.8750,0.0000,0.0000,0.0000,0.0000,nan,0.6794,0.0000,0.8101,0.3750
1808156,0.8750,0.0000,0.0000,0.0000,0.0000,nan,0.5839,0.0000,0.7314,0.2500
2149224,0.8750,0.0000,0.0000,0.0625,0.0714,nan,0.5293,0.0000,0.6426,0.0625
2654456,0.8750,0.0000,0.0000,0.0000,0.0000,nan,0.6076,0.0000,0.7722,0.5000
3001012,0.8750,0.0000,0.0000,0.0000,0.0000,nan,0.5901,0.0000,0.7385,0.1875
3283364,0.8750,0.0000,0.0000,0.0000,0.0000,nan,0.6208,0.0000,0.7684,0.3125
3858960,0.8750,0.0000,0.0000,0.0000,0.0000,nan,0.6773,0.0000,0.7946,0.2500
