timestep,ep_rew_mean,ep_len_mean,correctness_rate,alignment_mean,episode_seconds_mean,episodes,truncation_rate,context_size_mean,examples_seen,dataset_pass,kl_step_mean
15372,-0.846657,274.5,0.0000,nan,94.716,1,0.0000,612.0,0,0,0.05093
41776,-1.770250,394.5,0.0000,nan,133.124,1,1.0000,739.0,0,0,0.06977
60116,-1.743773,392.1,0.0000,nan,99.897,1,0.0000,622.0,0,0,0.06557
80332,-1.292449,290.2,0.0000,nan,50.487,2,0.0000,444.0,0,0,0.05869
94360,-1.225904,284.4,0.0000,nan,67.319,1,0.0000,497.0,0,0,0.11542
112532,-1.456969,293.2,0.0000,nan,46.519,1,0.0000,429.0,0,0,0.04112
130592,-1.599423,341.7,0.0000,nan,128.865,1,1.0000,740.0,0,0,0.00554
149016,-0.717470,312.5,0.5000,nan,48.002,2,0.0000,428.0,0,0,0.03415
170492,-1.386776,383.3,0.0000,nan,85.454,1,0.0000,562.0,0,0,0.08190
195496,-1.967914,428.2,0.0000,nan,126.638,1,1.0000,717.0,0,0,0.02695
200340,-0.589104,129.0,0.0000,nan,38.349,1,0.0000,400.0,0,0,0.07652
218204,-0.829525,222.7,0.0000,nan,57.868,1,0.0000,463.0,0,0,0.04297
243292,-1.287990,329.2,0.0000,nan,128.936,1,1.0000,725.0,0,0,0.03803
249648,-0.815693,199.9,0.0000,nan,38.028,1,0.0000,394.0,0,0,0.02770
263844,-0.462881,194.7,0.0000,nan,56.940,1,0.0000,461.0,0,0,0.08746
279244,-0.162640,271.5,0.0000,nan,120.661,1,1.0000,718.0,0,0,0.06056
299404,-0.524144,344.9,0.0000,nan,109.456,1,0.0000,652.0,0,0,0.04933
315196,-0.448069,248.3,0.0000,nan,27.943,2,0.0000,360.5,0,0,0.02734
341236,-2.088421,403.0,0.0000,nan,128.923,1,1.0000,719.0,0,0,0.26524
349384,-1.070025,286.4,0.0000,nan,47.230,1,0.0000,430.0,0,0,0.02997
367696,-0.342222,250.4,0.0000,nan,47.792,1,0.0000,428.0,0,0,0.01507
384972,-0.377012,301.0,0.0000,nan,130.773,1,1.0000,755.0,0,0,0.00669
407736,-0.415072,396.2,0.0000,nan,95.430,1,0.0000,598.0,0,0,0.05508
433468,-1.177467,444.0,0.0000,nan,127.459,1,1.0000,717.0,0,0,0.06418
447888,-0.732513,224.8,0.0000,nan,126.525,1,1.0000,742.0,0,0,0.03731
465220,-0.469212,217.6,0.0000,nan,30.940,4,0.0000,374.8,0,0,0.01280
473592,-0.857729,229.6,0.0000,nan,47.495,1,0.0000,427.0,0,0,0.03478
487228,-0.544625,204.6,0.0000,nan,47.781,1,0.0000,429.0,0,0,0.04187
513632,-1.617521,379.8,0.0000,nan,127.478,1,1.0000,718.0,0,0,0.08855
540344,-2.676081,475.8,0.0000,nan,130.252,1,1.0000,724.0,0,0,0.21939
558488,-0.780577,291.0,0.0000,nan,120.854,1,1.0000,711.0,0,0,0.05510
570668,-0.270346,267.0,0.0000,nan,43.010,1,0.0000,409.0,0,0,0.04256
