timestep,correct_full,correct_random,correct_kv_norm,correct_learned,retention,evict_attn_percentile,evict_mean_pos_frac,evict_sink_frac,evict_generated_frac,truncation_rate
349384,0.8750,0.1250,0.1250,0.1250,0.1429,nan,0.4757,0.0000,0.5883,0.0625
680008,0.8750,0.1250,0.1250,0.1875,0.2143,nan,0.7919,0.0000,0.9848,0.0000
984144,0.8750,0.1250,0.1250,0.1250,0.1429,nan,0.5338,0.0000,0.6622,0.0000
1304548,0.8750,0.1250,0.1250,0.0625,0.0714,nan,0.5010,0.0000,0.5987,0.0000
1635340,0.8750,0.1250,0.1250,0.0625,0.0714,nan,0.5010,0.0000,0.5987,0.0000
1967252,0.8750,0.1250,0.1250,0.1875,0.2143,nan,0.5231,0.0000,0.6414,0.0625
2306136,0.8750,0.1250,0.1250,0.0625,0.0714,nan,0.5010,0.0000,0.5987,0.0000
2654232,0.8750,0.1250,0.1250,0.1875,0.2143,nan,0.4236,0.0000,0.5115,0.0625
2950892,0.8750,0.1250,0.1250,0.1875,0.1429,nan,0.8780,0.0000,0.9976,0.1875
3271940,0.8750,0.1250,0.1250,0.1875,0.2143,nan,0.6819,0.0000,0.9244,0.0625
3565884,0.8750,0.1250,0.1250,0.0625,0.0714,nan,0.8378,0.0000,0.9938,0.0625
3873156,0.8750,0.1250,0.1250,0.2500,0.2857,nan,0.6925,0.0000,0.9371,0.0625
