timestep,ep_rew_mean,ep_len_mean,correctness_rate,alignment_mean,episode_seconds_mean,episodes,truncation_rate,context_size_mean,examples_seen,dataset_pass,kl_step_mean
3808,-0.196655,68.0,0.0000,nan,15.394,1,0.0000,332.0,0,0,0.00000
15596,-0.298776,148.6,0.0000,nan,34.382,1,0.0000,422.0,0,0,0.00000
25732,-0.059676,199.4,1.0000,nan,23.955,1,0.0000,371.0,0,0,0.00000
29568,0.338983,92.9,1.0000,nan,23.157,1,0.0000,376.0,0,0,0.00000
56644,-0.704258,312.6,0.0000,nan,101.020,1,1.0000,741.0,0,0,0.00000
61432,-0.252782,260.7,1.0000,nan,15.280,1,0.0000,345.0,0,0,0.00000
77280,0.123923,176.3,0.5000,nan,17.812,4,0.0000,359.8,0,0,0.00000
95172,-0.448496,316.1,0.5000,nan,34.798,2,0.0000,452.5,0,0,0.00000
99624,-0.066265,224.0,1.0000,nan,20.450,1,0.0000,385.0,0,0,0.00000
112784,0.670818,172.4,1.0000,nan,18.653,1,0.0000,365.0,0,0,0.00000
114464,0.703382,135.4,1.0000,nan,7.060,1,0.0000,296.0,0,0,0.00000
126784,0.450698,137.5,0.0000,nan,33.626,1,0.0000,451.0,0,0,0.00000
130004,0.585508,132.1,1.0000,nan,12.608,1,0.0000,334.0,0,0,0.00000
134540,0.263098,61.0,0.5000,nan,6.838,2,0.0000,297.0,0,0,0.00000
147308,0.263750,184.4,1.0000,nan,58.251,1,0.0000,620.0,0,0,0.00000
156576,0.229045,218.2,1.0000,nan,32.565,1,0.0000,446.0,0,0,0.00000
183176,-0.802001,341.6,0.0000,nan,79.025,1,1.0000,715.0,0,0,0.00000
190680,0.385046,157.4,1.0000,nan,10.117,2,0.0000,315.0,0,0,0.00000
207676,-0.124730,160.6,0.7500,nan,12.446,4,0.0000,326.5,0,0,0.00000
227444,-0.080908,252.4,0.0000,nan,101.651,1,1.0000,817.0,0,0,0.00000
237160,-0.542015,284.0,0.0000,nan,41.578,1,0.0000,478.0,0,0,0.00000
253792,-0.121739,247.3,1.0000,nan,27.804,2,0.0000,414.0,0,0,0.00000
262640,0.065445,238.6,1.0000,nan,21.271,1,0.0000,380.0,0,0,0.00000
268100,0.756835,128.3,1.0000,nan,16.500,1,0.0000,349.0,0,0,0.00000
270004,0.840783,36.4,1.0000,nan,8.992,1,0.0000,313.0,0,0,0.00000
283976,-0.248937,237.4,0.0000,nan,72.988,1,1.0000,730.0,0,0,0.00000
286944,0.099759,179.2,1.0000,nan,7.821,1,0.0000,302.0,0,0,0.00000
298508,0.448774,139.9,0.0000,nan,37.124,1,0.0000,476.0,0,0,0.00000
321076,-0.597125,318.0,0.0000,nan,74.647,1,1.0000,696.0,0,0,0.00000
