timestep,correct_full,correct_random,correct_kv_norm,correct_learned,retention,evict_attn_percentile,evict_mean_pos_frac,evict_sink_frac,evict_generated_frac,truncation_rate
147308,0.7812,0.0938,0.0625,0.1562,0.1600,nan,0.7932,0.0000,1.0000,0.0938
325164,0.7812,0.0938,0.0625,0.1562,0.1600,nan,0.8069,0.0000,1.0000,0.0938
501480,0.7812,0.0938,0.0625,0.1562,0.1600,nan,0.8069,0.0000,1.0000,0.0938
705376,0.7812,0.0938,0.0625,0.1250,0.1600,nan,0.7595,0.0000,1.0000,0.0312
825188,0.7812,0.0938,0.0625,0.1250,0.1600,nan,0.7595,0.0000,1.0000,0.0312
1014636,0.7812,0.0938,0.0625,0.1562,0.1600,nan,0.8062,0.0000,1.0000,0.0938
1142680,0.7812,0.0938,0.0625,0.2188,0.2000,nan,0.7954,0.0000,0.9942,0.0938
1260588,0.7812,0.0938,0.0625,0.0938,0.0800,nan,0.7931,0.0000,0.9843,0.1250
1468152,0.7812,0.0938,0.0625,0.1562,0.1600,nan,0.7877,0.0000,0.9778,0.1250
1671908,0.7812,0.0938,0.0625,0.0625,0.0800,nan,0.7038,0.0000,0.8650,0.0625
1858024,0.7812,0.0938,0.0625,0.0938,0.1200,nan,0.6179,0.0000,0.7765,0.4375
