timestep,ep_rew_mean,ep_len_mean,correctness_rate,alignment_mean,episode_seconds_mean,episodes,truncation_rate,context_size_mean,examples_seen,dataset_pass,kl_step_mean
182896,-1.284027,425.8,0.0000,nan,30.411,1,0.0000,344.0,0,0,0.00000
198688,-0.754174,324.6,0.0000,nan,54.375,1,0.0000,468.0,0,0,0.00000
221620,-0.772131,354.2,0.0000,nan,52.268,1,0.0000,461.0,0,0,0.00000
251328,-1.504679,494.2,0.0000,nan,102.513,1,1.0000,711.0,0,0,0.00000
281736,-1.733757,539.0,0.0000,nan,109.667,1,1.0000,753.0,0,0,0.00000
293160,-0.956480,355.2,0.0000,nan,33.842,1,0.0000,364.0,0,0,0.00000
301168,-0.285632,173.8,0.0000,nan,37.196,1,0.0000,388.0,0,0,0.00000
321944,-0.701076,276.9,0.0000,nan,41.927,1,0.0000,408.0,0,0,0.00000
343280,-1.098230,395.3,0.0000,nan,100.904,1,1.0000,729.0,0,0,0.00000
366016,-0.840197,413.6,0.0000,nan,78.706,1,0.0000,613.0,0,0,0.00000
386316,-0.823612,383.3,0.0000,nan,27.358,1,0.0000,352.0,0,0,0.00000
406112,-0.967817,383.7,0.0000,nan,44.530,2,0.0000,450.5,0,0,0.00000
427140,-1.091321,413.6,0.0000,nan,33.167,1,0.0000,381.0,0,0,0.00000
457912,-1.548734,495.4,0.0000,nan,103.146,1,1.0000,754.0,0,0,0.00000
475636,-1.380365,420.4,0.0000,nan,16.806,1,0.0000,283.0,0,0,0.00000
496580,-1.138849,375.9,0.0000,nan,38.638,1,0.0000,400.0,0,0,0.00000
527352,-1.447579,492.3,0.0000,nan,102.572,1,1.0000,727.0,0,0,0.00000
559664,-1.705229,566.8,0.0000,nan,106.807,1,1.0000,752.0,0,0,0.00000
589316,-1.733365,552.6,0.0000,nan,101.518,1,1.0000,703.0,0,0,0.00000
608748,-0.902077,345.4,0.0000,nan,37.377,2,0.0000,391.5,0,0,0.00000
614600,-0.599130,241.1,0.0000,nan,6.859,1,0.0000,228.0,0,0,0.00000
635768,-0.645274,266.0,0.0000,nan,104.257,1,1.0000,759.0,0,0,0.00000
645008,-0.650414,281.3,0.0000,nan,30.403,1,0.0000,346.0,0,0,0.00000
659960,-0.357384,218.4,0.0000,nan,30.203,2,0.0000,353.0,0,0,0.00000
678272,-0.693874,273.6,0.0000,nan,101.005,1,1.0000,745.0,0,0,0.00000
703976,-0.819729,430.5,0.0000,nan,100.199,1,1.0000,709.0,0,0,0.00000
711424,-0.479415,283.3,0.0000,nan,15.591,1,0.0000,272.0,0,0,0.00000
731836,-0.701718,281.9,0.0000,nan,99.596,1,1.0000,727.0,0,0,0.00000
751884,-0.902552,342.5,0.0000,nan,99.707,1,1.0000,728.0,0,0,0.00000
772464,-0.944219,353.0,0.0000,nan,39.714,2,0.0000,404.5,0,0,0.00000
790608,-1.048333,365.6,0.0000,nan,18.445,1,0.0000,286.0,0,0,0.00000
810656,-1.065130,370.8,0.0000,nan,38.826,1,0.0000,390.0,0,0,0.00000
