timestep,ep_rew_mean,ep_len_mean,correctness_rate,alignment_mean,episode_seconds_mean,episodes,truncation_rate,context_size_mean,examples_seen,dataset_pass,kl_step_mean
1657236,-1.158616,476.7,0.0000,nan,49.032,1,0.0000,414.0,0,0,0.00000
1689016,-1.427133,509.8,0.0000,nan,107.620,1,1.0000,718.0,0,0,0.00000
1721104,-1.752830,571.8,0.0000,nan,99.040,1,1.0000,724.0,0,0,0.00000
1745604,-1.366338,498.3,0.0000,nan,58.354,1,0.0000,461.0,0,0,0.00000
1777804,-1.516550,531.0,0.0000,nan,114.156,1,1.0000,753.0,0,0,0.00000
1810060,-1.729146,577.6,0.0000,nan,110.205,1,1.0000,734.0,0,0,0.00000
1826496,-0.928369,316.6,0.0000,nan,102.038,1,1.0000,741.0,0,0,0.00000
1858220,-1.588352,513.7,0.0000,nan,110.361,1,1.0000,729.0,0,0,0.00000
1880004,-1.332673,467.3,0.0000,nan,101.355,1,1.0000,717.0,0,0,0.00000
1903832,-1.144552,429.5,0.0000,nan,103.438,1,1.0000,716.0,0,0,0.00000
1926372,-1.125912,428.2,0.0000,nan,108.866,1,1.0000,759.0,0,0,0.00000
1957676,-1.498901,513.6,0.0000,nan,106.711,1,1.0000,715.0,0,0,0.00000
1978956,-1.028937,459.4,0.0000,nan,100.628,1,1.0000,716.0,0,0,0.00000
2000684,-0.915566,405.5,0.0000,nan,102.905,1,1.0000,731.0,0,0,0.00000
