timestep,ep_rew_mean,ep_len_mean,correctness_rate,alignment_mean,episode_seconds_mean,episodes,truncation_rate,context_size_mean,examples_seen,dataset_pass,kl_step_mean
6132,0.796979,75.3,1.0000,nan,10.642,2,0.0000,307.5,0,0,0.00000
7056,0.829438,45.4,1.0000,nan,5.619,1,0.0000,286.0,0,0,0.00000
31892,-0.301466,257.1,0.0000,nan,89.152,1,1.0000,689.0,0,0,0.00000
40880,0.230422,193.5,0.0000,nan,48.196,1,0.0000,507.0,0,0,0.00000
55888,-0.269107,240.8,0.6667,nan,27.673,3,0.0000,401.7,0,0,0.00000
59108,-0.108538,208.7,1.0000,nan,5.203,1,0.0000,282.0,0,0,0.00000
68936,0.171612,127.5,0.0000,nan,35.536,1,0.0000,430.0,0,0,0.00000
83468,-0.175630,218.0,0.0000,nan,89.114,1,1.0000,724.0,0,0,0.00000
89628,0.103429,220.4,1.0000,nan,29.407,1,0.0000,405.0,0,0,0.00000
93324,0.788312,89.9,1.0000,nan,7.677,1,0.0000,294.0,0,0,0.00000
100604,0.742089,142.0,1.0000,nan,45.755,1,0.0000,497.0,0,0,0.00000
101640,0.819207,56.6,1.0000,nan,2.906,2,0.0000,272.0,0,0,0.00000
117684,0.410984,174.7,0.0000,nan,55.745,1,0.0000,524.0,0,0,0.00000
127316,0.201112,224.7,0.0000,nan,34.954,1,0.0000,434.0,0,0,0.00000
142016,0.115184,206.6,0.6667,nan,19.443,3,0.0000,358.0,0,0,0.00000
146188,-0.143925,185.5,0.0000,nan,18.493,1,0.0000,346.0,0,0,0.00000
158788,-0.305464,160.5,0.0000,nan,48.103,1,0.0000,490.0,0,0,0.00000
169988,-0.073950,212.0,0.0000,nan,52.908,1,0.0000,527.0,0,0,0.00000
175028,0.314132,111.8,0.5000,nan,8.627,2,0.0000,301.5,0,0,0.00000
195356,0.401849,183.1,1.0000,nan,20.841,4,0.0000,362.8,0,0,0.00000
203840,0.072628,234.4,0.0000,nan,30.223,1,0.0000,416.0,0,0,0.00000
208264,0.492801,111.8,1.0000,nan,14.536,1,0.0000,335.0,0,0,0.00000
215488,0.494178,107.1,1.0000,nan,13.689,1,0.0000,330.0,0,0,0.00000
232008,0.098689,209.9,0.0000,nan,81.426,1,1.0000,720.0,0,0,0.00000
241612,-0.219865,255.0,0.0000,nan,42.073,1,0.0000,475.0,0,0,0.00000
255416,-0.110807,172.8,0.5000,nan,13.231,6,0.0000,333.8,0,0,0.00000
269332,-0.202284,223.1,0.6667,nan,19.184,3,0.0000,362.7,0,0,0.00000
280168,-0.392892,267.2,0.0000,nan,41.762,1,0.0000,469.0,0,0,0.00000
297892,-0.396941,264.4,0.5000,nan,32.504,2,0.0000,427.5,0,0,0.00000
314076,0.112538,195.6,0.0000,nan,88.364,1,1.0000,715.0,0,0,0.00000
317212,0.451414,108.6,1.0000,nan,5.230,2,0.0000,282.5,0,0,0.00000
336924,-0.183115,228.7,0.0000,nan,108.299,1,1.0000,817.0,0,0,0.00000
351344,-0.262154,312.2,0.0000,nan,64.031,1,0.0000,583.0,0,0,0.00000
370832,-0.452662,281.8,0.5000,nan,33.127,2,0.0000,422.5,0,0,0.00000
379120,-0.531298,239.6,0.0000,nan,28.187,1,0.0000,394.0,0,0,0.00000
386512,0.321015,118.1,1.0000,nan,34.027,1,0.0000,430.0,0,0,0.00000
388668,0.825640,50.1,1.0000,nan,1.516,2,0.0000,264.5,0,0,0.00000
405216,-0.169784,184.2,0.0000,nan,33.649,1,0.0000,419.0,0,0,0.00000
415072,0.717608,157.9,1.0000,nan,59.946,1,0.0000,574.0,0,0,0.00000
419776,0.767630,111.8,1.0000,nan,10.379,2,0.0000,309.5,0,0,0.00000
432768,0.138268,169.6,0.0000,nan,55.483,1,0.0000,530.0,0,0,0.00000
436772,-0.005810,147.0,0.0000,nan,9.104,1,0.0000,302.0,0,0,0.00000
449568,-0.024936,162.6,0.0000,nan,45.917,1,0.0000,482.0,0,0,0.00000
455168,0.264969,157.0,1.0000,nan,31.028,1,0.0000,420.0,0,0,0.00000
471688,-0.183191,216.8,0.0000,nan,85.822,1,1.0000,698.0,0,0,0.00000
480900,0.777673,110.9,1.0000,nan,55.506,1,0.0000,551.0,0,0,0.00000
505428,-0.628640,337.2,0.0000,nan,87.819,1,1.0000,687.0,0,0,0.00000
515116,-0.197603,192.3,0.5000,nan,19.293,2,0.0000,356.0,0,0,0.00000
526484,-0.061495,193.0,1.0000,nan,53.946,1,0.0000,533.0,0,0,0.00000
537824,0.472045,211.5,1.0000,nan,48.750,1,0.0000,502.0,0,0,0.00000
543004,0.767603,106.7,1.0000,nan,9.104,2,0.0000,304.0,0,0,0.00000
550956,0.751583,129.6,1.0000,nan,21.226,1,0.0000,360.0,0,0,0.00000
568764,0.132516,195.0,1.0000,nan,18.870,5,0.0000,354.8,0,0,0.00000
579152,-0.494944,254.2,0.0000,nan,27.117,1,0.0000,390.0,0,0,0.00000
589260,-0.043503,189.0,1.0000,nan,29.437,1,0.0000,402.0,0,0,0.00000
599116,0.128027,182.2,0.0000,nan,39.984,1,0.0000,454.0,0,0,0.00000
609336,0.282664,162.8,0.0000,nan,55.932,1,0.0000,545.0,0,0,0.00000
628348,-0.054975,209.0,0.6667,nan,27.206,3,0.0000,393.3,0,0,0.00000
631260,0.130211,171.8,1.0000,nan,6.871,1,0.0000,290.0,0,0,0.00000
640948,0.476306,122.0,0.0000,nan,51.011,1,0.0000,520.0,0,0,0.00000
643076,0.485907,108.2,1.0000,nan,6.357,1,0.0000,287.0,0,0,0.00000
650832,0.485976,95.2,0.0000,nan,39.947,1,0.0000,465.0,0,0,0.00000
672476,-0.571713,285.7,0.0000,nan,69.013,1,0.0000,588.0,0,0,0.00000
690228,-0.286527,262.0,1.0000,nan,93.033,1,1.0000,735.0,0,0,0.00000
705908,-0.022817,181.6,0.5000,nan,11.677,4,0.0000,315.8,0,0,0.00000
721980,0.120570,195.4,1.0000,nan,17.813,3,0.0000,347.3,0,0,0.00000
736456,0.136834,160.8,0.0000,nan,82.774,1,1.0000,687.0,0,0,0.00000
754684,0.132650,177.2,1.0000,nan,20.785,4,0.0000,360.8,0,0,0.00000
757316,0.135393,172.1,1.0000,nan,12.776,1,0.0000,322.0,0,0,0.00000
764288,0.509383,92.6,1.0000,nan,4.236,1,0.0000,277.0,0,0,0.00000
773248,0.454486,156.9,1.0000,nan,51.128,1,0.0000,520.0,0,0,0.00000
783048,0.407213,182.1,1.0000,nan,21.324,2,0.0000,366.5,0,0,0.00000
803880,-0.239937,256.5,0.0000,nan,102.272,1,1.0000,777.0,0,0,0.00000
808752,-0.376939,231.1,1.0000,nan,11.559,1,0.0000,312.0,0,0,0.00000
826560,0.415395,195.4,1.0000,nan,20.338,3,0.0000,359.0,0,0,0.00000
846916,0.345570,251.8,1.0000,nan,100.995,1,1.0000,770.0,0,0,0.00000
850864,0.382298,211.6,1.0000,nan,10.184,1,0.0000,307.0,0,0,0.00000
853664,0.818332,61.5,1.0000,nan,10.048,1,0.0000,306.0,0,0,0.00000
861056,0.787231,96.0,1.0000,nan,28.622,1,0.0000,394.0,0,0,0.00000
869176,0.464022,139.9,1.0000,nan,32.652,1,0.0000,418.0,0,0,0.00000
885164,-0.079422,235.1,0.6667,nan,24.589,3,0.0000,384.7,0,0,0.00000
895552,0.038655,206.5,1.0000,nan,19.439,2,0.0000,354.0,0,0,0.00000
899780,0.147213,129.7,0.0000,nan,15.518,1,0.0000,333.0,0,0,0.00000
909020,0.161510,125.7,0.0000,nan,45.716,1,0.0000,489.0,0,0,0.00000
920892,0.384782,199.4,1.0000,nan,24.667,1,0.0000,377.0,0,0,0.00000
923356,0.748301,129.0,1.0000,nan,8.325,1,0.0000,297.0,0,0,0.00000
926856,0.813182,56.1,1.0000,nan,19.118,1,0.0000,355.0,0,0,0.00000
933772,0.781886,104.3,1.0000,nan,27.713,1,0.0000,391.0,0,0,0.00000
951048,0.385851,213.8,1.0000,nan,23.104,3,0.0000,375.3,0,0,0.00000
955528,0.399845,196.8,1.0000,nan,26.579,1,0.0000,395.0,0,0,0.00000
957068,0.542169,57.6,1.0000,nan,6.230,1,0.0000,287.0,0,0,0.00000
960372,0.671034,45.4,1.0000,nan,9.876,1,0.0000,305.0,0,0,0.00000
970956,0.492832,133.1,0.0000,nan,40.843,1,0.0000,454.0,0,0,0.00000
988736,-0.233348,261.9,0.0000,nan,85.158,1,1.0000,692.0,0,0,0.00000
1001784,-0.568727,284.3,0.0000,nan,47.512,1,0.0000,488.0,0,0,0.00000
1004304,0.010804,128.0,1.0000,nan,5.449,1,0.0000,283.0,0,0,0.00000
1007888,0.527526,57.9,1.0000,nan,16.045,1,0.0000,338.0,0,0,0.00000
1014076,0.805874,78.5,1.0000,nan,4.076,2,0.0000,276.0,0,0,0.00000
1021916,0.750826,135.4,1.0000,nan,33.172,1,0.0000,424.0,0,0,0.00000
1030988,0.716457,155.6,1.0000,nan,44.059,1,0.0000,486.0,0,0,0.00000
1035776,0.764213,106.9,1.0000,nan,31.384,1,0.0000,423.0,0,0,0.00000
1042776,0.454168,129.3,1.0000,nan,21.304,1,0.0000,360.0,0,0,0.00000
1055208,-0.180228,182.0,0.0000,nan,29.902,1,0.0000,398.0,0,0,0.00000
1072176,-0.395213,264.1,0.0000,nan,89.991,1,1.0000,723.0,0,0,0.00000
1081388,-0.239444,220.7,0.5000,nan,24.106,2,0.0000,381.5,0,0,0.00000
1093652,0.067842,230.0,1.0000,nan,27.540,1,0.0000,390.0,0,0,0.00000
1105104,0.255289,169.8,1.0000,nan,18.570,2,0.0000,349.5,0,0,0.00000
1122436,0.068196,209.3,1.0000,nan,17.892,5,0.0000,348.6,0,0,0.00000
1133384,0.428892,164.5,1.0000,nan,61.655,1,0.0000,579.0,0,0,0.00000
1150940,0.402776,172.5,1.0000,nan,100.458,1,1.0000,772.0,0,0,0.00000
1158136,0.464327,118.7,0.0000,nan,45.185,1,0.0000,493.0,0,0,0.00000
1168552,0.416493,177.1,1.0000,nan,39.647,1,0.0000,449.0,0,0,0.00000
1186332,-0.280091,267.3,0.0000,nan,87.046,1,1.0000,697.0,0,0,0.00000
1193108,0.208288,97.2,0.8000,nan,6.061,5,0.0000,288.8,0,0,0.00000
1214472,-0.263171,285.8,1.0000,nan,65.396,1,0.0000,572.0,0,0,0.00000
1219876,0.617663,97.7,1.0000,nan,36.934,1,0.0000,449.0,0,0,0.00000
1223712,0.774997,107.0,1.0000,nan,8.958,1,0.0000,300.0,0,0,0.00000
1230040,0.782409,96.5,1.0000,nan,22.608,1,0.0000,367.0,0,0,0.00000
1243144,0.120660,195.6,1.0000,nan,16.781,4,0.0000,345.2,0,0,0.00000
1258264,-0.065019,219.7,1.0000,nan,91.281,1,1.0000,729.0,0,0,0.00000
1263948,-0.052474,218.1,0.0000,nan,17.924,1,0.0000,343.0,0,0,0.00000
1273692,0.203132,124.0,0.5000,nan,17.938,2,0.0000,344.0,0,0,0.00000
1278704,0.332619,104.6,1.0000,nan,12.096,2,0.0000,318.5,0,0,0.00000
1282568,0.230756,89.1,1.0000,nan,8.511,1,0.0000,298.0,0,0,0.00000
1287160,0.243792,79.6,0.0000,nan,14.663,1,0.0000,328.0,0,0,0.00000
1291892,0.639812,84.7,1.0000,nan,19.978,1,0.0000,357.0,0,0,0.00000
1299256,0.481571,112.7,0.0000,nan,30.936,1,0.0000,409.0,0,0,0.00000
1305500,0.474591,122.8,1.0000,nan,25.838,1,0.0000,384.0,0,0,0.00000
1321068,-0.446076,207.5,0.0000,nan,91.322,1,1.0000,734.0,0,0,0.00000
1331008,0.357990,204.3,1.0000,nan,20.247,2,0.0000,359.5,0,0,0.00000
1336972,0.445738,146.5,0.0000,nan,20.048,1,0.0000,354.0,0,0,0.00000
1356180,0.024374,261.0,0.0000,nan,93.932,1,1.0000,735.0,0,0,0.00000
1361836,0.386159,155.2,1.0000,nan,9.571,2,0.0000,306.5,0,0,0.00000
1371384,0.218133,102.1,0.6667,nan,13.636,3,0.0000,325.3,0,0,0.00000
1386588,-0.059303,223.0,1.0000,nan,17.105,1,0.0000,339.0,0,0,0.00000
1398236,0.355661,258.7,1.0000,nan,40.726,1,0.0000,450.0,0,0,0.00000
1407140,0.712819,182.4,1.0000,nan,33.365,1,0.0000,417.0,0,0,0.00000
1418788,0.416391,192.5,0.5000,nan,27.445,2,0.0000,398.0,0,0,0.00000
1435420,-0.241501,245.7,0.5000,nan,19.441,2,0.0000,355.5,0,0,0.00000
1443568,0.077078,179.0,1.0000,nan,47.432,1,0.0000,502.0,0,0,0.00000
1448692,0.455046,129.8,0.0000,nan,21.618,1,0.0000,362.0,0,0,0.00000
1464848,-0.008719,212.3,1.0000,nan,88.330,1,1.0000,711.0,0,0,0.00000
1467396,-0.142334,187.8,1.0000,nan,7.959,1,0.0000,295.0,0,0,0.00000
1482572,-0.201464,195.4,0.7500,nan,18.673,4,0.0000,353.0,0,0,0.00000
1486912,-0.078713,190.4,1.0000,nan,12.389,1,0.0000,316.0,0,0,0.00000
1499344,0.751675,146.4,1.0000,nan,52.154,1,0.0000,511.0,0,0,0.00000
1510600,0.711754,187.5,1.0000,nan,51.268,1,0.0000,514.0,0,0,0.00000
1526280,0.355965,252.0,0.0000,nan,60.083,1,0.0000,550.0,0,0,0.00000
1531208,0.052051,105.4,1.0000,nan,26.989,1,0.0000,395.0,0,0,0.00000
1542072,0.133168,155.6,0.0000,nan,23.340,2,0.0000,372.0,0,0,0.00000
1558564,-0.194280,239.3,0.0000,nan,95.112,1,1.0000,754.0,0,0,0.00000
1575616,-0.282866,303.2,1.0000,nan,80.780,1,0.0000,667.0,0,0,0.00000
1589700,0.162439,286.0,1.0000,nan,13.441,1,0.0000,322.0,0,0,0.00000
1607144,-0.138049,246.7,1.0000,nan,95.074,1,1.0000,745.0,0,0,0.00000
1613416,0.051907,213.8,1.0000,nan,10.495,1,0.0000,307.0,0,0,0.00000
1621844,0.187549,117.2,0.7500,nan,8.822,4,0.0000,303.2,0,0,0.00000
1630776,0.541662,183.5,1.0000,nan,47.964,1,0.0000,505.0,0,0,0.00000
1635228,0.751755,133.8,1.0000,nan,10.514,1,0.0000,305.0,0,0,0.00000
1653568,0.326859,242.3,1.0000,nan,87.246,1,1.0000,702.0,0,0,0.00000
1664768,-0.078561,217.9,0.0000,nan,53.333,1,0.0000,527.0,0,0,0.00000
1667988,0.308082,127.6,1.0000,nan,8.973,1,0.0000,300.0,0,0,0.00000
1672160,0.801787,80.1,1.0000,nan,26.193,1,0.0000,392.0,0,0,0.00000
1679860,0.456839,130.2,1.0000,nan,10.399,1,0.0000,307.0,0,0,0.00000
1699208,-0.416013,274.8,0.5000,nan,38.302,2,0.0000,448.5,0,0,0.00000
1712340,-0.449144,288.8,0.0000,nan,62.272,1,0.0000,570.0,0,0,0.00000
1716820,0.408999,157.4,1.0000,nan,14.078,1,0.0000,324.0,0,0,0.00000
1727320,0.734859,141.8,1.0000,nan,35.221,1,0.0000,426.0,0,0,0.00000
1730764,0.766261,119.2,1.0000,nan,13.469,1,0.0000,322.0,0,0,0.00000
1740564,0.199301,125.5,0.0000,nan,37.300,1,0.0000,437.0,0,0,0.00000
1751176,0.450352,118.0,1.0000,nan,16.037,3,0.0000,336.3,0,0,0.00000
1758092,0.147930,147.6,1.0000,nan,26.119,1,0.0000,384.0,0,0,0.00000
1775760,-0.184645,170.6,0.0000,nan,86.470,1,1.0000,697.0,0,0,0.00000
1791692,-0.778291,299.0,1.0000,nan,28.521,1,0.0000,395.0,0,0,0.00000
1799840,0.743141,147.0,1.0000,nan,53.223,1,0.0000,536.0,0,0,0.00000
1806196,0.467858,133.4,0.0000,nan,33.663,1,0.0000,430.0,0,0,0.00000
1810844,0.209432,109.3,0.0000,nan,13.617,1,0.0000,322.0,0,0,0.00000
1820476,0.594377,135.0,1.0000,nan,22.328,1,0.0000,365.0,0,0,0.00000
1829744,0.711428,176.0,1.0000,nan,29.712,1,0.0000,400.0,0,0,0.00000
1841980,0.694902,197.9,1.0000,nan,49.872,1,0.0000,502.0,0,0,0.00000
1853740,0.402997,216.9,0.0000,nan,34.379,1,0.0000,423.0,0,0,0.00000
1868104,-0.465068,202.0,0.0000,nan,88.900,1,1.0000,720.0,0,0,0.00000
1884204,0.426091,205.3,1.0000,nan,11.659,5,0.0000,317.2,0,0,0.00000
1898288,-0.428086,295.3,0.0000,nan,95.821,1,1.0000,756.0,0,0,0.00000
1914668,0.128762,242.3,0.6667,nan,29.771,3,0.0000,409.0,0,0,0.00000
