timestep,correct_full,correct_random,correct_kv_norm,correct_learned,retention,evict_attn_percentile,evict_mean_pos_frac,evict_sink_frac,evict_generated_frac,truncation_rate
130396,0.7500,0.5625,0.6250,0.5000,0.5833,nan,0.6328,0.0000,0.8751,0.0000
313068,0.7500,0.5625,0.6250,0.5938,0.6250,nan,0.5520,0.0000,0.6902,0.1250
485492,0.7500,0.5625,0.6250,0.5312,0.6250,nan,0.5686,0.0000,0.7251,0.0312
661528,0.7500,0.5625,0.6250,0.6250,0.6250,nan,0.5727,0.0000,0.7485,0.1562
859040,0.7500,0.5625,0.6250,0.5938,0.6250,nan,0.6491,0.0000,0.8117,0.0625
984340,0.7500,0.5625,0.6250,0.6562,0.7083,nan,0.5274,0.0000,0.6996,0.0000
1180648,0.7500,0.5625,0.6250,0.5312,0.5833,nan,0.5312,0.0000,0.7057,0.0625
1352736,0.7500,0.5625,0.6250,0.6250,0.6667,nan,0.5694,0.0000,0.7547,0.0625
1475964,0.7500,0.5625,0.6250,0.5938,0.6250,nan,0.6412,0.0000,0.7736,0.1250
1636796,0.7500,0.5625,0.6250,0.5938,0.6667,nan,0.5677,0.0000,0.7309,0.0000
127316,0.7500,0.5625,0.6250,0.4688,0.5833,nan,0.8353,0.0000,0.9968,0.0312
309148,0.7500,0.5625,0.6250,0.6250,0.6667,nan,0.4814,0.0000,0.6326,0.0000
452032,0.7500,0.5625,0.6250,0.5938,0.7083,nan,0.6215,0.0000,0.8039,0.0000
600936,0.7500,0.5625,0.6250,0.5312,0.5833,nan,0.6790,0.0000,0.8546,0.0000
756616,0.7500,0.5625,0.6250,0.6875,0.7500,nan,0.5982,0.0000,0.8138,0.0000
912184,0.7500,0.5625,0.6250,0.6875,0.7083,nan,0.5901,0.0000,0.8590,0.0000
1088220,0.7500,0.5625,0.6250,0.5625,0.5833,nan,0.5971,0.0000,0.8354,0.0000
1240904,0.7500,0.5625,0.6250,0.4688,0.5833,nan,0.6735,0.0000,0.8685,0.0312
1384880,0.7500,0.5625,0.6250,0.5938,0.6250,nan,0.6473,0.0000,0.8255,0.1875
142016,0.7500,0.5625,0.6250,0.5312,0.5833,nan,0.5256,0.0000,0.8022,0.0000
314076,0.7500,0.5625,0.6250,0.5312,0.5417,nan,0.5733,0.0000,0.8479,0.0625
471688,0.7500,0.5625,0.6250,0.6562,0.7083,nan,0.5435,0.0000,0.7116,0.0000
640948,0.7500,0.5625,0.6250,0.7188,0.7917,nan,0.5883,0.0000,0.7675,0.0000
826560,0.7500,0.5625,0.6250,0.6250,0.6250,nan,0.5235,0.0000,0.7041,0.0000
955528,0.7500,0.5625,0.6250,0.5000,0.5833,nan,0.6234,0.0000,0.7485,0.0000
1081388,0.7500,0.5625,0.6250,0.5000,0.5000,nan,0.5778,0.0000,0.7613,0.3438
1258264,0.7500,0.5625,0.6250,0.5625,0.6250,nan,0.5155,0.0000,0.6601,0.0625
1386588,0.7500,0.5625,0.6250,0.5938,0.6250,nan,0.4788,0.0000,0.5879,0.0000
1542072,0.7500,0.5625,0.6250,0.5625,0.6667,nan,0.5771,0.0000,0.7251,0.0000
1712340,0.7500,0.5625,0.6250,0.5938,0.6667,nan,0.5739,0.0000,0.6997,0.0000
1853740,0.7500,0.5625,0.6250,0.5625,0.5833,nan,0.5394,0.0000,0.6722,0.0000
