timestep,correct_full,correct_random,correct_kv_norm,correct_learned,retention,evict_attn_percentile,evict_mean_pos_frac,evict_sink_frac,evict_generated_frac,truncation_rate
161700,0.7500,0.5625,0.6250,0.6562,0.7083,nan,0.5379,0.0000,0.6482,0.1250
328972,0.7500,0.5625,0.6250,0.6562,0.7083,nan,0.5077,0.0000,0.6334,0.0938
525000,0.7500,0.5625,0.6250,0.5938,0.6667,nan,0.4700,0.0000,0.5838,0.0312
700644,0.7500,0.5625,0.6250,0.5625,0.6667,nan,0.5509,0.0000,0.6652,0.1562
932484,0.7500,0.5625,0.6250,0.5312,0.5000,nan,0.6037,0.0000,0.7291,0.3125
1085700,0.7500,0.5625,0.6250,0.6250,0.6667,nan,0.4731,0.0000,0.5820,0.0625
1283212,0.7500,0.5625,0.6250,0.5938,0.6250,nan,0.5657,0.0000,0.6813,0.1875
1415764,0.7500,0.5625,0.6250,0.6562,0.6667,nan,0.5212,0.0000,0.6244,0.0938
1624364,0.7500,0.5625,0.6250,0.5938,0.6667,nan,0.5825,0.0000,0.6953,0.2188
1958600,0.7500,0.5625,0.6250,0.5625,0.6250,nan,0.5688,0.0000,0.6797,0.1875
