timestep,ep_rew_mean,ep_len_mean,correctness_rate,alignment_mean,episode_seconds_mean,episodes,truncation_rate,context_size_mean,examples_seen,dataset_pass,kl_step_mean
4956,0.725135,78.3,1.0000,nan,19.960,2,0.0000,311.5,0,0,0.01451
7784,0.730463,72.8,1.0000,nan,23.145,1,0.0000,339.0,0,0,0.02284
11788,0.451930,61.8,0.6667,nan,9.787,3,0.0000,285.3,0,0,0.01045
22820,-0.172739,162.1,0.0000,nan,80.311,1,0.0000,574.0,0,0,0.05615
39480,-1.529901,200.5,0.8000,nan,23.495,5,0.0000,347.8,0,0,0.02463
41272,-0.591153,100.1,0.5000,nan,12.376,2,0.0000,279.5,0,0,0.00239
48664,0.220934,92.4,0.0000,nan,37.439,1,0.0000,396.0,0,0,0.02996
55916,0.078139,99.8,1.0000,nan,47.941,1,0.0000,424.0,0,0,0.08377
65240,0.395341,142.9,1.0000,nan,38.756,1,0.0000,421.0,0,0,0.01036
91952,-2.304651,302.3,0.5000,nan,59.107,2,0.5000,500.5,0,0,0.14808
111300,-1.422950,299.2,1.0000,nan,127.926,1,1.0000,735.0,0,0,0.24833
118580,-0.960094,221.7,1.0000,nan,26.204,1,0.0000,368.0,0,0,0.00941
137340,-0.723372,205.7,1.0000,nan,131.487,1,1.0000,734.0,0,0,0.19746
148876,-0.713444,208.5,1.0000,nan,65.656,1,0.0000,505.0,0,0,0.05344
152936,0.351611,119.6,1.0000,nan,10.011,1,0.0000,299.0,0,0,0.01010
168952,-1.193230,190.4,0.5000,nan,29.236,2,0.0000,340.5,0,0,0.01357
179900,-0.616744,211.5,0.0000,nan,68.314,1,0.0000,517.0,0,0,0.02869
188160,0.116913,172.2,1.0000,nan,40.947,1,0.0000,418.0,0,0,0.05933
208768,-1.476645,281.7,1.0000,nan,117.720,1,1.0000,720.0,0,0,0.19902
215824,-1.041768,228.7,1.0000,nan,3.147,1,0.0000,270.0,0,0,0.00017
234136,-0.975154,265.6,1.0000,nan,122.298,1,1.0000,695.0,0,0,0.11897
241248,-0.510351,219.0,1.0000,nan,34.907,1,0.0000,393.0,0,0,0.01050
250152,0.276642,146.0,1.0000,nan,31.599,1,0.0000,391.0,0,0,0.01036
260148,-0.415333,168.6,1.0000,nan,24.955,2,0.0000,356.5,0,0,0.02087
270088,-0.753726,205.2,1.0000,nan,58.803,1,0.0000,496.0,0,0,0.07901
287560,-1.346210,287.2,1.0000,nan,50.793,2,0.0000,455.5,0,0,0.01523
293272,-1.428149,237.3,0.0000,nan,31.285,1,0.0000,368.0,0,0,0.01277
298704,0.488518,72.9,1.0000,nan,11.048,2,0.0000,293.5,0,0,0.01555
314580,-2.112950,202.4,1.0000,nan,111.047,1,1.0000,724.0,0,0,0.49352
339192,-3.751931,338.2,0.5000,nan,46.864,2,0.0000,447.5,0,0,0.08563
345856,-2.092568,233.4,0.0000,nan,61.545,1,0.0000,476.0,0,0,0.09098
362236,-0.852902,262.4,1.0000,nan,40.216,2,0.0000,426.0,0,0,0.10083
372848,-0.580867,205.5,0.0000,nan,73.957,1,0.0000,553.0,0,0,0.08160
379960,-0.135070,167.4,1.0000,nan,25.389,1,0.0000,364.0,0,0,0.02837
