timestep,correct_full,correct_random,correct_kv_norm,correct_learned,retention,evict_attn_percentile,evict_mean_pos_frac,evict_sink_frac,evict_generated_frac,truncation_rate
152936,0.7500,0.7500,0.7500,0.6875,0.8333,nan,0.6594,0.0000,0.8947,0.0000
339192,0.7500,0.7500,0.7500,0.6562,0.7917,nan,0.6961,0.0000,0.8193,0.2500
492184,0.7500,0.7500,0.7500,0.6875,0.7500,nan,0.7039,0.0000,0.7670,0.0312
669424,0.7500,0.7500,0.7500,0.6875,0.7917,nan,0.2983,0.0000,0.3607,0.0000
821324,0.7500,0.7500,0.7500,0.6250,0.7500,nan,0.3761,0.0000,0.4773,0.0000
968324,0.7500,0.7500,0.7500,0.7500,0.8750,nan,0.5450,0.0000,0.7520,0.0000
1108968,0.7500,0.7500,0.7500,0.7500,0.8750,nan,0.5800,0.0000,0.7439,0.0000
1260224,0.7500,0.7500,0.7500,0.7188,0.8333,nan,0.4672,0.0000,0.6281,0.0000
1422736,0.7500,0.7500,0.7500,0.7188,0.7917,nan,0.5371,0.0000,0.7057,0.0000
1588076,0.7500,0.7500,0.7500,0.6875,0.7500,nan,0.6426,0.0000,0.8186,0.0000
1711864,0.7500,0.7500,0.7500,0.5938,0.7500,nan,0.6723,0.0000,0.8064,0.0000
1868384,0.7500,0.7500,0.7500,0.5938,0.7083,nan,0.7012,0.0000,0.8444,0.0000
2024036,0.7500,0.7500,0.7500,0.7500,0.8333,nan,0.6289,0.0000,0.7950,0.0000
2181200,0.7500,0.7500,0.7500,0.7188,0.8333,nan,0.6207,0.0000,0.7695,0.0312
2305912,0.7500,0.7500,0.7500,0.6562,0.7500,nan,0.6029,0.0000,0.7251,0.0000
2498804,0.7500,0.7500,0.7500,0.4688,0.5833,nan,0.6358,0.0000,0.7514,0.0000
2624244,0.7500,0.7500,0.7500,0.6250,0.7083,nan,0.6435,0.0000,0.7756,0.0625
2778552,0.7500,0.7500,0.7500,0.7812,0.8750,nan,0.5687,0.0000,0.7374,0.0000
2912112,0.7500,0.7500,0.7500,0.7500,0.7917,nan,0.6479,0.0000,0.7964,0.0000
3036964,0.7500,0.7500,0.7500,0.6562,0.7500,nan,0.7436,0.0000,0.8912,0.0000
3192028,0.7500,0.7500,0.7500,0.6250,0.7500,nan,0.7189,0.0000,0.8561,0.0312
3354792,0.7500,0.7500,0.7500,0.6562,0.7917,nan,0.7128,0.0000,0.8602,0.0000
3546900,0.7500,0.7500,0.7500,0.6875,0.7917,nan,0.7225,0.0000,0.8607,0.0312
3665368,0.7500,0.7500,0.7500,0.7188,0.8750,nan,0.5973,0.0000,0.7495,0.0000
3804472,0.7500,0.7500,0.7500,0.7188,0.8333,nan,0.6091,0.0000,0.7571,0.0938
3955840,0.7500,0.7500,0.7500,0.6875,0.7917,nan,0.6125,0.0000,0.7728,0.1250
4075876,0.7500,0.7500,0.7500,0.6562,0.7500,nan,0.6338,0.0000,0.7897,0.1250
4228420,0.7500,0.7500,0.7500,0.7188,0.7917,nan,0.6030,0.0000,0.7506,0.0000
4368644,0.7500,0.7500,0.7500,0.6875,0.8333,nan,0.6247,0.0000,0.7771,0.0312
4513824,0.7500,0.7500,0.7500,0.7500,0.8333,nan,0.6530,0.0000,0.8031,0.0000
4670596,0.7500,0.7500,0.7500,0.6875,0.7917,nan,0.5969,0.0000,0.7826,0.0000
4837448,0.7500,0.7500,0.7500,0.6875,0.7917,nan,0.6002,0.0000,0.7494,0.0000
5000492,0.7500,0.7500,0.7500,0.7500,0.8333,nan,0.6400,0.0000,0.7855,0.0938
