timestep,ep_rew_mean,ep_len_mean,correctness_rate,alignment_mean,episode_seconds_mean,episodes,truncation_rate,context_size_mean,examples_seen,dataset_pass,kl_step_mean
5208,0.295131,93.0,1.0000,nan,20.318,1,0.0000,392.0,0,0,0.00000
10276,0.234036,91.8,1.0000,nan,18.994,1,0.0000,386.0,0,0,0.00000
15540,0.513409,93.1,1.0000,nan,20.008,1,0.0000,393.0,0,0,0.00000
20412,0.526967,90.3,1.0000,nan,21.158,1,0.0000,398.0,0,0,0.00000
25956,0.360441,94.9,1.0000,nan,22.315,1,0.0000,401.0,0,0,0.00000
36120,0.150398,147.0,0.0000,nan,55.636,1,1.0000,567.0,0,0,0.00000
46788,-0.218588,175.6,1.0000,nan,21.197,2,0.0000,399.5,0,0,0.00000
52388,0.148830,148.9,1.0000,nan,23.271,1,0.0000,407.0,0,0,0.00000
57400,0.514409,94.8,1.0000,nan,19.794,1,0.0000,390.0,0,0,0.00000
63112,0.234663,96.6,1.0000,nan,22.376,1,0.0000,403.0,0,0,0.00000
73388,0.429403,140.2,0.0000,nan,56.811,1,0.0000,574.0,0,0,0.00000
80136,0.410869,156.4,1.0000,nan,21.225,1,0.0000,397.0,0,0,0.00000
90832,0.138487,159.6,0.0000,nan,58.221,1,1.0000,579.0,0,0,0.00000
106540,-1.145529,251.7,0.0000,nan,62.770,1,1.0000,583.0,0,0,0.00000
111888,-0.503084,177.1,1.0000,nan,20.992,1,0.0000,395.0,0,0,0.00000
119000,-0.064115,113.3,0.0000,nan,32.934,1,0.0000,453.0,0,0,0.00000
124404,0.055661,112.9,1.0000,nan,21.246,1,0.0000,397.0,0,0,0.00000
129892,0.233005,97.4,0.0000,nan,21.455,1,0.0000,395.0,0,0,0.00000
140812,-0.129984,152.7,0.5000,nan,21.627,2,0.0000,403.5,0,0,0.00000
145908,-0.009705,145.4,1.0000,nan,19.682,1,0.0000,389.0,0,0,0.00000
152236,0.496547,103.7,0.0000,nan,28.418,1,0.0000,432.0,0,0,0.00000
157276,0.216776,102.3,0.0000,nan,18.619,1,0.0000,384.0,0,0,0.00000
162736,0.354762,95.0,1.0000,nan,21.488,1,0.0000,398.0,0,0,0.00000
173376,-0.291909,147.3,0.0000,nan,59.837,1,1.0000,584.0,0,0,0.00000
178612,0.147439,146.0,1.0000,nan,21.395,1,0.0000,397.0,0,0,0.00000
193844,-0.217618,193.8,0.0000,nan,59.625,1,0.0000,571.0,0,0,0.00000
204484,-0.780232,177.4,0.0000,nan,20.537,2,0.0000,397.5,0,0,0.00000
210028,-0.011796,150.5,1.0000,nan,22.289,1,0.0000,401.0,0,0,0.00000
225120,-0.494563,194.6,0.0000,nan,59.739,1,1.0000,567.0,0,0,0.00000
230748,-0.498482,175.3,0.0000,nan,21.295,1,0.0000,397.0,0,0,0.00000
236348,0.634501,100.8,1.0000,nan,20.892,1,0.0000,395.0,0,0,0.00000
241640,0.512174,97.6,1.0000,nan,20.883,1,0.0000,395.0,0,0,0.00000
251972,-0.131960,145.0,0.0000,nan,55.991,1,1.0000,568.0,0,0,0.00000
257572,0.150885,147.1,1.0000,nan,22.384,1,0.0000,399.0,0,0,0.00000
263312,0.794690,101.6,1.0000,nan,24.275,1,0.0000,411.0,0,0,0.00000
269528,0.496532,108.2,1.0000,nan,17.337,1,0.0000,379.0,0,0,0.00000
280000,-0.301059,156.9,0.5000,nan,21.285,2,0.0000,401.0,0,0,0.00000
285768,0.149532,152.2,1.0000,nan,23.436,1,0.0000,406.0,0,0,0.00000
296380,-0.129158,149.2,0.5000,nan,20.274,2,0.0000,396.5,0,0,0.00000
306712,-0.373883,197.3,1.0000,nan,57.028,1,1.0000,575.0,0,0,0.00000
312116,0.429982,146.0,1.0000,nan,21.544,1,0.0000,398.0,0,0,0.00000
317604,0.794730,97.4,1.0000,nan,22.664,1,0.0000,403.0,0,0,0.00000
323540,0.794435,103.0,1.0000,nan,23.174,1,0.0000,405.0,0,0,0.00000
328608,0.516798,97.6,0.0000,nan,20.781,1,0.0000,394.0,0,0,0.00000
338772,-0.030272,143.4,1.0000,nan,20.173,2,0.0000,394.5,0,0,0.00000
343840,0.128329,142.2,1.0000,nan,21.336,1,0.0000,398.0,0,0,0.00000
349328,0.794014,95.5,1.0000,nan,22.130,1,0.0000,400.0,0,0,0.00000
359968,0.248593,145.4,0.6667,nan,19.421,3,0.0000,393.7,0,0,0.00000
