timestep,ep_rew_mean,ep_len_mean,correctness_rate,alignment_mean,episode_seconds_mean,episodes,truncation_rate,context_size_mean,examples_seen,dataset_pass,kl_step_mean
5208,0.298063,93.0,1.0000,nan,28.094,1,0.0000,393.0,0,0,0.00000
10416,0.516739,93.1,1.0000,nan,29.621,1,0.0000,397.0,0,0,0.00000
16044,0.794857,97.6,1.0000,nan,28.984,1,0.0000,397.0,0,0,0.00000
21672,0.515701,101.0,0.0000,nan,30.018,1,0.0000,402.0,0,0,0.00000
26852,0.515752,96.1,1.0000,nan,28.116,1,0.0000,396.0,0,0,0.00000
31976,0.794830,92.2,1.0000,nan,25.226,1,0.0000,387.0,0,0,0.00000
37660,0.795271,97.8,1.0000,nan,31.103,1,0.0000,403.0,0,0,0.00000
42980,0.795426,97.9,1.0000,nan,26.633,1,0.0000,390.0,0,0,0.00000
53564,0.141442,149.2,0.5000,nan,28.190,2,0.0000,397.0,0,0,0.00000
59304,-0.018403,152.2,1.0000,nan,30.334,1,0.0000,403.0,0,0,0.00000
69636,-0.288844,148.1,0.0000,nan,72.250,1,1.0000,567.0,0,0,0.00000
75740,-0.585487,151.7,0.0000,nan,28.612,1,0.0000,397.0,0,0,0.00000
85988,-0.315411,151.1,0.5000,nan,29.064,2,0.0000,401.5,0,0,0.00000
91028,-0.146423,142.4,1.0000,nan,26.188,1,0.0000,391.0,0,0,0.00000
97076,0.503465,100.1,1.0000,nan,27.591,1,0.0000,392.0,0,0,0.00000
102760,0.501383,106.4,1.0000,nan,31.727,1,0.0000,405.0,0,0,0.00000
108220,0.633504,99.6,1.0000,nan,31.908,1,0.0000,408.0,0,0,0.00000
114436,0.775972,106.2,1.0000,nan,38.031,1,0.0000,430.0,0,0,0.00000
119812,0.495279,104.8,1.0000,nan,30.049,1,0.0000,400.0,0,0,0.00000
125160,0.354499,96.1,0.0000,nan,29.477,1,0.0000,399.0,0,0,0.00000
130396,0.236063,94.7,1.0000,nan,25.700,1,0.0000,387.0,0,0,0.00000
135856,0.236242,96.6,0.0000,nan,31.591,1,0.0000,404.0,0,0,0.00000
141316,-0.042903,98.2,0.0000,nan,29.213,1,0.0000,397.0,0,0,0.00000
151900,-0.353980,151.4,0.5000,nan,29.669,2,0.0000,403.5,0,0,0.00000
162596,-0.255891,177.4,0.0000,nan,80.462,1,1.0000,582.0,0,0,0.00000
168028,0.149121,147.7,1.0000,nan,29.949,1,0.0000,399.0,0,0,0.00000
173488,0.794412,97.4,1.0000,nan,32.320,1,0.0000,406.0,0,0,0.00000
178976,0.516051,98.7,1.0000,nan,31.346,1,0.0000,404.0,0,0,0.00000
184240,0.075901,96.4,0.0000,nan,26.943,1,0.0000,390.0,0,0,0.00000
189504,0.355329,94.6,1.0000,nan,29.033,1,0.0000,396.0,0,0,0.00000
200032,-0.129951,146.8,0.0000,nan,78.291,1,1.0000,576.0,0,0,0.00000
205576,-0.288667,148.6,0.0000,nan,29.223,1,0.0000,398.0,0,0,0.00000
210728,0.354785,95.3,0.0000,nan,26.698,1,0.0000,390.0,0,0,0.00000
217420,0.337095,107.8,0.0000,nan,42.207,1,0.0000,442.0,0,0,0.00000
223188,0.497535,112.8,1.0000,nan,31.716,1,0.0000,405.0,0,0,0.00000
233520,0.150341,148.5,1.0000,nan,27.370,2,0.0000,396.0,0,0,0.00000
