timestep,correct_full,correct_random,correct_kv_norm,correct_learned,retention,evict_attn_percentile,evict_mean_pos_frac,evict_sink_frac,evict_generated_frac,truncation_rate
42980,1.0000,0.5625,0.6875,0.3750,0.3750,nan,0.4561,0.0000,0.0000,0.0000
102760,1.0000,0.5625,0.6875,0.3125,0.3125,nan,0.5189,0.0000,0.2093,0.0000
151900,1.0000,0.5625,0.6875,0.6875,0.6875,nan,0.7580,0.0000,0.6486,0.1250
205576,1.0000,0.5625,0.6875,0.7500,0.7500,nan,0.3786,0.0000,0.1535,0.0000
262108,1.0000,0.5625,0.6875,0.4375,0.4375,nan,0.6877,0.0000,0.5634,0.1875
322056,1.0000,0.5625,0.6875,0.5000,0.5000,nan,0.4954,0.0000,0.1563,0.0000
376180,1.0000,0.5625,0.6875,0.1875,0.1875,nan,0.7102,0.0000,0.6611,0.6875
432600,1.0000,0.5625,0.6875,0.5000,0.5000,nan,0.7075,0.0000,0.6006,0.1875
487312,1.0000,0.5625,0.6875,0.3125,0.3125,nan,0.6823,0.0000,0.6402,0.8125
532112,1.0000,0.5625,0.6875,0.8750,0.8750,nan,0.6752,0.0000,0.5552,0.3125
583884,1.0000,0.5625,0.6875,0.3750,0.3750,nan,0.7351,0.0000,0.6401,0.5000
633192,1.0000,0.5625,0.6875,0.8125,0.8125,nan,0.6076,0.0000,0.4243,0.0625
681912,1.0000,0.5625,0.6875,0.3750,0.3750,nan,0.6745,0.0000,0.5616,0.3750
736848,1.0000,0.5625,0.6875,0.5000,0.5000,nan,0.7206,0.0000,0.6344,0.3750
790832,1.0000,0.5625,0.6875,0.9375,0.9375,nan,0.6656,0.0000,0.4634,0.0625
846188,1.0000,0.5625,0.6875,0.8750,0.8750,nan,0.6336,0.0000,0.3945,0.0625
905520,1.0000,0.5625,0.6875,0.6875,0.6875,nan,0.6441,0.0000,0.4593,0.1875
955976,1.0000,0.5625,0.6875,0.5625,0.5625,nan,0.5969,0.0000,0.3623,0.1875
1006264,1.0000,0.5625,0.6875,0.3750,0.3750,nan,0.7120,0.0000,0.6107,0.5000
1076432,1.0000,0.5625,0.6875,0.0625,0.0625,nan,0.7428,0.0000,0.7028,0.6250
1136240,1.0000,0.5625,0.6875,0.1875,0.1875,nan,0.6935,0.0000,0.6343,0.6875
1186276,1.0000,0.5625,0.6875,0.0625,0.0625,nan,0.7042,0.0000,0.6709,0.5625
1240624,1.0000,0.5625,0.6875,0.2500,0.2500,nan,0.7040,0.0000,0.6612,0.6250
1283884,1.0000,0.5625,0.6875,0.7500,0.7500,nan,0.6176,0.0000,0.4591,0.0625
1328600,1.0000,0.5625,0.6875,0.6250,0.6250,nan,0.6546,0.0000,0.5242,0.0625
1388128,1.0000,0.5625,0.6875,0.7500,0.7500,nan,0.6123,0.0000,0.4596,0.0625
1438360,1.0000,0.5625,0.6875,0.6875,0.6875,nan,0.6254,0.0000,0.4987,0.1875
1488032,1.0000,0.5625,0.6875,1.0000,1.0000,nan,0.7275,0.0000,0.6088,0.0000
