timestep,ep_rew_mean,ep_len_mean,correctness_rate,alignment_mean,episode_seconds_mean,episodes,truncation_rate,context_size_mean,examples_seen,dataset_pass,kl_step_mean
5152,-0.486746,92.0,0.0000,nan,25.794,1,0.0000,390.0,0,0,0.08646
9436,-0.088196,83.7,0.0000,nan,16.551,1,0.0000,358.0,0,0,0.06490
14700,0.593063,88.6,1.0000,nan,26.600,1,0.0000,393.0,0,0,0.00655
20356,0.417584,98.2,0.0000,nan,27.243,1,0.0000,397.0,0,0,0.05685
30856,0.076348,149.4,0.0000,nan,75.922,1,1.0000,576.0,0,0,0.01644
41468,-1.133371,177.8,0.0000,nan,26.716,2,0.0000,398.5,0,0,0.05315
56952,-1.857199,249.9,0.0000,nan,79.887,1,1.0000,582.0,0,0,0.05782
62552,-0.525347,178.2,1.0000,nan,27.204,1,0.0000,395.0,0,0,0.00221
72576,-0.344716,146.0,0.0000,nan,74.522,1,1.0000,570.0,0,0,0.03855
83160,-0.542155,179.7,1.0000,nan,29.187,2,0.0000,405.0,0,0,0.00471
93016,-0.565892,184.0,0.0000,nan,75.275,1,1.0000,575.0,0,0,0.06542
103488,-0.558568,177.7,1.0000,nan,28.414,2,0.0000,403.0,0,0,0.00108
114156,-1.459688,179.4,0.0000,nan,78.744,1,1.0000,584.0,0,0,0.11926
119504,-0.431119,149.2,1.0000,nan,27.198,1,0.0000,395.0,0,0,0.00335
124852,0.779920,95.7,1.0000,nan,27.815,1,0.0000,397.0,0,0,0.00108
130228,0.454111,95.8,1.0000,nan,27.953,1,0.0000,398.0,0,0,0.00248
140672,-1.059464,150.2,0.5000,nan,29.060,2,0.0000,405.5,0,0,0.02731
146244,-1.017004,149.2,1.0000,nan,29.770,1,0.0000,405.0,0,0,0.00330
156324,-0.353841,142.6,0.0000,nan,75.400,1,1.0000,573.0,0,0,0.03725
162736,-0.221268,154.7,1.0000,nan,37.752,1,0.0000,434.0,0,0,0.00881
167804,0.752841,103.3,1.0000,nan,24.206,1,0.0000,385.0,0,0,0.00192
173488,0.367105,97.4,1.0000,nan,28.504,1,0.0000,400.0,0,0,0.00299
178752,0.356218,97.6,1.0000,nan,28.257,1,0.0000,399.0,0,0,0.00494
183932,0.100365,93.6,0.0000,nan,27.451,1,0.0000,396.0,0,0,0.02811
189000,0.250420,91.7,1.0000,nan,27.638,1,0.0000,397.0,0,0,0.00132
199668,-0.281861,149.2,1.0000,nan,27.222,2,0.0000,398.0,0,0,0.00264
205212,-0.642545,150.5,1.0000,nan,29.099,1,0.0000,401.0,0,0,0.00391
210336,0.560247,94.9,1.0000,nan,25.667,1,0.0000,389.0,0,0,0.00808
215964,0.419048,97.0,0.0000,nan,27.769,1,0.0000,397.0,0,0,0.05799
226632,0.019838,149.8,0.0000,nan,77.361,1,1.0000,579.0,0,0,0.03142
231672,0.013063,143.3,1.0000,nan,26.586,1,0.0000,392.0,0,0,0.00105
237384,0.461047,96.8,1.0000,nan,28.932,1,0.0000,403.0,0,0,0.01379
243180,0.083415,102.8,1.0000,nan,28.310,1,0.0000,399.0,0,0,0.01424
253456,-0.355160,139.9,0.0000,nan,74.742,1,1.0000,574.0,0,0,0.03708
265160,-2.060600,188.4,1.0000,nan,74.980,1,1.0000,575.0,0,0,0.36795
270900,-1.009889,150.0,1.0000,nan,28.984,1,0.0000,402.0,0,0,0.00188
276192,0.133985,98.2,0.0000,nan,26.998,1,0.0000,397.0,0,0,0.03324
281512,-0.089070,95.0,0.0000,nan,26.442,1,0.0000,395.0,0,0,0.06702
288680,0.230254,113.6,0.0000,nan,40.862,1,0.0000,454.0,0,0,0.02171
294084,0.074731,113.4,0.0000,nan,25.443,1,0.0000,397.0,0,0,0.05923
300020,0.565833,101.9,1.0000,nan,28.840,1,0.0000,409.0,0,0,0.00100
305200,0.440123,98.7,0.0000,nan,23.425,1,0.0000,389.0,0,0,0.04723
310352,0.242309,92.8,0.0000,nan,24.974,1,0.0000,394.0,0,0,0.07041
321748,-0.426076,154.9,0.5000,nan,29.586,2,0.0000,414.0,0,0,0.07340
326704,-0.766878,141.2,0.0000,nan,26.823,1,0.0000,395.0,0,0,0.09007
332360,-0.587866,96.2,0.0000,nan,28.150,1,0.0000,405.0,0,0,0.15734
342440,-0.978739,144.3,0.0000,nan,71.528,1,1.0000,570.0,0,0,0.14552
