timestep,correct_full,correct_random,correct_kv_norm,correct_learned,retention,evict_attn_percentile,evict_mean_pos_frac,evict_sink_frac,evict_generated_frac,truncation_rate
62552,1.0000,0.5625,0.6875,0.0000,0.0000,nan,0.7854,0.0000,0.7744,1.0000
130228,1.0000,0.5625,0.6875,0.5000,0.5000,nan,0.2384,0.0000,0.0000,0.0000
183932,1.0000,0.5625,0.6875,0.5000,0.5000,nan,0.2384,0.0000,0.0000,0.0000
237384,1.0000,0.5625,0.6875,0.4375,0.4375,nan,0.5291,0.0000,0.0883,0.0625
294084,1.0000,0.5625,0.6875,0.5000,0.5000,nan,0.2384,0.0000,0.0000,0.0000
347508,1.0000,0.5625,0.6875,0.4375,0.4375,nan,0.5291,0.0000,0.0883,0.0625
405916,1.0000,0.5625,0.6875,0.4375,0.4375,nan,0.5291,0.0000,0.0883,0.0625
461888,1.0000,0.5625,0.6875,0.4375,0.4375,nan,0.5291,0.0000,0.0883,0.0625
519708,1.0000,0.5625,0.6875,0.4375,0.4375,nan,0.5291,0.0000,0.0883,0.0625
563780,1.0000,0.5625,0.6875,0.4375,0.4375,nan,0.5291,0.0000,0.0883,0.0625
618268,1.0000,0.5625,0.6875,0.4375,0.4375,nan,0.5291,0.0000,0.0883,0.0625
667240,1.0000,0.5625,0.6875,0.4375,0.4375,nan,0.5291,0.0000,0.0883,0.0625
725620,1.0000,0.5625,0.6875,0.4375,0.4375,nan,0.5291,0.0000,0.0883,0.0625
776356,1.0000,0.5625,0.6875,0.4375,0.4375,nan,0.5291,0.0000,0.0883,0.0625
828884,1.0000,0.5625,0.6875,0.8125,0.8125,nan,0.8795,0.0000,0.8796,0.0625
898380,1.0000,0.5625,0.6875,0.3750,0.3750,nan,0.7674,0.0000,0.6921,0.5625
950656,1.0000,0.5625,0.6875,0.0000,0.0000,nan,0.7521,0.0000,0.7112,0.9375
1009148,1.0000,0.5625,0.6875,0.2500,0.2500,nan,0.8707,0.0000,0.8352,0.1875
1061816,1.0000,0.5625,0.6875,0.6875,0.6875,nan,0.5355,0.0000,0.2348,0.0000
1122212,1.0000,0.5625,0.6875,0.5625,0.5625,nan,0.4662,0.0000,0.1231,0.0000
1170540,1.0000,0.5625,0.6875,0.5625,0.5625,nan,0.6906,0.0000,0.5638,0.0000
1215116,1.0000,0.5625,0.6875,0.3750,0.3750,nan,0.3865,0.0000,0.0000,0.0000
1275988,1.0000,0.5625,0.6875,0.3750,0.3750,nan,0.3880,0.0000,0.0000,0.0000
1334760,1.0000,0.5625,0.6875,0.5000,0.5000,nan,0.7956,0.0000,0.7492,0.3750
1383592,1.0000,0.5625,0.6875,0.6875,0.6875,nan,0.8604,0.0000,0.8300,0.0625
1429708,1.0000,0.5625,0.6875,0.4375,0.4375,nan,0.8812,0.0000,0.8654,0.1875
1485652,1.0000,0.5625,0.6875,0.4375,0.4375,nan,0.8829,0.0000,0.8665,0.1250
1539552,1.0000,0.5625,0.6875,0.4375,0.4375,nan,0.8680,0.0000,0.8435,0.1875
1595272,1.0000,0.5625,0.6875,0.0000,0.0000,nan,0.7066,0.0000,0.6584,1.0000
1658468,1.0000,0.5625,0.6875,0.1250,0.1250,nan,0.7341,0.0000,0.6763,0.8750
1718024,1.0000,0.5625,0.6875,0.0000,0.0000,nan,0.7041,0.0000,0.6435,1.0000
1773520,1.0000,0.5625,0.6875,0.0000,0.0000,nan,0.7100,0.0000,0.6567,1.0000
1821456,1.0000,0.5625,0.6875,0.0000,0.0000,nan,0.8509,0.0000,0.7644,0.1250
1875104,1.0000,0.5625,0.6875,0.6875,0.6875,nan,0.6634,0.0000,0.5215,0.1875
1946448,1.0000,0.5625,0.6875,0.4375,0.4375,nan,0.4939,0.0000,0.4291,0.5000
1990184,1.0000,0.5625,0.6875,0.6875,0.6875,nan,0.1830,0.0000,0.0028,0.0000
2039100,1.0000,0.5625,0.6875,0.3750,0.3750,nan,0.5352,0.0000,0.2083,0.1875
2095548,1.0000,0.5625,0.6875,0.0625,0.0625,nan,0.7449,0.0000,0.7058,0.9375
2157932,1.0000,0.5625,0.6875,0.3750,0.3750,nan,0.3578,0.0000,0.0593,0.0625
2211440,1.0000,0.5625,0.6875,0.2500,0.2500,nan,0.4042,0.0000,0.1671,0.3750
2266544,1.0000,0.5625,0.6875,0.0000,0.0000,nan,0.6784,0.0000,0.5949,1.0000
2324420,1.0000,0.5625,0.6875,0.0625,0.0625,nan,0.7118,0.0000,0.6454,0.9375
2384480,1.0000,0.5625,0.6875,0.6875,0.6875,nan,0.1656,0.0000,0.0001,0.0000
