timestep,ep_rew_mean,ep_len_mean,correctness_rate,alignment_mean,episode_seconds_mean,episodes,truncation_rate,context_size_mean,examples_seen,dataset_pass,kl_step_mean
6636,0.161851,118.5,1.0000,nan,34.351,1,0.0000,420.0,0,0,0.00701
15344,0.124172,139.3,0.0000,nan,30.374,1,0.0000,408.0,0,0,0.07480
21952,0.411591,140.3,1.0000,nan,33.029,1,0.0000,416.0,0,0,0.02191
38500,-1.084417,217.8,0.0000,nan,84.248,1,1.0000,595.0,0,0,0.02142
46816,-1.137598,213.4,1.0000,nan,23.368,1,0.0000,394.0,0,0,0.02029
60844,-0.899175,212.3,0.0000,nan,76.223,1,1.0000,600.0,0,0,0.07850
66780,-0.322378,175.4,1.0000,nan,26.094,1,0.0000,394.0,0,0,0.01179
75712,0.649104,137.5,1.0000,nan,52.067,1,0.0000,504.0,0,0,0.01021
82264,0.359241,140.9,0.0000,nan,30.563,1,0.0000,420.0,0,0,0.02085
98812,-2.115438,217.2,1.0000,nan,79.840,1,1.0000,598.0,0,0,0.23119
108528,-2.128916,227.4,0.0000,nan,63.352,1,0.0000,533.0,0,0,0.05545
117628,-0.788426,174.4,0.0000,nan,55.679,1,0.0000,506.0,0,0,0.05246
126056,0.023441,160.9,1.0000,nan,48.418,1,0.0000,483.0,0,0,0.01035
137452,0.573410,184.0,1.0000,nan,55.756,1,0.0000,504.0,0,0,0.00860
144032,-0.136536,155.4,0.0000,nan,30.093,1,0.0000,416.0,0,0,0.09069
152040,-0.242107,132.1,1.0000,nan,26.319,1,0.0000,398.0,0,0,0.01933
