timestep,correct_full,correct_random,correct_kv_norm,correct_learned,retention,evict_attn_percentile,evict_mean_pos_frac,evict_sink_frac,evict_generated_frac,truncation_rate
92652,1.0000,0.3333,0.6667,0.3333,0.3333,nan,0.3513,0.0000,0.0000,0.0000
163044,1.0000,0.3333,0.6667,0.3333,0.3333,nan,0.3027,0.0000,0.0002,0.0000
249788,1.0000,0.3333,0.6667,0.3333,0.3333,nan,0.5198,0.0000,0.0000,0.0000
337204,1.0000,0.3333,0.6667,0.3333,0.3333,nan,0.5198,0.0000,0.0000,0.0000
408856,1.0000,0.3333,0.6667,0.0000,0.0000,nan,0.7046,0.0000,0.5811,1.0000
482664,1.0000,0.3333,0.6667,0.0000,0.0000,nan,0.8504,0.0000,0.8092,1.0000
559048,1.0000,0.3333,0.6667,0.0000,0.0000,nan,0.7185,0.0000,0.6011,1.0000
649684,1.0000,0.3333,0.6667,0.3333,0.3333,nan,0.2558,0.0000,0.0000,0.0000
729792,1.0000,0.3333,0.6667,0.3333,0.3333,nan,0.2558,0.0000,0.0000,0.0000
812028,1.0000,0.3333,0.6667,0.3333,0.3333,nan,0.2558,0.0000,0.0000,0.0000
902076,1.0000,0.3333,0.6667,0.3333,0.3333,nan,0.2558,0.0000,0.0000,0.0000
1001756,1.0000,0.3333,0.6667,0.3333,0.3333,nan,0.5423,0.0000,0.0000,0.0000
1075144,1.0000,0.3333,0.6667,0.0000,0.0000,nan,0.8777,0.0000,0.8311,1.0000
1148812,1.0000,0.3333,0.6667,0.0000,0.0000,nan,0.8777,0.0000,0.8311,1.0000
1222788,1.0000,0.3333,0.6667,0.3333,0.3333,nan,0.5423,0.0000,0.0000,0.0000
1299956,1.0000,0.3333,0.6667,0.3333,0.3333,nan,0.2755,0.0000,0.0000,0.0000
1385104,1.0000,0.3333,0.6667,0.3333,0.3333,nan,0.2755,0.0000,0.0000,0.0000
83244,1.0000,0.3333,0.6667,0.0000,0.0000,nan,0.8638,0.0000,0.8111,1.0000
166068,1.0000,0.3333,0.6667,0.3333,0.3333,nan,0.5058,0.0000,0.0000,0.0000
239372,1.0000,0.3333,0.6667,0.0000,0.0000,nan,0.7176,0.0000,0.6002,1.0000
323372,1.0000,0.3333,0.6667,0.0000,0.0000,nan,0.7185,0.0000,0.6011,1.0000
400764,1.0000,0.3333,0.6667,0.0000,0.0000,nan,0.7185,0.0000,0.6011,1.0000
478184,1.0000,0.3333,0.6667,0.0000,0.0000,nan,0.7185,0.0000,0.6011,1.0000
578368,1.0000,0.3333,0.6667,0.0000,0.0000,nan,0.7185,0.0000,0.6011,1.0000
669844,1.0000,0.3333,0.6667,0.0000,0.0000,nan,0.9120,0.0000,0.8545,0.3333
750484,1.0000,0.3333,0.6667,0.3333,0.3333,nan,0.6889,0.0000,0.3983,0.3333
833616,1.0000,0.3333,0.6667,0.6667,0.6667,nan,0.5422,0.0000,0.2455,0.0000
914228,1.0000,0.3333,0.6667,0.3333,0.3333,nan,0.6868,0.0000,0.4911,0.0000
1013180,1.0000,0.3333,0.6667,0.6667,0.6667,nan,0.4234,0.0000,0.0000,0.0000
1103480,1.0000,0.3333,0.6667,0.6667,0.6667,nan,0.2224,0.0000,0.0000,0.0000
1188544,1.0000,0.3333,0.6667,0.3333,0.3333,nan,0.3457,0.0000,0.0000,0.0000
1276128,1.0000,0.3333,0.6667,0.3333,0.3333,nan,0.3491,0.0000,0.0000,0.0000
1357524,1.0000,0.3333,0.6667,0.3333,0.3333,nan,0.4847,0.0000,0.0000,0.0000
1436932,1.0000,0.3333,0.6667,0.3333,0.3333,nan,0.4847,0.0000,0.0000,0.0000
1514632,1.0000,0.3333,0.6667,0.3333,0.3333,nan,0.5054,0.0000,0.0851,0.0000
1600732,1.0000,0.3333,0.6667,0.3333,0.3333,nan,0.4863,0.0000,0.0053,0.0000
1686524,1.0000,0.3333,0.6667,0.0000,0.0000,nan,0.3708,0.0000,0.0014,0.0000
1761228,1.0000,0.3333,0.6667,0.3333,0.3333,nan,0.7208,0.0000,0.6247,0.6667
1837080,1.0000,0.3333,0.6667,0.3333,0.3333,nan,0.2474,0.0000,0.0000,0.0000
1919484,1.0000,0.3333,0.6667,0.3333,0.3333,nan,0.2474,0.0000,0.0000,0.0000
2000600,1.0000,0.3333,0.6667,0.0000,0.0000,nan,0.8173,0.0000,0.7438,1.0000
2070096,1.0000,0.3333,0.6667,0.0000,0.0000,nan,0.8240,0.0000,0.7524,0.6667
2144884,1.0000,0.3333,0.6667,0.0000,0.0000,nan,0.8062,0.0000,0.7278,1.0000
2233028,1.0000,0.3333,0.6667,0.0000,0.0000,nan,0.8226,0.0000,0.7520,1.0000
2331112,1.0000,0.3333,0.6667,0.0000,0.0000,nan,0.8264,0.0000,0.7567,0.6667
2413740,1.0000,0.3333,0.6667,0.0000,0.0000,nan,0.8238,0.0000,0.7544,0.6667
2490040,1.0000,0.3333,0.6667,0.0000,0.0000,nan,0.6574,0.0000,0.3896,0.3333
2578632,1.0000,0.3333,0.6667,0.0000,0.0000,nan,0.7604,0.0000,0.6552,0.6667
