timestep,ep_rew_mean,ep_len_mean,correctness_rate,alignment_mean,episode_seconds_mean,episodes,truncation_rate,context_size_mean,examples_seen,dataset_pass,kl_step_mean
5208,-0.382585,93.0,0.0000,nan,33.356,1,0.0000,392.0,0,0,0.08598
10276,0.283800,91.8,1.0000,nan,32.289,1,0.0000,386.0,0,0,0.00158
20496,-0.305592,144.7,0.0000,nan,105.165,1,1.0000,571.0,0,0,0.03521
26180,-0.331680,148.0,0.0000,nan,38.392,1,0.0000,398.0,0,0,0.03386
31696,0.216072,100.4,0.0000,nan,39.341,1,0.0000,400.0,0,0,0.07975
37324,-0.014303,99.7,0.0000,nan,37.776,1,0.0000,397.0,0,0,0.14527
47964,-0.472946,149.5,0.5000,nan,37.866,2,0.0000,397.5,0,0,0.07367
59640,-0.611106,187.2,0.0000,nan,112.031,1,1.0000,585.0,0,0,0.06598
75012,-1.630266,247.8,0.0000,nan,115.792,1,1.0000,583.0,0,0,0.01745
80724,-0.421240,178.8,1.0000,nan,42.339,1,0.0000,403.0,0,0,0.00462
92092,-0.004896,156.9,0.0000,nan,109.927,1,1.0000,574.0,0,0,0.02936
98336,-0.326145,154.2,0.0000,nan,58.147,1,0.0000,446.0,0,0,0.02682
108808,-0.264340,157.0,0.0000,nan,105.933,1,1.0000,579.0,0,0,0.05505
114436,-0.722957,150.8,0.0000,nan,37.772,1,0.0000,401.0,0,0,0.05653
125048,-0.232857,148.6,1.0000,nan,36.142,2,0.0000,400.0,0,0,0.00145
131096,-0.764461,152.5,0.0000,nan,41.552,1,0.0000,414.0,0,0,0.05316
137536,-0.511120,112.5,0.0000,nan,35.177,1,0.0000,396.0,0,0,0.10163
142940,-0.179285,107.0,0.0000,nan,33.538,1,0.0000,392.0,0,0,0.08312
148876,0.170384,102.5,1.0000,nan,40.083,1,0.0000,409.0,0,0,0.00788
155064,-0.156740,108.8,0.0000,nan,32.106,1,0.0000,388.0,0,0,0.16526
160356,-0.102692,104.4,0.0000,nan,35.067,1,0.0000,396.0,0,0,0.04735
165732,0.441120,95.4,1.0000,nan,33.333,1,0.0000,398.0,0,0,0.00399
170772,0.429808,92.8,1.0000,nan,34.091,1,0.0000,398.0,0,0,0.00321
176456,0.175587,97.3,1.0000,nan,36.128,1,0.0000,406.0,0,0,0.00112
181720,0.176100,97.7,0.0000,nan,30.383,1,0.0000,391.0,0,0,0.11607
186760,0.262975,92.2,1.0000,nan,28.706,1,0.0000,386.0,0,0,0.00212
197008,-0.260471,144.8,1.0000,nan,32.228,2,0.0000,395.5,0,0,0.00213
202692,-0.435124,149.1,1.0000,nan,36.190,1,0.0000,407.0,0,0,0.00228
208236,0.581774,100.6,1.0000,nan,33.155,1,0.0000,399.0,0,0,0.00306
213332,0.423436,94.6,1.0000,nan,33.055,1,0.0000,396.0,0,0,0.00398
219156,0.549368,98.8,1.0000,nan,35.975,1,0.0000,406.0,0,0,0.01989
224700,0.050500,101.3,0.0000,nan,35.976,1,0.0000,406.0,0,0,0.05700
230944,-0.485427,106.7,0.0000,nan,33.979,1,0.0000,392.0,0,0,0.07462
236320,-0.123778,105.3,1.0000,nan,32.544,1,0.0000,390.0,0,0,0.00250
241976,0.060140,99.6,1.0000,nan,38.045,1,0.0000,403.0,0,0,0.00118
252252,-0.336036,140.1,1.0000,nan,33.719,3,0.0000,390.7,0,0,0.00529
259000,-0.355708,156.1,1.0000,nan,53.875,1,0.0000,446.0,0,0,0.00519
264684,0.451491,112.8,0.0000,nan,37.514,1,0.0000,404.0,0,0,0.02118
