timestep,correct_full,correct_random,correct_kv_norm,correct_learned,retention,evict_attn_percentile,evict_mean_pos_frac,evict_sink_frac,evict_generated_frac,truncation_rate
59052,1.0000,0.5000,0.5625,0.5625,0.5625,nan,0.4190,0.0000,0.0191,0.0000
124068,1.0000,0.5000,0.5625,0.4375,0.4375,nan,0.3355,0.0000,0.0150,0.0000
179788,1.0000,0.5000,0.5625,0.4375,0.4375,nan,0.3151,0.0000,0.0103,0.0000
237972,1.0000,0.5000,0.5625,0.2500,0.2500,nan,0.5822,0.0000,0.4414,0.6875
303352,1.0000,0.5000,0.5625,0.0000,0.0000,nan,0.6825,0.0000,0.6241,1.0000
357952,1.0000,0.5000,0.5625,0.0625,0.0625,nan,0.6911,0.0000,0.6342,0.9375
412048,1.0000,0.5000,0.5625,0.1250,0.1250,nan,0.6595,0.0000,0.5882,0.8750
483756,1.0000,0.5000,0.5625,0.2500,0.2500,nan,0.6038,0.0000,0.4325,0.4375
543116,1.0000,0.5000,0.5625,0.2500,0.2500,nan,0.6611,0.0000,0.5695,0.7500
596064,1.0000,0.5000,0.5625,0.1250,0.1250,nan,0.6815,0.0000,0.6088,0.8125
651420,1.0000,0.5000,0.5625,0.3125,0.3125,nan,0.6422,0.0000,0.4625,0.3750
705908,1.0000,0.5000,0.5625,0.4375,0.4375,nan,0.6039,0.0000,0.3705,0.2500
774032,1.0000,0.5000,0.5625,0.5625,0.5625,nan,0.6203,0.0000,0.3948,0.1250
834764,1.0000,0.5000,0.5625,0.2500,0.2500,nan,0.6196,0.0000,0.5209,0.6250
898380,1.0000,0.5000,0.5625,0.0625,0.0625,nan,0.6042,0.0000,0.5373,0.8750
946148,1.0000,0.5000,0.5625,0.8125,0.8125,nan,0.6586,0.0000,0.4502,0.0625
997220,1.0000,0.5000,0.5625,0.8125,0.8125,nan,0.6545,0.0000,0.5067,0.0625
1057028,1.0000,0.5000,0.5625,0.8750,0.8750,nan,0.7756,0.0000,0.7270,0.0000
1110900,1.0000,0.5000,0.5625,0.3125,0.3125,nan,0.7496,0.0000,0.6731,0.1875
1173032,1.0000,0.5000,0.5625,0.2500,0.2500,nan,0.8161,0.0000,0.7728,0.3750
1238160,1.0000,0.5000,0.5625,0.5000,0.5000,nan,0.7934,0.0000,0.7110,0.1875
1294160,1.0000,0.5000,0.5625,0.5000,0.5000,nan,0.8174,0.0000,0.7406,0.2500
1355256,1.0000,0.5000,0.5625,0.6250,0.6250,nan,0.8142,0.0000,0.7393,0.1875
1413804,1.0000,0.5000,0.5625,0.9375,0.9375,nan,0.7797,0.0000,0.6375,0.0000
1473528,1.0000,0.5000,0.5625,0.8750,0.8750,nan,0.7969,0.0000,0.7028,0.0625
1528128,1.0000,0.5000,0.5625,0.8125,0.8125,nan,0.7726,0.0000,0.6575,0.0000
1586676,1.0000,0.5000,0.5625,0.6875,0.6875,nan,0.7768,0.0000,0.6980,0.1875
1635060,1.0000,0.5000,0.5625,0.8125,0.8125,nan,0.7406,0.0000,0.6547,0.1875
1685516,1.0000,0.5000,0.5625,1.0000,1.0000,nan,0.7762,0.0000,0.6917,0.0625
1748936,1.0000,0.5000,0.5625,0.5625,0.5625,nan,0.4891,0.0000,0.2102,0.0625
1798132,1.0000,0.5000,0.5625,0.5000,0.5000,nan,0.6300,0.0000,0.4938,0.1875
1849176,1.0000,0.5000,0.5625,0.5000,0.5000,nan,0.6858,0.0000,0.6120,0.3125
1904420,1.0000,0.5000,0.5625,0.2500,0.2500,nan,0.7640,0.0000,0.7421,0.6875
1952524,1.0000,0.5000,0.5625,0.2500,0.2500,nan,0.7806,0.0000,0.7749,0.5625
2013984,1.0000,0.5000,0.5625,0.6250,0.6250,nan,0.6836,0.0000,0.5622,0.1875
2069648,1.0000,0.5000,0.5625,0.6875,0.6875,nan,0.5559,0.0000,0.3637,0.0000
2117640,1.0000,0.5000,0.5625,0.9375,0.9375,nan,0.7047,0.0000,0.5798,0.0000
2164540,1.0000,0.5000,0.5625,0.7500,0.7500,nan,0.5873,0.0000,0.4368,0.0625
2228128,1.0000,0.5000,0.5625,0.6875,0.6875,nan,0.5826,0.0000,0.4255,0.1250
2275840,1.0000,0.5000,0.5625,0.6875,0.6875,nan,0.5075,0.0000,0.3049,0.0625
2338504,1.0000,0.5000,0.5625,0.8125,0.8125,nan,0.7135,0.0000,0.5691,0.0000
2388596,1.0000,0.5000,0.5625,0.6250,0.6250,nan,0.7622,0.0000,0.6831,0.0625
2436252,1.0000,0.5000,0.5625,0.8750,0.8750,nan,0.6617,0.0000,0.4582,0.0000
2482396,1.0000,0.5000,0.5625,1.0000,1.0000,nan,0.7283,0.0000,0.6211,0.0000
2538200,1.0000,0.5000,0.5625,0.6250,0.6250,nan,0.5557,0.0000,0.3306,0.1250
