timestep,ep_rew_mean,ep_len_mean,correctness_rate,alignment_mean,episode_seconds_mean,episodes,truncation_rate,context_size_mean,examples_seen,dataset_pass,kl_step_mean
5208,0.041744,93.0,0.0000,nan,27.369,1,0.0000,389.0,0,0,0.20911
10388,0.191731,93.3,1.0000,nan,28.203,1,0.0000,397.0,0,0,0.00280
16016,0.562798,97.4,1.0000,nan,27.798,1,0.0000,397.0,0,0,0.00713
21672,0.430055,101.3,0.0000,nan,30.649,1,0.0000,403.0,0,0,0.04403
26824,0.088086,96.1,1.0000,nan,28.574,1,0.0000,396.0,0,0,0.00035
31920,0.234297,91.8,1.0000,nan,26.986,1,0.0000,387.0,0,0,0.00360
37604,0.440610,97.5,1.0000,nan,30.035,1,0.0000,403.0,0,0,0.00104
42924,0.379880,97.9,0.0000,nan,25.816,1,0.0000,390.0,0,0,0.12018
49532,0.163823,108.6,1.0000,nan,27.504,1,0.0000,396.0,0,0,0.00086
55132,0.395238,110.7,1.0000,nan,28.498,1,0.0000,399.0,0,0,0.00227
60256,0.467329,95.5,1.0000,nan,30.474,1,0.0000,397.0,0,0,0.00396
65996,0.595004,98.2,1.0000,nan,29.437,1,0.0000,403.0,0,0,0.00621
72240,0.755407,107.6,1.0000,nan,35.554,1,0.0000,426.0,0,0,0.00290
82572,-0.431373,152.4,0.0000,nan,76.298,1,1.0000,570.0,0,0,0.05068
87612,-0.462263,142.4,0.0000,nan,25.624,1,0.0000,391.0,0,0,0.23471
92904,0.191866,92.5,0.0000,nan,30.592,1,0.0000,398.0,0,0,0.04990
98560,0.082669,98.4,1.0000,nan,28.094,1,0.0000,400.0,0,0,0.00286
104020,0.411190,99.3,1.0000,nan,24.958,1,0.0000,389.0,0,0,0.00218
110236,0.741957,106.2,1.0000,nan,26.367,1,0.0000,394.0,0,0,0.00194
115612,0.741578,104.8,1.0000,nan,26.578,1,0.0000,394.0,0,0,0.01480
121940,-0.010791,105.9,0.0000,nan,27.712,1,0.0000,392.0,0,0,0.08170
127148,-0.495734,104.4,0.0000,nan,24.373,1,0.0000,386.0,0,0,0.02226
132636,0.250076,96.8,1.0000,nan,30.070,1,0.0000,405.0,0,0,0.00273
139692,0.118140,114.4,0.0000,nan,33.320,1,0.0000,416.0,0,0,0.03245
150276,-1.074602,157.7,0.0000,nan,28.309,2,0.0000,404.0,0,0,0.07661
160580,-0.386526,173.4,1.0000,nan,25.026,2,0.0000,393.0,0,0,0.00387
166012,-0.218171,146.3,1.0000,nan,28.412,1,0.0000,399.0,0,0,0.00277
171416,-0.139448,96.8,0.0000,nan,29.581,1,0.0000,404.0,0,0,0.25031
177072,0.097606,99.8,1.0000,nan,21.828,1,0.0000,377.0,0,0,0.01009
182364,0.370411,100.4,1.0000,nan,27.913,1,0.0000,401.0,0,0,0.00035
192808,-0.549945,149.3,0.0000,nan,76.908,1,1.0000,588.0,0,0,0.06530
198436,-0.460350,153.0,1.0000,nan,29.383,1,0.0000,402.0,0,0,0.01308
203560,0.240171,95.5,0.0000,nan,27.039,1,0.0000,395.0,0,0,0.09652
210336,-0.325289,108.3,0.0000,nan,28.319,1,0.0000,400.0,0,0,0.02787
216104,0.150149,113.6,1.0000,nan,29.261,1,0.0000,403.0,0,0,0.00730
221424,0.103988,98.6,0.0000,nan,25.794,1,0.0000,388.0,0,0,0.03977
227920,0.194624,107.7,1.0000,nan,30.847,1,0.0000,408.0,0,0,0.02175
233436,0.023498,107.3,0.0000,nan,28.400,1,0.0000,399.0,0,0,0.02944
239988,-0.499284,108.9,0.0000,nan,36.751,1,0.0000,430.0,0,0,0.07025
245056,-0.148965,103.6,0.0000,nan,26.274,1,0.0000,392.0,0,0,0.06771
255360,-0.841692,146.7,1.0000,nan,28.097,2,0.0000,402.0,0,0,0.00379
260596,-1.032200,144.6,0.0000,nan,28.623,1,0.0000,400.0,0,0,0.15112
266168,-0.043309,97.5,1.0000,nan,26.185,1,0.0000,394.0,0,0,0.00501
272328,0.009554,106.2,1.0000,nan,34.610,1,0.0000,430.0,0,0,0.00336
282632,-0.777758,152.0,0.0000,nan,25.236,2,0.0000,397.0,0,0,0.06111
287952,-0.246152,146.9,1.0000,nan,24.938,1,0.0000,387.0,0,0,0.00328
293440,0.777639,97.8,1.0000,nan,29.949,1,0.0000,405.0,0,0,0.00452
304024,0.004013,150.2,1.0000,nan,27.716,2,0.0000,400.5,0,0,0.00864
309876,-0.328813,152.2,0.0000,nan,29.611,1,0.0000,403.0,0,0,0.04454
315532,-0.145489,102.8,0.0000,nan,29.753,1,0.0000,404.0,0,0,0.06586
320852,0.212209,97.9,1.0000,nan,26.631,1,0.0000,393.0,0,0,0.00480
326032,0.394321,94.0,1.0000,nan,27.556,1,0.0000,397.0,0,0,0.00175
333228,0.242727,113.1,1.0000,nan,43.011,1,0.0000,453.0,0,0,0.13414
338884,0.144691,115.9,0.0000,nan,28.450,1,0.0000,400.0,0,0,0.02962
349048,0.004882,144.2,1.0000,nan,25.657,2,0.0000,392.5,0,0,0.00433
354620,0.009106,147.0,1.0000,nan,28.112,1,0.0000,398.0,0,0,0.00092
365260,-0.131333,147.6,1.0000,nan,26.588,2,0.0000,396.0,0,0,0.00791
375816,-0.844054,177.6,0.5000,nan,26.716,2,0.0000,397.0,0,0,0.00940
381584,-0.032791,152.6,1.0000,nan,29.275,1,0.0000,403.0,0,0,0.00042
392028,-0.071576,145.7,0.0000,nan,76.928,1,1.0000,578.0,0,0,0.06921
403228,-0.834271,184.6,0.5000,nan,31.463,2,0.0000,413.5,0,0,0.00850
409752,-0.358562,158.7,0.0000,nan,36.833,1,0.0000,430.0,0,0,0.01338
419860,-0.382249,153.8,1.0000,nan,26.876,1,0.0000,394.0,0,0,0.00363
425320,-0.415660,144.5,0.0000,nan,25.860,1,0.0000,390.0,0,0,0.06327
435624,-0.398662,148.8,0.5000,nan,28.039,2,0.0000,401.5,0,0,0.02373
441196,-0.623269,147.8,1.0000,nan,30.985,1,0.0000,408.0,0,0,0.00272
451304,-0.469705,145.9,0.5000,nan,26.792,2,0.0000,397.0,0,0,0.01273
456736,-0.170837,145.2,1.0000,nan,26.908,1,0.0000,394.0,0,0,0.00660
466984,-1.486821,142.7,0.5000,nan,24.905,2,0.0000,389.5,0,0,0.03195
472752,-1.934258,148.4,0.0000,nan,30.085,1,0.0000,405.0,0,0,0.02216
478296,-0.133980,100.9,1.0000,nan,28.782,1,0.0000,401.0,0,0,0.00709
484232,0.156701,103.0,1.0000,nan,32.149,1,0.0000,413.0,0,0,0.02655
489916,0.098605,104.2,1.0000,nan,29.160,1,0.0000,402.0,0,0,0.00177
500164,-1.052467,144.6,0.0000,nan,74.568,1,1.0000,571.0,0,0,0.14738
505596,-0.443935,144.6,1.0000,nan,27.766,1,0.0000,397.0,0,0,0.00246
511168,0.775818,98.5,1.0000,nan,27.665,1,0.0000,397.0,0,0,0.00142
516460,0.473346,97.1,1.0000,nan,28.773,1,0.0000,401.0,0,0,0.00142
521696,0.285227,94.6,1.0000,nan,26.884,1,0.0000,394.0,0,0,0.00068
527128,0.158798,95.5,0.0000,nan,30.742,1,0.0000,409.0,0,0,0.01532
532700,0.161939,99.7,1.0000,nan,29.308,1,0.0000,403.0,0,0,0.00057
537824,-0.168902,95.3,0.0000,nan,25.753,1,0.0000,390.0,0,0,0.17283
544544,-0.419602,107.8,0.0000,nan,40.458,1,0.0000,444.0,0,0,0.02097
550312,0.272246,113.2,1.0000,nan,30.667,1,0.0000,405.0,0,0,0.00503
560756,-0.327014,145.4,0.5000,nan,25.509,2,0.0000,392.5,0,0,0.03371
566468,-0.516395,148.6,0.0000,nan,29.256,1,0.0000,403.0,0,0,0.04346
572852,-0.148298,108.7,0.0000,nan,28.391,1,0.0000,400.0,0,0,0.05702
578284,-0.155022,106.3,1.0000,nan,29.881,1,0.0000,405.0,0,0,0.00084
583408,-0.058766,94.8,0.0000,nan,26.008,1,0.0000,391.0,0,0,0.04178
589092,-0.120438,97.3,1.0000,nan,30.626,1,0.0000,407.0,0,0,0.00123
594524,-0.167598,99.5,0.0000,nan,30.309,1,0.0000,404.0,0,0,0.08059
600068,-0.467454,98.8,0.0000,nan,30.536,1,0.0000,407.0,0,0,0.05089
606256,-0.121527,106.3,0.0000,nan,26.509,1,0.0000,393.0,0,0,0.09781
611604,0.206517,104.3,0.0000,nan,28.299,1,0.0000,399.0,0,0,0.06121
621992,-1.169861,157.6,1.0000,nan,31.630,2,0.0000,415.0,0,0,0.00864
627312,-0.947365,153.1,1.0000,nan,24.914,1,0.0000,387.0,0,0,0.00983
637868,-0.664779,149.9,0.0000,nan,77.217,1,1.0000,579.0,0,0,0.03022
643692,-0.164160,151.9,1.0000,nan,30.668,1,0.0000,408.0,0,0,0.00111
649488,0.076296,104.1,0.0000,nan,29.945,1,0.0000,405.0,0,0,0.07568
654808,0.215854,98.8,1.0000,nan,28.251,1,0.0000,399.0,0,0,0.00170
660100,0.483489,95.1,1.0000,nan,28.223,1,0.0000,399.0,0,0,0.00039
665644,0.211827,97.4,0.0000,nan,29.398,1,0.0000,403.0,0,0,0.10614
671244,0.356718,99.9,1.0000,nan,28.816,1,0.0000,401.0,0,0,0.00193
681408,-0.104754,143.7,1.0000,nan,25.685,2,0.0000,392.5,0,0,0.00453
686868,-0.097719,145.9,1.0000,nan,31.069,1,0.0000,410.0,0,0,0.00737
