timestep,correct_full,correct_random,correct_kv_norm,correct_learned,retention,evict_attn_percentile,evict_mean_pos_frac,evict_sink_frac,evict_generated_frac,truncation_rate
42924,1.0000,0.5625,0.6250,0.4375,0.4375,nan,0.3023,0.0000,0.0511,0.0000
92904,1.0000,0.5625,0.6250,0.2500,0.2500,nan,0.4003,0.0000,0.0052,0.0000
139692,1.0000,0.5625,0.6250,0.6250,0.6250,nan,0.6144,0.0000,0.3992,0.2500
198436,1.0000,0.5625,0.6250,0.1250,0.1250,nan,0.7415,0.0000,0.6834,0.8750
245056,1.0000,0.5625,0.6250,0.5625,0.5625,nan,0.6318,0.0000,0.4461,0.1875
304024,1.0000,0.5625,0.6250,0.4375,0.4375,nan,0.7677,0.0000,0.6786,0.6250
354620,1.0000,0.5625,0.6250,0.2500,0.2500,nan,0.7219,0.0000,0.6402,0.6875
425320,1.0000,0.5625,0.6250,0.3125,0.3125,nan,0.7198,0.0000,0.6643,0.8125
484232,1.0000,0.5625,0.6250,0.6250,0.6250,nan,0.6803,0.0000,0.5151,0.3750
532700,1.0000,0.5625,0.6250,0.1250,0.1250,nan,0.6873,0.0000,0.6039,0.7500
583408,1.0000,0.5625,0.6250,0.0000,0.0000,nan,0.7360,0.0000,0.7011,1.0000
637868,1.0000,0.5625,0.6250,0.1250,0.1250,nan,0.6916,0.0000,0.6438,0.8125
686868,1.0000,0.5625,0.6250,0.3750,0.3750,nan,0.4697,0.0000,0.3140,0.1875
756448,1.0000,0.5625,0.6250,0.6875,0.6875,nan,0.4461,0.0000,0.2443,0.0625
806708,1.0000,0.5625,0.6250,0.4375,0.4375,nan,0.4836,0.0000,0.2441,0.1250
860048,1.0000,0.5625,0.6250,0.1875,0.1875,nan,0.7111,0.0000,0.6558,0.5625
913668,1.0000,0.5625,0.6250,0.1250,0.1250,nan,0.7128,0.0000,0.6504,0.3750
963564,1.0000,0.5625,0.6250,0.1875,0.1875,nan,0.6701,0.0000,0.5945,0.5000
1022028,1.0000,0.5625,0.6250,0.0625,0.0625,nan,0.6614,0.0000,0.5728,0.4375
1071672,1.0000,0.5625,0.6250,0.4375,0.4375,nan,0.5968,0.0000,0.4138,0.0625
1131480,1.0000,0.5625,0.6250,0.1875,0.1875,nan,0.6540,0.0000,0.5352,0.2500
1190392,1.0000,0.5625,0.6250,0.0625,0.0625,nan,0.7345,0.0000,0.6935,0.6250
1252804,1.0000,0.5625,0.6250,0.3125,0.3125,nan,0.6723,0.0000,0.5999,0.3125
1297744,1.0000,0.5625,0.6250,0.3750,0.3750,nan,0.6449,0.0000,0.5368,0.3125
1347976,1.0000,0.5625,0.6250,0.4375,0.4375,nan,0.6079,0.0000,0.4060,0.0625
1402604,1.0000,0.5625,0.6250,0.3750,0.3750,nan,0.5467,0.0000,0.3179,0.1875
1467508,1.0000,0.5625,0.6250,0.7500,0.7500,nan,0.5174,0.0000,0.2550,0.0625
1526700,1.0000,0.5625,0.6250,0.5000,0.5000,nan,0.5444,0.0000,0.3344,0.1875
1578164,1.0000,0.5625,0.6250,0.3125,0.3125,nan,0.6141,0.0000,0.4534,0.3125
1633268,1.0000,0.5625,0.6250,0.2500,0.2500,nan,0.5747,0.0000,0.3665,0.1875
1678992,1.0000,0.5625,0.6250,0.3125,0.3125,nan,0.5950,0.0000,0.4327,0.1875
1738772,1.0000,0.5625,0.6250,0.6250,0.6250,nan,0.6088,0.0000,0.4400,0.1875
1792840,1.0000,0.5625,0.6250,0.3750,0.3750,nan,0.5196,0.0000,0.1780,0.0625
1858444,1.0000,0.5625,0.6250,0.4375,0.4375,nan,0.5333,0.0000,0.1493,0.0000
1913716,1.0000,0.5625,0.6250,0.3125,0.3125,nan,0.6008,0.0000,0.3351,0.1875
1982876,1.0000,0.5625,0.6250,0.3750,0.3750,nan,0.5813,0.0000,0.3077,0.1250
2044448,1.0000,0.5625,0.6250,0.1875,0.1875,nan,0.6658,0.0000,0.4894,0.3750
2098656,1.0000,0.5625,0.6250,0.3125,0.3125,nan,0.6812,0.0000,0.5083,0.2500
2159332,1.0000,0.5625,0.6250,0.4375,0.4375,nan,0.7744,0.0000,0.6684,0.3125
2222584,1.0000,0.5625,0.6250,0.5000,0.5000,nan,0.7723,0.0000,0.6815,0.3125
2282224,1.0000,0.5625,0.6250,0.5625,0.5625,nan,0.6521,0.0000,0.3909,0.0625
2356144,1.0000,0.5625,0.6250,0.4375,0.4375,nan,0.6990,0.0000,0.5019,0.1875
2411024,1.0000,0.5625,0.6250,0.5625,0.5625,nan,0.6685,0.0000,0.4410,0.1250
2461984,1.0000,0.5625,0.6250,0.5625,0.5625,nan,0.6490,0.0000,0.3537,0.0625
2517116,1.0000,0.5625,0.6250,0.4375,0.4375,nan,0.6239,0.0000,0.3528,0.0625
2562364,1.0000,0.5625,0.6250,0.5625,0.5625,nan,0.6263,0.0000,0.3910,0.1250
2626932,1.0000,0.5625,0.6250,0.6250,0.6250,nan,0.5808,0.0000,0.2823,0.0625
2686712,1.0000,0.5625,0.6250,0.4375,0.4375,nan,0.6115,0.0000,0.3983,0.1875
2737420,1.0000,0.5625,0.6250,0.4375,0.4375,nan,0.5743,0.0000,0.2874,0.1250
2796248,1.0000,0.5625,0.6250,0.6250,0.6250,nan,0.5426,0.0000,0.1921,0.0000
2856812,1.0000,0.5625,0.6250,0.5625,0.5625,nan,0.6090,0.0000,0.3758,0.1250
2906988,1.0000,0.5625,0.6250,0.5000,0.5000,nan,0.6177,0.0000,0.3677,0.0625
2957444,1.0000,0.5625,0.6250,0.5625,0.5625,nan,0.6511,0.0000,0.4683,0.1875
