timestep,ep_rew_mean,ep_len_mean,correctness_rate,alignment_mean,episode_seconds_mean,episodes,truncation_rate,context_size_mean,examples_seen,dataset_pass,kl_step_mean
8342432,-0.264042,93.2,0.0000,nan,36.960,1,0.0000,391.0,0,0,0.02144
8352484,-0.282569,141.5,0.0000,nan,102.949,1,1.0000,564.0,0,0,0.07855
8357832,-0.852352,141.8,0.0000,nan,40.455,1,0.0000,397.0,0,0,0.16160
8363544,-0.243749,99.2,1.0000,nan,40.101,1,0.0000,398.0,0,0,0.01202
8374044,-0.589301,148.7,0.5000,nan,38.337,2,0.0000,398.0,0,0,0.03955
8384768,-0.527929,180.2,0.0000,nan,114.464,1,1.0000,584.0,0,0,0.05396
8390340,-0.440717,151.4,1.0000,nan,43.936,1,0.0000,407.0,0,0,0.01477
8400504,-0.111947,143.5,1.0000,nan,35.752,2,0.0000,391.0,0,0,0.00275
8406244,-0.545634,147.8,0.0000,nan,42.315,1,0.0000,404.0,0,0,0.13380
8411844,0.342157,101.2,1.0000,nan,39.870,1,0.0000,399.0,0,0,0.00067
8422148,-0.096059,140.9,0.0000,nan,108.158,1,1.0000,573.0,0,0,0.07687
8428896,-0.496501,156.0,1.0000,nan,39.362,1,0.0000,397.0,0,0,0.00231
8434580,0.041423,112.8,1.0000,nan,41.095,1,0.0000,401.0,0,0,0.00396
8440292,-0.301843,102.0,0.0000,nan,42.667,1,0.0000,405.0,0,0,0.07059
8445892,-0.126071,101.1,1.0000,nan,39.542,1,0.0000,398.0,0,0,0.00188
8451772,0.013097,103.2,1.0000,nan,39.012,1,0.0000,396.0,0,0,0.00084
8458436,-0.060768,114.0,1.0000,nan,43.450,1,0.0000,404.0,0,0,0.00234
8463756,0.382008,107.5,1.0000,nan,41.011,1,0.0000,397.0,0,0,0.00025
8469552,0.771935,99.9,1.0000,nan,43.562,1,0.0000,409.0,0,0,0.00306
8476244,0.316668,113.0,0.0000,nan,53.973,1,0.0000,436.0,0,0,0.10636
8486464,-0.861994,149.3,0.0000,nan,36.519,2,0.0000,392.0,0,0,0.05012
8491840,-0.106801,145.0,1.0000,nan,38.707,1,0.0000,396.0,0,0,0.00168
8496908,-0.068366,93.0,0.0000,nan,33.425,1,0.0000,383.0,0,0,0.13635
8502592,-0.259983,97.7,0.0000,nan,40.672,1,0.0000,399.0,0,0,0.07739
8507828,0.205079,97.4,1.0000,nan,41.186,1,0.0000,399.0,0,0,0.00667
8512896,0.571009,92.4,1.0000,nan,34.579,1,0.0000,386.0,0,0,0.00171
8518160,0.465641,93.1,1.0000,nan,37.579,1,0.0000,393.0,0,0,0.00312
8523844,0.452003,98.4,1.0000,nan,39.983,1,0.0000,398.0,0,0,0.00666
8529332,-0.019477,100.1,0.0000,nan,39.686,1,0.0000,398.0,0,0,0.06647
8534736,-0.556954,97.3,0.0000,nan,40.902,1,0.0000,399.0,0,0,0.07544
8540448,-0.122568,99.8,1.0000,nan,42.621,1,0.0000,406.0,0,0,0.00082
8545964,0.582218,100.4,1.0000,nan,38.313,1,0.0000,395.0,0,0,0.00387
8556520,-0.491738,147.5,0.5000,nan,38.867,2,0.0000,399.0,0,0,0.01694
8561868,-0.545230,144.2,0.0000,nan,53.658,1,0.0000,389.0,0,0,0.09882
8567580,0.549011,100.0,1.0000,nan,50.023,1,0.0000,403.0,0,0,0.00617
8573964,0.440118,108.7,1.0000,nan,54.280,1,0.0000,396.0,0,0,0.00214
8578808,-0.188860,100.9,0.0000,nan,41.200,1,0.0000,396.0,0,0,0.02539
8585584,-0.079577,106.8,0.0000,nan,40.347,1,0.0000,398.0,0,0,0.04709
8591268,0.265333,113.0,1.0000,nan,40.647,1,0.0000,401.0,0,0,0.00711
8597036,0.483169,102.5,1.0000,nan,45.844,1,0.0000,406.0,0,0,0.00168
8602356,0.784236,98.8,1.0000,nan,38.360,1,0.0000,395.0,0,0,0.00187
8608180,0.399849,100.2,1.0000,nan,37.872,1,0.0000,396.0,0,0,0.00112
8623748,-1.203028,202.5,0.0000,nan,115.303,1,1.0000,582.0,0,0,0.03421
8629068,-0.466863,175.9,1.0000,nan,35.872,1,0.0000,395.0,0,0,0.00654
8635256,0.400960,103.8,0.0000,nan,44.148,1,0.0000,414.0,0,0,0.05650
8640352,0.396614,99.9,1.0000,nan,34.182,1,0.0000,389.0,0,0,0.00638
