timestep,ep_rew_mean,ep_len_mean,correctness_rate,alignment_mean,episode_seconds_mean,episodes,truncation_rate,context_size_mean,examples_seen,dataset_pass,kl_step_mean
3009132,-0.207263,132.4,1.0000,nan,33.639,1,0.0000,417.0,0,0,0.00475
3015292,0.323100,136.7,1.0000,nan,29.399,1,0.0000,404.0,0,0,0.02132
3024000,-0.071542,136.3,0.0000,nan,54.296,1,0.0000,495.0,0,0,0.01962
3037328,-0.962153,206.3,1.0000,nan,50.746,1,0.0000,479.0,0,0,0.05232
3045868,-1.098700,197.3,0.0000,nan,51.264,1,0.0000,485.0,0,0,0.05381
3052084,-0.010963,133.0,1.0000,nan,29.143,1,0.0000,403.0,0,0,0.04896
3061576,0.168207,140.2,0.0000,nan,58.629,1,0.0000,521.0,0,0,0.06961
3076276,-0.753197,223.5,1.0000,nan,83.839,1,1.0000,600.0,0,0,0.07908
3082884,-0.537631,186.0,1.0000,nan,32.081,1,0.0000,417.0,0,0,0.01720
3091928,-0.125022,142.6,1.0000,nan,61.737,1,0.0000,522.0,0,0,0.00651
3103604,-0.542058,195.0,1.0000,nan,33.489,1,0.0000,420.0,0,0,0.00390
3115560,-0.787081,222.0,1.0000,nan,59.791,1,0.0000,509.0,0,0,0.00978
3122392,-0.221019,162.9,0.0000,nan,33.662,1,0.0000,421.0,0,0,0.13264
3130988,-0.021115,139.9,0.0000,nan,55.108,1,0.0000,502.0,0,0,0.04441
3137260,-0.167450,136.0,0.0000,nan,29.763,1,0.0000,408.0,0,0,0.11342
3150168,0.206023,179.0,1.0000,nan,58.015,1,0.0000,509.0,0,0,0.01661
3161760,-0.781655,220.0,0.0000,nan,80.211,1,1.0000,600.0,0,0,0.10714
3167052,-0.445901,155.0,1.0000,nan,29.306,1,0.0000,404.0,0,0,0.03421
3177972,-0.708982,158.4,0.0000,nan,29.811,2,0.0000,407.5,0,0,0.13918
3188836,-1.481718,209.7,1.0000,nan,26.817,1,0.0000,394.0,0,0,0.01260
3200372,-1.109166,192.2,0.5000,nan,30.691,2,0.0000,411.0,0,0,0.04788
3206252,-0.298707,159.2,0.0000,nan,33.502,1,0.0000,417.0,0,0,0.02078
3217900,-0.759392,164.0,0.0000,nan,81.698,1,1.0000,599.0,0,0,0.04662
3229800,-1.095346,221.3,0.0000,nan,62.326,1,0.0000,519.0,0,0,0.01314
3236464,-0.304743,160.8,1.0000,nan,33.865,1,0.0000,419.0,0,0,0.02007
3242540,-0.074870,113.2,1.0000,nan,33.348,1,0.0000,418.0,0,0,0.00783
3253600,0.040088,159.4,0.0000,nan,76.439,1,0.0000,577.0,0,0,0.03345
3268076,-0.520886,241.1,1.0000,nan,63.801,1,0.0000,523.0,0,0,0.02149
3273956,-0.054698,176.9,1.0000,nan,34.245,1,0.0000,422.0,0,0,0.01596
3288264,-0.490871,191.2,0.0000,nan,84.064,1,1.0000,598.0,0,0,0.00951
3299940,-1.087000,234.2,1.0000,nan,34.281,1,0.0000,420.0,0,0,0.01077
3314108,-1.558804,244.2,0.0000,nan,59.406,1,0.0000,508.0,0,0,0.05696
3320800,-0.931100,183.8,0.0000,nan,34.626,1,0.0000,421.0,0,0,0.03049
3334828,-1.054983,192.9,0.0000,nan,84.387,1,1.0000,598.0,0,0,0.07340
3343872,-0.949406,206.2,0.0000,nan,57.702,1,0.0000,507.0,0,0,0.08923
3355324,-0.640650,190.9,0.0000,nan,61.043,1,0.0000,514.0,0,0,0.06677
3361064,-0.726804,148.4,0.0000,nan,24.723,1,0.0000,387.0,0,0,0.25699
3367112,0.057880,107.6,1.0000,nan,35.465,1,0.0000,427.0,0,0,0.02655
3378900,-0.089739,171.4,0.0000,nan,82.843,1,1.0000,600.0,0,0,0.02894
3389764,-0.728144,211.4,0.0000,nan,80.446,1,1.0000,596.0,0,0,0.00942
3403764,-1.084170,237.5,0.0000,nan,82.645,1,1.0000,595.0,0,0,0.02353
3415356,-1.491082,231.2,0.0000,nan,34.098,1,0.0000,418.0,0,0,0.07749
3429328,-1.092933,213.0,0.5000,nan,41.426,2,0.0000,448.0,0,0,0.02840
3443664,-1.390251,241.2,1.0000,nan,60.634,1,0.0000,514.0,0,0,0.00865
3450132,-1.197499,182.5,0.0000,nan,34.009,1,0.0000,417.0,0,0,0.11650
3459204,-0.358478,141.6,1.0000,nan,33.823,1,0.0000,418.0,0,0,0.00206
3470348,-0.580085,188.1,0.0000,nan,33.654,1,0.0000,418.0,0,0,0.04583
3477880,-0.311555,153.9,0.5000,nan,24.648,2,0.0000,390.5,0,0,0.07872
3487120,0.034425,170.4,1.0000,nan,33.472,1,0.0000,417.0,0,0,0.00903
3498740,-0.104218,179.6,0.0000,nan,81.756,1,1.0000,598.0,0,0,0.02682
3510892,-0.987149,221.3,0.0000,nan,64.257,1,0.0000,525.0,0,0,0.04957
3517500,-0.409799,162.4,0.0000,nan,32.981,1,0.0000,416.0,0,0,0.08390
3526124,-0.428527,138.1,0.0000,nan,60.267,1,0.0000,520.0,0,0,0.06564
3537800,-0.685856,177.8,0.5000,nan,29.707,2,0.0000,406.5,0,0,0.02568
3549896,-0.576254,219.6,0.0000,nan,61.312,1,0.0000,514.0,0,0,0.03057
3559976,-0.409684,168.6,0.5000,nan,31.403,2,0.0000,414.5,0,0,0.05882
3569244,-0.995266,159.8,0.0000,nan,60.176,1,0.0000,515.0,0,0,0.13582
3580668,-0.594682,175.6,1.0000,nan,51.877,1,0.0000,482.0,0,0,0.03856
3592484,-0.766665,174.1,0.5000,nan,27.750,2,0.0000,400.0,0,0,0.10695
3598448,-0.020457,153.2,1.0000,nan,27.765,1,0.0000,397.0,0,0,0.02745
3607744,-0.149196,141.1,0.0000,nan,32.229,1,0.0000,413.0,0,0,0.08576
3617684,-0.868730,178.9,0.0000,nan,64.912,1,0.0000,535.0,0,0,0.07199
3628184,-0.128547,168.2,1.0000,nan,71.999,1,0.0000,561.0,0,0,0.04196
3637228,-0.286531,178.0,0.0000,nan,57.590,1,0.0000,508.0,0,0,0.04308
3649128,-0.849764,195.5,0.0000,nan,82.724,1,1.0000,599.0,0,0,0.06261
3660944,-0.988867,221.9,0.0000,nan,82.460,1,0.0000,600.0,0,0,0.09702
3675280,-1.459823,246.8,0.0000,nan,83.792,1,1.0000,598.0,0,0,0.09433
