timestep,correct_full,correct_random,correct_kv_norm,correct_learned,retention,evict_attn_percentile,evict_mean_pos_frac,evict_sink_frac,evict_generated_frac,truncation_rate
3076276,1.0000,0.5000,0.5000,0.5000,0.5000,nan,0.6736,0.0000,0.3888,0.0000
3150168,1.0000,0.5000,0.5000,0.5000,0.5000,nan,0.7093,0.0000,0.5648,0.5000
3229800,1.0000,0.5000,0.5000,0.5000,0.5000,nan,0.6736,0.0000,0.5001,0.5000
3314108,1.0000,0.5000,0.5000,1.0000,1.0000,nan,0.5802,0.0000,0.2253,0.0000
3389764,1.0000,0.5000,0.5000,1.0000,1.0000,nan,0.5431,0.0000,0.1783,0.0000
3477880,1.0000,0.5000,0.5000,1.0000,1.0000,nan,0.5375,0.0000,0.1303,0.0000
3559976,1.0000,0.5000,0.5000,0.0000,0.0000,nan,0.5474,0.0000,0.1735,0.0000
3637228,1.0000,0.5000,0.5000,0.5000,0.5000,nan,0.5546,0.0000,0.1891,0.0000
3724924,1.0000,0.5000,0.5000,1.0000,1.0000,nan,0.5683,0.0000,0.1584,0.0000
3792880,1.0000,0.5000,0.5000,1.0000,1.0000,nan,0.5779,0.0000,0.2200,0.0000
3869796,1.0000,0.5000,0.5000,0.0000,0.0000,nan,0.6769,0.0000,0.5145,0.5000
3956540,1.0000,0.5000,0.5000,1.0000,1.0000,nan,0.5971,0.0000,0.2394,0.0000
4039952,1.0000,0.5000,0.5000,0.5000,0.5000,nan,0.6196,0.0000,0.4183,0.5000
4116896,1.0000,0.5000,0.5000,0.5000,0.5000,nan,0.5370,0.0000,0.1704,0.0000
4206328,1.0000,0.5000,0.5000,0.0000,0.0000,nan,0.6258,0.0000,0.4997,0.5000
4291896,1.0000,0.5000,0.5000,0.0000,0.0000,nan,0.6022,0.0000,0.4101,0.5000
4372508,1.0000,0.5000,0.5000,0.0000,0.0000,nan,0.5722,0.0000,0.2174,0.0000
4459392,1.0000,0.5000,0.5000,0.0000,0.0000,nan,0.6430,0.0000,0.4821,0.5000
4546640,1.0000,0.5000,0.5000,0.0000,0.0000,nan,0.5718,0.0000,0.2918,0.0000
4630500,1.0000,0.5000,0.5000,0.5000,0.5000,nan,0.5632,0.0000,0.3665,0.0000
4716068,1.0000,0.5000,0.5000,0.5000,0.5000,nan,0.5771,0.0000,0.3768,0.0000
4799928,1.0000,0.5000,0.5000,0.0000,0.0000,nan,0.5457,0.0000,0.1503,0.0000
4890872,1.0000,0.5000,0.5000,0.5000,0.5000,nan,0.5598,0.0000,0.1562,0.0000
4962804,1.0000,0.5000,0.5000,0.5000,0.5000,nan,0.6254,0.0000,0.4206,0.5000
5050584,1.0000,0.5000,0.5000,0.0000,0.0000,nan,0.6208,0.0000,0.4867,1.0000
5134080,1.0000,0.5000,0.5000,0.0000,0.0000,nan,0.5550,0.0000,0.1432,0.0000
5231744,1.0000,0.5000,0.5000,0.5000,0.5000,nan,0.5590,0.0000,0.1944,0.0000
5322548,1.0000,0.5000,0.5000,0.0000,0.0000,nan,0.6052,0.0000,0.4197,0.5000
5411364,1.0000,0.5000,0.5000,0.5000,0.5000,nan,0.6305,0.0000,0.4541,0.0000
5489708,1.0000,0.5000,0.5000,0.0000,0.0000,nan,0.6057,0.0000,0.4042,0.5000
5568108,1.0000,0.5000,0.5000,0.5000,0.5000,nan,0.6202,0.0000,0.4186,0.5000
5647740,1.0000,0.5000,0.5000,1.0000,1.0000,nan,0.5680,0.0000,0.1948,0.0000
5740560,1.0000,0.5000,0.5000,1.0000,1.0000,nan,0.5744,0.0000,0.1851,0.0000
5816244,1.0000,0.5000,0.5000,0.5000,0.5000,nan,0.5712,0.0000,0.1720,0.0000
5895596,1.0000,0.5000,0.5000,0.5000,0.5000,nan,0.6088,0.0000,0.3917,0.5000
5979904,1.0000,0.5000,0.5000,0.0000,0.0000,nan,0.5631,0.0000,0.1599,0.0000
