timestep,ep_rew_mean,ep_len_mean,correctness_rate,alignment_mean,episode_seconds_mean,episodes,truncation_rate,context_size_mean,examples_seen,dataset_pass,kl_step_mean
5236,0.167425,93.5,0.0000,nan,26.842,1,0.0000,392.0,0,0,0.05040
10304,0.588621,92.1,1.0000,nan,24.958,1,0.0000,386.0,0,0,0.00189
15540,0.431331,92.8,1.0000,nan,26.881,1,0.0000,393.0,0,0,0.00322
21224,0.412926,98.2,1.0000,nan,28.459,1,0.0000,398.0,0,0,0.00592
27272,-0.058213,105.7,0.0000,nan,29.885,1,0.0000,403.0,0,0,0.07439
37436,-0.343980,150.7,0.0000,nan,74.250,1,1.0000,567.0,0,0,0.07923
43120,-0.098154,148.9,1.0000,nan,30.072,1,0.0000,404.0,0,0,0.02040
48720,0.754579,100.8,1.0000,nan,30.743,1,0.0000,407.0,0,0,0.00299
54040,0.715486,97.9,1.0000,nan,27.511,1,0.0000,397.0,0,0,0.05042
59360,0.326227,95.1,0.0000,nan,28.576,1,0.0000,402.0,0,0,0.11373
65072,0.009450,99.6,1.0000,nan,30.135,1,0.0000,411.0,0,0,0.00564
70392,0.553162,99.0,1.0000,nan,26.330,1,0.0000,397.0,0,0,0.00570
80500,-0.619166,146.7,0.0000,nan,75.916,1,1.0000,585.0,0,0,0.14591
91336,-0.710150,182.1,0.0000,nan,80.217,1,1.0000,584.0,0,0,0.03802
96936,-0.333160,151.4,1.0000,nan,28.421,1,0.0000,398.0,0,0,0.01227
103852,-0.253012,113.5,0.0000,nan,27.697,1,0.0000,395.0,0,0,0.12147
114436,-0.526063,157.2,0.0000,nan,78.750,1,1.0000,582.0,0,0,0.02792
124656,-1.095165,196.2,0.0000,nan,76.390,1,0.0000,572.0,0,0,0.06698
135548,-0.931464,179.2,0.0000,nan,28.117,2,0.0000,400.5,0,0,0.04757
140644,-0.438766,146.4,1.0000,nan,25.832,1,0.0000,389.0,0,0,0.00141
147028,0.448839,104.2,1.0000,nan,38.301,1,0.0000,434.0,0,0,0.00146
152040,0.040812,102.6,0.0000,nan,24.665,1,0.0000,385.0,0,0,0.02172
157528,-0.160445,94.9,1.0000,nan,28.624,1,0.0000,398.0,0,0,0.00139
163296,-0.409989,100.9,0.0000,nan,30.552,1,0.0000,405.0,0,0,0.14409
173348,-0.516679,143.8,0.0000,nan,76.007,1,1.0000,570.0,0,0,0.03013
178612,-0.144090,143.2,1.0000,nan,27.093,1,0.0000,393.0,0,0,0.00300
184436,0.731466,99.8,1.0000,nan,28.590,1,0.0000,398.0,0,0,0.00637
189952,0.420060,101.8,1.0000,nan,28.581,1,0.0000,398.0,0,0,0.00814
195664,0.430052,100.6,1.0000,nan,31.917,1,0.0000,410.0,0,0,0.02375
205828,-0.835301,147.4,0.0000,nan,28.004,2,0.0000,400.0,0,0,0.07156
216412,-0.072057,146.4,1.0000,nan,26.015,3,0.0000,394.0,0,0,0.00618
222880,-0.958731,158.8,0.0000,nan,25.316,1,0.0000,388.0,0,0,0.06782
228480,0.023250,110.2,1.0000,nan,29.803,1,0.0000,403.0,0,0,0.00689
234220,0.430401,101.6,1.0000,nan,27.861,1,0.0000,396.0,0,0,0.00179
239540,0.435566,99.2,1.0000,nan,27.636,1,0.0000,395.0,0,0,0.00506
244804,0.122295,94.6,0.0000,nan,26.752,1,0.0000,393.0,0,0,0.02115
250628,-0.099393,99.8,1.0000,nan,31.324,1,0.0000,405.0,0,0,0.00646
256340,0.123985,102.9,1.0000,nan,29.879,1,0.0000,402.0,0,0,0.01255
261632,-0.203691,97.9,0.0000,nan,28.006,1,0.0000,397.0,0,0,0.05688
266952,-0.124527,95.0,0.0000,nan,27.748,1,0.0000,395.0,0,0,0.11466
272356,0.575126,96.0,1.0000,nan,28.605,1,0.0000,398.0,0,0,0.00110
282800,-0.246904,150.2,0.5000,nan,29.536,2,0.0000,405.5,0,0,0.01594
288400,-0.294704,149.4,1.0000,nan,30.312,1,0.0000,405.0,0,0,0.00814
293440,-0.164611,94.9,0.0000,nan,27.400,1,0.0000,392.0,0,0,0.20438
303660,-0.767310,153.2,0.5000,nan,31.779,2,0.0000,414.0,0,0,0.04502
308728,-0.365867,146.8,1.0000,nan,24.691,1,0.0000,385.0,0,0,0.00104
314468,-0.055496,98.0,0.0000,nan,28.152,1,0.0000,397.0,0,0,0.13098
324716,-0.346452,145.4,0.0000,nan,77.259,1,1.0000,577.0,0,0,0.07234
329756,-0.430857,142.2,1.0000,nan,24.825,1,0.0000,386.0,0,0,0.00399
340004,-0.599463,144.3,0.0000,nan,77.567,1,1.0000,575.0,0,0,0.04740
345520,-0.250114,147.1,1.0000,nan,28.391,1,0.0000,398.0,0,0,0.00674
360892,-1.086001,197.2,0.0000,nan,81.164,1,1.0000,577.0,0,0,0.07488
366072,-1.018156,172.8,0.0000,nan,27.846,1,0.0000,398.0,0,0,0.06906
371812,0.414317,98.6,1.0000,nan,29.104,1,0.0000,401.0,0,0,0.00164
377300,0.460513,100.3,0.0000,nan,30.474,1,0.0000,403.0,0,0,0.03288
382312,0.144661,93.7,1.0000,nan,27.258,1,0.0000,392.0,0,0,0.01230
388024,0.261502,96.7,0.0000,nan,29.996,1,0.0000,403.0,0,0,0.02762
393792,-0.149847,102.6,0.0000,nan,28.600,1,0.0000,398.0,0,0,0.06375
399084,0.200231,99.0,1.0000,nan,28.103,1,0.0000,396.0,0,0,0.00679
408912,-0.488063,154.1,0.5000,nan,31.043,2,0.0000,412.0,0,0,0.01588
414736,-0.527232,158.2,1.0000,nan,30.201,1,0.0000,405.0,0,0,0.00629
420476,0.067208,103.2,1.0000,nan,29.510,1,0.0000,402.0,0,0,0.00085
425796,0.095607,98.5,1.0000,nan,29.156,1,0.0000,398.0,0,0,0.00534
431480,0.544098,98.9,1.0000,nan,31.412,1,0.0000,408.0,0,0,0.02852
442540,-0.453151,154.9,0.5000,nan,28.328,2,0.0000,401.0,0,0,0.03050
453404,-0.508113,184.5,1.0000,nan,29.026,2,0.0000,404.0,0,0,0.00754
458584,-0.023111,148.5,1.0000,nan,28.042,1,0.0000,398.0,0,0,0.00421
463736,0.477887,92.8,1.0000,nan,27.197,1,0.0000,392.0,0,0,0.01105
474012,-0.993190,144.0,0.0000,nan,26.807,2,0.0000,395.5,0,0,0.04806
479080,-0.370265,141.9,1.0000,nan,27.450,1,0.0000,398.0,0,0,0.00623
489720,-0.558998,145.2,0.0000,nan,78.507,1,1.0000,584.0,0,0,0.04379
494788,-0.043807,144.5,1.0000,nan,24.797,1,0.0000,386.0,0,0,0.00226
505008,-0.927268,144.2,0.0000,nan,26.404,2,0.0000,396.0,0,0,0.09411
510580,-1.012761,146.5,0.0000,nan,26.629,1,0.0000,395.0,0,0,0.01082
516068,-0.088362,99.3,0.0000,nan,27.835,1,0.0000,397.0,0,0,0.09824
521164,-0.173412,94.3,0.0000,nan,24.774,1,0.0000,387.0,0,0,0.24211
531888,-0.887777,150.9,0.0000,nan,79.026,1,1.0000,584.0,0,0,0.04503
