timestep,correct_full,correct_random,correct_kv_norm,correct_learned,retention,evict_attn_percentile,evict_mean_pos_frac,evict_sink_frac,evict_generated_frac,truncation_rate
48720,1.0000,0.5625,0.6875,0.1250,0.1250,nan,0.6961,0.0000,0.6065,0.8125
103852,1.0000,0.5625,0.6875,0.0000,0.0000,nan,0.7646,0.0000,0.7444,1.0000
163296,1.0000,0.5625,0.6875,0.5000,0.5000,nan,0.4901,0.0000,0.0803,0.0625
222880,1.0000,0.5625,0.6875,0.0000,0.0000,nan,0.8223,0.0000,0.8277,1.0000
266952,1.0000,0.5625,0.6875,0.0000,0.0000,nan,0.8171,0.0000,0.8164,1.0000
324716,1.0000,0.5625,0.6875,0.0000,0.0000,nan,0.7961,0.0000,0.7803,1.0000
382312,1.0000,0.5625,0.6875,0.0625,0.0625,nan,0.7770,0.0000,0.7491,0.6875
431480,1.0000,0.5625,0.6875,0.0625,0.0625,nan,0.7860,0.0000,0.7795,0.6875
494788,1.0000,0.5625,0.6875,0.5000,0.5000,nan,0.7558,0.0000,0.7402,0.5625
547960,1.0000,0.5625,0.6875,0.2500,0.2500,nan,0.7668,0.0000,0.7590,0.6875
