timestep,ep_rew_mean,ep_len_mean,correctness_rate,alignment_mean,episode_seconds_mean,episodes,truncation_rate,context_size_mean,examples_seen,dataset_pass,kl_step_mean
5180,-0.419654,92.5,0.0000,nan,28.375,1,0.0000,391.0,0,0,0.04371
10248,0.246546,91.7,1.0000,nan,24.910,1,0.0000,386.0,0,0,0.00155
15512,0.433873,93.1,1.0000,nan,26.902,1,0.0000,393.0,0,0,0.00548
26180,-0.524040,148.6,0.0000,nan,78.408,1,1.0000,576.0,0,0,0.01762
31696,-0.521950,147.4,0.0000,nan,27.406,1,0.0000,398.0,0,0,0.06013
37352,0.232696,100.1,1.0000,nan,28.625,1,0.0000,398.0,0,0,0.01245
43036,0.439261,101.8,1.0000,nan,26.845,1,0.0000,401.0,0,0,0.00408
48608,0.418859,100.6,0.0000,nan,25.622,1,0.0000,394.0,0,0,0.09695
58772,-0.473574,142.7,0.5000,nan,23.685,2,0.0000,391.0,0,0,0.03127
64428,-0.663325,145.6,1.0000,nan,29.948,1,0.0000,403.0,0,0,0.00080
69664,0.246640,96.9,1.0000,nan,29.886,1,0.0000,396.0,0,0,0.00604
79520,-0.225825,154.1,0.5000,nan,30.245,2,0.0000,412.0,0,0,0.00574
84952,-0.752977,154.1,0.0000,nan,27.974,1,0.0000,397.0,0,0,0.04081
90748,-0.357909,100.8,0.0000,nan,30.093,1,0.0000,404.0,0,0,0.00987
96488,0.286965,103.0,1.0000,nan,29.453,1,0.0000,402.0,0,0,0.00427
101836,0.767046,98.8,1.0000,nan,30.302,1,0.0000,397.0,0,0,0.00494
112896,-0.190131,153.1,1.0000,nan,28.709,2,0.0000,401.0,0,0,0.00518
118216,-0.190644,150.5,1.0000,nan,28.540,1,0.0000,397.0,0,0,0.00588
129080,-0.297419,153.1,0.5000,nan,30.324,2,0.0000,407.0,0,0,0.01542
134288,-0.524195,147.1,0.0000,nan,29.366,1,0.0000,399.0,0,0,0.05876
140588,-0.323689,104.5,0.0000,nan,29.830,1,0.0000,396.0,0,0,0.02991
150948,-0.524590,147.9,0.5000,nan,26.106,2,0.0000,390.5,0,0,0.03461
161420,-0.748126,195.2,0.0000,nan,77.313,1,1.0000,576.0,0,0,0.05620
167104,-0.047432,149.7,1.0000,nan,29.517,1,0.0000,399.0,0,0,0.00273
172144,0.464821,95.5,0.0000,nan,26.128,1,0.0000,390.0,0,0,0.03206
182392,-0.117176,142.2,0.0000,nan,76.275,1,1.0000,575.0,0,0,0.01809
187768,-0.594129,145.2,0.0000,nan,28.184,1,0.0000,398.0,0,0,0.03370
193452,0.257993,99.2,1.0000,nan,28.369,1,0.0000,398.0,0,0,0.00501
198996,0.453968,100.6,0.0000,nan,29.346,1,0.0000,401.0,0,0,0.03183
204120,0.448857,94.9,1.0000,nan,25.643,1,0.0000,389.0,0,0,0.00906
209748,0.027604,97.0,0.0000,nan,29.741,1,0.0000,400.0,0,0,0.06547
215348,0.167229,100.4,1.0000,nan,27.540,1,0.0000,395.0,0,0,0.00970
220500,0.415428,96.2,0.0000,nan,27.206,1,0.0000,394.0,0,0,0.09216
225820,0.118196,93.8,1.0000,nan,29.671,1,0.0000,403.0,0,0,0.00101
231364,0.245461,98.1,1.0000,nan,28.700,1,0.0000,399.0,0,0,0.00798
236684,0.109660,96.9,0.0000,nan,27.215,1,0.0000,395.0,0,0,0.03071
242928,0.186829,104.4,1.0000,nan,22.902,1,0.0000,379.0,0,0,0.00346
248556,-0.036095,109.4,1.0000,nan,27.924,1,0.0000,397.0,0,0,0.00091
259364,-0.888246,152.6,0.0000,nan,79.352,1,1.0000,583.0,0,0,0.02404
264964,-0.476468,150.8,1.0000,nan,28.203,1,0.0000,398.0,0,0,0.00725
275800,-0.326840,153.7,1.0000,nan,27.943,2,0.0000,400.0,0,0,0.00435
281176,-0.911320,152.0,0.0000,nan,28.233,1,0.0000,398.0,0,0,0.06696
286552,-0.242454,96.1,1.0000,nan,29.636,1,0.0000,403.0,0,0,0.00864
292432,-0.055481,101.8,0.0000,nan,30.159,1,0.0000,404.0,0,0,0.01055
298200,-0.249110,104.1,0.0000,nan,34.302,1,0.0000,419.0,0,0,0.21284
308504,-0.445411,148.5,1.0000,nan,26.879,2,0.0000,396.5,0,0,0.00290
314664,-0.634515,153.0,0.0000,nan,38.582,1,0.0000,437.0,0,0,0.10580
320152,0.272823,106.4,1.0000,nan,28.970,1,0.0000,400.0,0,0,0.00035
327348,0.334308,115.2,1.0000,nan,43.018,1,0.0000,453.0,0,0,0.02777
337372,-0.775748,151.2,0.0000,nan,26.322,2,0.0000,393.5,0,0,0.12359
342552,-0.537037,142.0,0.0000,nan,25.726,1,0.0000,390.0,0,0,0.09389
348208,0.208568,97.7,0.0000,nan,27.372,1,0.0000,397.0,0,0,0.04569
358708,-0.144808,150.0,0.0000,nan,76.411,1,1.0000,576.0,0,0,0.01792
364112,-0.282956,147.0,0.0000,nan,27.565,1,0.0000,396.0,0,0,0.05124
369264,0.184534,94.2,1.0000,nan,25.524,1,0.0000,389.0,0,0,0.00620
374752,0.040998,95.8,1.0000,nan,30.074,1,0.0000,404.0,0,0,0.00251
385336,-0.539701,145.0,0.6667,nan,25.643,3,0.0000,392.3,0,0,0.03915
391048,-0.139782,150.9,1.0000,nan,29.421,1,0.0000,403.0,0,0,0.00338
396872,0.460475,103.1,1.0000,nan,28.620,1,0.0000,399.0,0,0,0.00120
402164,0.154239,99.4,0.0000,nan,27.660,1,0.0000,396.0,0,0,0.03182
408884,0.067537,108.8,0.0000,nan,41.079,1,0.0000,445.0,0,0,0.04974
414568,0.039186,112.5,0.0000,nan,30.055,1,0.0000,404.0,0,0,0.06274
420308,0.062292,102.2,1.0000,nan,29.988,1,0.0000,402.0,0,0,0.00321
425908,0.083543,101.3,0.0000,nan,29.746,1,0.0000,404.0,0,0,0.03749
431172,0.077974,97.0,1.0000,nan,28.082,1,0.0000,397.0,0,0,0.00384
436884,0.159264,98.7,0.0000,nan,29.749,1,0.0000,403.0,0,0,0.06214
442204,0.527860,98.1,1.0000,nan,28.153,1,0.0000,397.0,0,0,0.00538
448000,0.098449,99.9,0.0000,nan,31.310,1,0.0000,409.0,0,0,0.02269
453628,-0.042474,102.4,1.0000,nan,28.234,1,0.0000,398.0,0,0,0.00440
458724,0.483822,95.6,1.0000,nan,25.677,1,0.0000,389.0,0,0,0.00274
465108,0.737964,104.2,1.0000,nan,37.933,1,0.0000,434.0,0,0,0.01795
470176,0.735187,103.1,1.0000,nan,25.148,1,0.0000,385.0,0,0,0.00478
475636,0.468025,95.2,0.0000,nan,28.076,1,0.0000,397.0,0,0,0.03116
481320,0.606270,99.9,1.0000,nan,30.662,1,0.0000,406.0,0,0,0.00126
486360,0.486484,95.5,1.0000,nan,26.563,1,0.0000,392.0,0,0,0.00154
496524,-0.342379,143.1,0.0000,nan,76.004,1,1.0000,575.0,0,0,0.03986
502180,-0.320328,148.6,1.0000,nan,30.281,1,0.0000,407.0,0,0,0.00619
507584,0.278917,99.1,1.0000,nan,28.426,1,0.0000,401.0,0,0,0.00215
522956,-1.081458,196.6,0.0000,nan,78.461,1,1.0000,574.0,0,0,0.07105
533120,-0.568194,175.2,1.0000,nan,26.117,2,0.0000,397.5,0,0,0.00143
538692,-0.435381,149.5,1.0000,nan,26.843,1,0.0000,395.0,0,0,0.00634
543788,-0.269923,95.4,0.0000,nan,26.684,1,0.0000,394.0,0,0,0.09109
549136,-0.081051,93.8,0.0000,nan,28.727,1,0.0000,403.0,0,0,0.01902
554792,-0.236982,99.4,0.0000,nan,29.313,1,0.0000,402.0,0,0,0.05770
565516,-0.333995,149.7,1.0000,nan,28.722,2,0.0000,403.0,0,0,0.00266
572208,-0.888972,158.4,0.0000,nan,40.458,1,0.0000,445.0,0,0,0.02642
577892,-0.133921,112.4,1.0000,nan,28.215,1,0.0000,405.0,0,0,0.00681
583604,0.251560,102.1,1.0000,nan,29.064,1,0.0000,402.0,0,0,0.00702
594216,0.022151,148.9,0.0000,nan,77.950,1,0.0000,583.0,0,0,0.05804
599564,0.211424,147.5,1.0000,nan,27.666,1,0.0000,396.0,0,0,0.00269
604912,0.455161,95.6,1.0000,nan,27.513,1,0.0000,398.0,0,0,0.01190
610400,0.578957,97.1,1.0000,nan,29.123,1,0.0000,403.0,0,0,0.00540
616336,0.735853,103.0,1.0000,nan,29.979,1,0.0000,405.0,0,0,0.01850
621488,0.449793,98.4,0.0000,nan,26.898,1,0.0000,397.0,0,0,0.02390
