timestep,correct_full,correct_random,correct_kv_norm,correct_learned,retention,evict_attn_percentile,evict_mean_pos_frac,evict_sink_frac,evict_generated_frac,truncation_rate
48608,1.0000,0.6250,0.6875,0.5625,0.5625,nan,0.4568,0.0000,0.0000,0.0000
101836,1.0000,0.6250,0.6875,0.0000,0.0000,nan,0.7785,0.0000,0.7644,1.0000
167104,1.0000,0.6250,0.6875,0.0000,0.0000,nan,0.7785,0.0000,0.7644,1.0000
215348,1.0000,0.6250,0.6875,0.0000,0.0000,nan,0.7785,0.0000,0.7644,1.0000
264964,1.0000,0.6250,0.6875,0.0000,0.0000,nan,0.7785,0.0000,0.7644,1.0000
320152,1.0000,0.6250,0.6875,0.5000,0.5000,nan,0.5710,0.0000,0.0967,0.0625
374752,1.0000,0.6250,0.6875,0.5000,0.5000,nan,0.5709,0.0000,0.0966,0.0625
425908,1.0000,0.6250,0.6875,0.3750,0.3750,nan,0.4383,0.0000,0.0296,0.0000
470176,1.0000,0.6250,0.6875,0.4375,0.4375,nan,0.5615,0.0000,0.1015,0.0625
533120,1.0000,0.6250,0.6875,0.5000,0.5000,nan,0.5641,0.0000,0.1093,0.0625
583604,1.0000,0.6250,0.6875,0.5000,0.5000,nan,0.5574,0.0000,0.1028,0.0625
641984,1.0000,0.6250,0.6875,0.5000,0.5000,nan,0.5543,0.0000,0.1008,0.0625
694540,1.0000,0.6250,0.6875,0.5000,0.5000,nan,0.5453,0.0000,0.0964,0.0625
740068,1.0000,0.6250,0.6875,0.4375,0.4375,nan,0.5853,0.0000,0.2334,0.1250
788760,1.0000,0.6250,0.6875,0.0000,0.0000,nan,0.7395,0.0000,0.7085,1.0000
836724,1.0000,0.6250,0.6875,0.0625,0.0625,nan,0.7564,0.0000,0.7317,0.8750
886676,1.0000,0.6250,0.6875,0.0000,0.0000,nan,0.7552,0.0000,0.7341,0.9375
941388,1.0000,0.6250,0.6875,0.0000,0.0000,nan,0.7576,0.0000,0.7394,0.8750
1004528,1.0000,0.6250,0.6875,0.0000,0.0000,nan,0.7584,0.0000,0.7422,1.0000
