timestep,correct_full,correct_random,correct_kv_norm,correct_learned,retention,evict_attn_percentile,evict_mean_pos_frac,evict_sink_frac,evict_generated_frac,truncation_rate
48160,1.0000,0.5000,0.5625,0.2500,0.2500,nan,0.6908,0.0000,0.5804,0.6875
119588,1.0000,0.5000,0.5625,0.3125,0.3125,nan,0.6937,0.0000,0.6112,0.6250
184548,1.0000,0.5000,0.5625,0.5000,0.5000,nan,0.7213,0.0000,0.6201,0.4375
233240,1.0000,0.5000,0.5625,0.5625,0.5625,nan,0.6152,0.0000,0.3867,0.1875
278768,1.0000,0.5000,0.5625,0.6250,0.6250,nan,0.6581,0.0000,0.4623,0.1250
334544,1.0000,0.5000,0.5625,0.6250,0.6250,nan,0.6248,0.0000,0.4070,0.0625
397544,1.0000,0.5000,0.5625,0.6875,0.6875,nan,0.6734,0.0000,0.4744,0.0625
463120,1.0000,0.5000,0.5625,0.8750,0.8750,nan,0.6753,0.0000,0.4837,0.0625
518364,1.0000,0.5000,0.5625,0.5625,0.5625,nan,0.7185,0.0000,0.5957,0.2500
571732,1.0000,0.5000,0.5625,0.5625,0.5625,nan,0.7023,0.0000,0.5251,0.1875
617988,1.0000,0.5000,0.5625,0.6875,0.6875,nan,0.7534,0.0000,0.6280,0.3125
687092,1.0000,0.5000,0.5625,0.8750,0.8750,nan,0.7569,0.0000,0.5864,0.0625
745136,1.0000,0.5000,0.5625,0.8125,0.8125,nan,0.7731,0.0000,0.6215,0.1250
793996,1.0000,0.5000,0.5625,0.6250,0.6250,nan,0.7648,0.0000,0.6294,0.1875
839412,1.0000,0.5000,0.5625,0.6875,0.6875,nan,0.7497,0.0000,0.5942,0.0625
892276,1.0000,0.5000,0.5625,0.6250,0.6250,nan,0.7757,0.0000,0.6605,0.1250
950600,1.0000,0.5000,0.5625,0.6875,0.6875,nan,0.6665,0.0000,0.4402,0.0625
1001168,1.0000,0.5000,0.5625,0.7500,0.7500,nan,0.6643,0.0000,0.4528,0.1250
1048628,1.0000,0.5000,0.5625,0.5625,0.5625,nan,0.6671,0.0000,0.5003,0.1875
1098804,1.0000,0.5000,0.5625,0.8125,0.8125,nan,0.6933,0.0000,0.4982,0.0000
1151388,1.0000,0.5000,0.5625,0.6250,0.6250,nan,0.6358,0.0000,0.4731,0.0625
