timestep,ep_rew_mean,ep_len_mean,correctness_rate,alignment_mean,episode_seconds_mean,episodes,truncation_rate,context_size_mean,examples_seen,dataset_pass,kl_step_mean
10220,-0.785416,182.5,1.0000,nan,26.834,1,0.0000,392.0,0,0,0.00491
15260,-0.471383,141.7,1.0000,nan,25.031,1,0.0000,386.0,0,0,0.00331
25508,-0.347721,144.8,1.0000,nan,26.722,2,0.0000,395.5,0,0,0.00309
31136,-0.832318,148.5,0.0000,nan,30.628,1,0.0000,406.0,0,0,0.02710
36680,-0.069669,100.2,1.0000,nan,28.935,1,0.0000,399.0,0,0,0.01100
47320,-0.722152,150.4,0.0000,nan,78.009,1,1.0000,576.0,0,0,0.09851
52808,-0.641569,147.9,1.0000,nan,27.269,1,0.0000,395.0,0,0,0.00057
64484,-0.699022,158.3,0.0000,nan,79.358,1,1.0000,585.0,0,0,0.07433
69888,-0.618274,148.0,1.0000,nan,29.024,1,0.0000,405.0,0,0,0.00147
75544,0.235077,99.9,0.0000,nan,28.912,1,0.0000,401.0,0,0,0.08414
85820,-1.488157,145.7,0.5000,nan,26.368,2,0.0000,396.0,0,0,0.02617
95956,-0.869442,146.3,0.3333,nan,25.307,3,0.0000,391.7,0,0,0.05028
101808,-0.376614,153.9,1.0000,nan,29.644,1,0.0000,405.0,0,0,0.01505
112532,-0.389832,151.2,0.5000,nan,27.167,2,0.0000,400.0,0,0,0.01947
122836,-0.817001,174.8,0.5000,nan,26.822,2,0.0000,395.5,0,0,0.03500
133224,-0.558811,174.0,0.0000,nan,76.422,1,1.0000,576.0,0,0,0.07283
139104,-0.438028,150.8,1.0000,nan,30.825,1,0.0000,409.0,0,0,0.00069
145824,0.240644,113.8,0.0000,nan,38.756,1,0.0000,437.0,0,0,0.03464
150920,0.085536,105.7,0.0000,nan,27.219,1,0.0000,395.0,0,0,0.04370
156156,0.450981,92.8,1.0000,nan,28.706,1,0.0000,397.0,0,0,0.00106
161224,0.784130,92.1,1.0000,nan,28.036,1,0.0000,398.0,0,0,0.00402
166712,0.773241,95.5,1.0000,nan,29.087,1,0.0000,400.0,0,0,0.00384
177352,-0.350706,145.4,0.6667,nan,25.583,3,0.0000,393.7,0,0,0.03190
182420,-0.891290,144.5,0.0000,nan,27.984,1,0.0000,397.0,0,0,0.13363
187684,0.167782,93.1,1.0000,nan,27.245,1,0.0000,393.0,0,0,0.01607
193340,0.126297,98.2,0.0000,nan,30.564,1,0.0000,406.0,0,0,0.04242
198884,-0.074052,100.4,1.0000,nan,29.123,1,0.0000,399.0,0,0,0.00550
213976,-1.433518,194.6,0.0000,nan,78.860,1,1.0000,574.0,0,0,0.02875
219604,-1.340379,175.3,0.0000,nan,30.510,1,0.0000,406.0,0,0,0.05206
225204,-0.171069,100.8,1.0000,nan,30.268,1,0.0000,404.0,0,0,0.00409
236460,-0.456946,154.0,0.5000,nan,31.606,2,0.0000,412.0,0,0,0.01854
247212,-0.589290,179.1,1.0000,nan,29.279,2,0.0000,404.0,0,0,0.00311
253036,-0.385951,153.0,1.0000,nan,28.829,1,0.0000,399.0,0,0,0.00761
259308,0.096306,109.2,0.0000,nan,26.793,1,0.0000,392.0,0,0,0.08344
269136,-0.340330,160.2,0.5000,nan,33.340,2,0.0000,421.0,0,0,0.05237
274988,-0.283117,153.4,1.0000,nan,30.686,1,0.0000,405.0,0,0,0.00452
285712,-0.242307,151.2,0.0000,nan,79.087,1,1.0000,580.0,0,0,0.07469
291032,-0.061179,146.8,1.0000,nan,28.331,1,0.0000,397.0,0,0,0.00188
296884,0.780414,100.4,1.0000,nan,33.349,1,0.0000,415.0,0,0,0.00144
303856,0.299676,116.8,0.0000,nan,41.676,1,0.0000,447.0,0,0,0.08618
314720,-1.045172,161.1,1.0000,nan,78.581,1,1.0000,581.0,0,0,0.21729
320992,-0.941000,157.8,1.0000,nan,25.869,1,0.0000,389.0,0,0,0.00226
327544,-0.006476,117.7,0.0000,nan,40.964,1,0.0000,444.0,0,0,0.06514
333816,-0.415775,117.3,0.0000,nan,37.553,1,0.0000,431.0,0,0,0.13153
339192,0.163098,105.2,1.0000,nan,28.440,1,0.0000,398.0,0,0,0.01536
344848,0.090262,98.9,0.0000,nan,29.031,1,0.0000,400.0,0,0,0.02051
350140,-0.081466,97.6,1.0000,nan,28.540,1,0.0000,399.0,0,0,0.00566
360332,-0.334898,141.4,0.0000,nan,76.056,1,1.0000,575.0,0,0,0.02891
370580,-0.629923,173.2,0.0000,nan,76.377,1,1.0000,571.0,0,0,0.09978
376208,-0.558379,147.2,1.0000,nan,30.991,1,0.0000,407.0,0,0,0.00458
386596,0.065710,145.5,0.0000,nan,77.338,1,1.0000,577.0,0,0,0.01506
392252,-0.279206,147.9,0.0000,nan,30.489,1,0.0000,406.0,0,0,0.06043
402920,-0.616346,149.8,0.0000,nan,79.438,1,1.0000,582.0,0,0,0.06523
409584,-0.650988,160.4,0.0000,nan,38.178,1,0.0000,433.0,0,0,0.07271
415044,-0.031795,108.5,0.0000,nan,26.228,1,0.0000,390.0,0,0,0.06696
420644,0.119108,99.9,1.0000,nan,29.993,1,0.0000,403.0,0,0,0.00344
427448,0.426037,112.3,1.0000,nan,38.745,1,0.0000,434.0,0,0,0.05335
433804,-0.193195,118.4,0.0000,nan,27.934,1,0.0000,396.0,0,0,0.08078
440020,-0.258249,114.3,0.0000,nan,22.545,1,0.0000,378.0,0,0,0.04422
445508,0.561089,107.8,1.0000,nan,28.868,1,0.0000,397.0,0,0,0.00787
451220,0.399747,100.5,0.0000,nan,29.447,1,0.0000,401.0,0,0,0.08742
456708,0.496941,100.0,1.0000,nan,29.685,1,0.0000,403.0,0,0,0.03602
462056,0.713726,97.1,1.0000,nan,27.835,1,0.0000,396.0,0,0,0.00387
468132,0.776181,102.8,1.0000,nan,33.334,1,0.0000,415.0,0,0,0.00162
474628,0.747284,113.4,1.0000,nan,28.052,1,0.0000,397.0,0,0,0.00420
480564,0.713855,112.8,1.0000,nan,31.665,1,0.0000,409.0,0,0,0.01450
490728,-0.033052,142.9,1.0000,nan,25.571,3,0.0000,392.0,0,0,0.00884
497140,-0.398019,155.7,1.0000,nan,28.173,1,0.0000,397.0,0,0,0.00296
507472,-1.149665,142.4,0.3333,nan,25.459,3,0.0000,392.3,0,0,0.05281
518084,-0.666403,147.0,0.3333,nan,26.319,3,0.0000,395.3,0,0,0.03361
523292,-0.462582,145.7,1.0000,nan,26.475,1,0.0000,391.0,0,0,0.02472
528556,0.454601,93.9,1.0000,nan,26.806,1,0.0000,393.0,0,0,0.00924
534240,0.771419,98.4,1.0000,nan,27.836,1,0.0000,398.0,0,0,0.00197
539728,0.069572,100.1,0.0000,nan,27.807,1,0.0000,398.0,0,0,0.03685
545104,-0.203512,97.0,1.0000,nan,28.055,1,0.0000,399.0,0,0,0.00148
550816,0.194178,99.6,1.0000,nan,30.053,1,0.0000,406.0,0,0,0.00551
556304,0.188323,100.1,0.0000,nan,26.639,1,0.0000,394.0,0,0,0.08282
566860,-0.846509,146.7,0.0000,nan,26.595,2,0.0000,397.5,0,0,0.05596
572236,-0.687642,144.0,1.0000,nan,26.100,1,0.0000,390.0,0,0,0.01907
587916,-1.216503,199.9,0.0000,nan,80.266,1,1.0000,581.0,0,0,0.09721
594244,-0.875982,186.5,1.0000,nan,27.859,1,0.0000,396.0,0,0,0.00899
599088,0.026490,100.3,0.0000,nan,26.894,1,0.0000,396.0,0,0,0.06187
609728,-0.720637,149.6,0.5000,nan,26.949,2,0.0000,399.0,0,0,0.05989
615552,-0.868717,153.8,0.0000,nan,30.049,1,0.0000,405.0,0,0,0.10286
621180,-0.076041,102.0,0.0000,nan,27.747,1,0.0000,398.0,0,0,0.02589
631512,-0.218044,148.0,1.0000,nan,27.358,1,0.0000,397.0,0,0,0.01011
639156,-1.144254,168.2,0.0000,nan,47.682,1,0.0000,473.0,0,0,0.15602
645624,-0.569622,129.0,0.0000,nan,27.258,1,0.0000,396.0,0,0,0.11344
651112,0.530741,108.2,1.0000,nan,26.999,1,0.0000,395.0,0,0,0.00083
667016,-0.830740,202.6,0.0000,nan,82.251,1,1.0000,587.0,0,0,0.04760
672196,-0.499445,177.0,1.0000,nan,27.655,1,0.0000,395.0,0,0,0.00522
678608,0.736986,105.0,1.0000,nan,38.280,1,0.0000,434.0,0,0,0.00914
683900,0.025882,105.5,0.0000,nan,27.637,1,0.0000,397.0,0,0,0.06635
688940,-0.069367,92.2,0.0000,nan,27.163,1,0.0000,397.0,0,0,0.01229
694568,-0.321450,96.6,0.0000,nan,29.755,1,0.0000,405.0,0,0,0.15910
699720,-0.241688,96.2,0.0000,nan,25.592,1,0.0000,390.0,0,0,0.04131
704760,0.174101,91.2,1.0000,nan,25.277,1,0.0000,386.0,0,0,0.02395
709996,0.110845,92.6,1.0000,nan,26.300,1,0.0000,393.0,0,0,0.01129
715680,0.477314,98.2,1.0000,nan,27.797,1,0.0000,398.0,0,0,0.00537
721168,0.477840,100.1,1.0000,nan,27.880,1,0.0000,398.0,0,0,0.00850
726348,0.184709,95.0,1.0000,nan,25.288,1,0.0000,389.0,0,0,0.00450
732088,0.471894,98.6,1.0000,nan,30.043,1,0.0000,406.0,0,0,0.00760
737576,0.435457,100.3,1.0000,nan,26.793,1,0.0000,395.0,0,0,0.00165
744268,0.425504,110.5,1.0000,nan,30.360,1,0.0000,407.0,0,0,0.00184
749280,0.340265,104.3,1.0000,nan,26.261,1,0.0000,392.0,0,0,0.00172
754880,0.523920,95.6,1.0000,nan,29.902,1,0.0000,403.0,0,0,0.00123
760508,0.387527,100.5,0.0000,nan,26.120,1,0.0000,392.0,0,0,0.09057
766836,-0.181518,108.6,0.0000,nan,36.672,1,0.0000,432.0,0,0,0.09631
773052,-0.195691,114.0,0.0000,nan,40.026,1,0.0000,445.0,0,0,0.05634
783412,-0.991503,155.5,0.0000,nan,76.495,1,1.0000,579.0,0,0,0.06005
789012,-0.591677,150.3,0.0000,nan,29.511,1,0.0000,404.0,0,0,0.02618
794444,0.051982,98.7,1.0000,nan,28.295,1,0.0000,397.0,0,0,0.00212
800296,0.364900,101.3,1.0000,nan,27.405,1,0.0000,396.0,0,0,0.00390
806988,0.420981,114.0,0.0000,nan,29.785,1,0.0000,404.0,0,0,0.04220
817208,-1.465155,152.5,0.5000,nan,26.974,2,0.0000,398.5,0,0,0.00958
827372,-0.942871,142.9,0.0000,nan,75.333,1,1.0000,576.0,0,0,0.27193
837676,-1.522597,173.4,0.0000,nan,75.353,1,1.0000,573.0,0,0,0.15830
842744,-0.383085,141.9,1.0000,nan,24.207,1,0.0000,385.0,0,0,0.00192
848204,0.118069,95.2,0.0000,nan,27.630,1,0.0000,397.0,0,0,0.04505
858844,-0.928947,149.5,0.0000,nan,77.545,1,1.0000,584.0,0,0,0.06795
863912,-0.603170,145.4,0.0000,nan,28.132,1,0.0000,397.0,0,0,0.05026
869176,0.439307,93.1,1.0000,nan,26.322,1,0.0000,393.0,0,0,0.00291
874552,0.462293,95.4,0.0000,nan,27.805,1,0.0000,396.0,0,0,0.03345
885220,-0.432110,149.0,1.0000,nan,30.579,1,0.0000,407.0,0,0,0.00094
890764,-0.258338,149.4,1.0000,nan,29.525,1,0.0000,401.0,0,0,0.00940
896392,0.373204,100.0,0.0000,nan,27.623,1,0.0000,397.0,0,0,0.09010
902076,0.538542,101.6,1.0000,nan,28.805,1,0.0000,401.0,0,0,0.00142
907648,0.372469,100.6,0.0000,nan,26.708,1,0.0000,394.0,0,0,0.07957
913920,0.528468,107.3,1.0000,nan,37.328,1,0.0000,434.0,0,0,0.00166
924224,-0.811279,152.9,0.5000,nan,28.407,2,0.0000,402.5,0,0,0.07743
929964,-0.432778,148.5,1.0000,nan,31.507,1,0.0000,411.0,0,0,0.00041
941360,-0.345398,153.4,0.0000,nan,75.961,1,1.0000,575.0,0,0,0.01874
949088,-0.667254,166.5,1.0000,nan,27.450,1,0.0000,397.0,0,0,0.00804
959784,-0.905346,164.9,0.0000,nan,76.895,1,1.0000,579.0,0,0,0.12183
965496,-0.798743,151.6,0.0000,nan,29.520,1,0.0000,404.0,0,0,0.07435
970844,0.417992,98.5,1.0000,nan,27.620,1,0.0000,397.0,0,0,0.00178
981848,-0.294693,163.5,0.0000,nan,77.507,1,0.0000,582.0,0,0,0.07964
987168,0.122627,153.6,1.0000,nan,27.695,1,0.0000,395.0,0,0,0.00277
993048,0.761271,100.7,1.0000,nan,29.126,1,0.0000,403.0,0,0,0.00706
999880,0.104050,114.9,0.0000,nan,31.413,1,0.0000,409.0,0,0,0.02328
1005088,-0.110062,107.4,0.0000,nan,25.928,1,0.0000,391.0,0,0,0.06604
1011444,0.242787,104.8,0.0000,nan,37.092,1,0.0000,433.0,0,0,0.02011
1016484,0.095246,102.6,0.0000,nan,23.886,1,0.0000,384.0,0,0,0.07661
1021972,0.575285,95.3,1.0000,nan,27.807,1,0.0000,398.0,0,0,0.00527
1027628,0.433074,99.8,1.0000,nan,30.221,1,0.0000,406.0,0,0,0.00263
1032696,0.571665,95.6,1.0000,nan,27.165,1,0.0000,397.0,0,0,0.01216
1037848,0.418979,92.0,0.0000,nan,25.335,1,0.0000,389.0,0,0,0.05868
1048236,-0.288666,148.6,0.0000,nan,76.150,1,1.0000,575.0,0,0,0.03152
1058624,-0.811774,175.2,0.0000,nan,78.344,1,1.0000,579.0,0,0,0.04785
1063636,-0.353873,143.6,0.0000,nan,24.812,1,0.0000,385.0,0,0,0.02778
1074304,-0.203512,148.2,0.0000,nan,78.204,1,1.0000,579.0,0,0,0.08845
1080996,-0.591660,159.8,0.0000,nan,38.847,1,0.0000,434.0,0,0,0.05192
1091020,-0.300209,157.1,0.0000,nan,74.971,1,1.0000,568.0,0,0,0.02814
1101716,-0.456006,177.1,0.0000,nan,78.710,1,1.0000,581.0,0,0,0.08157
1107456,-0.029040,151.5,1.0000,nan,27.912,1,0.0000,396.0,0,0,0.00132
1117592,-0.353715,146.9,0.6667,nan,25.705,3,0.0000,392.3,0,0,0.02369
1123444,-0.162904,154.0,1.0000,nan,30.673,1,0.0000,405.0,0,0,0.00865
1129184,0.772064,103.4,1.0000,nan,28.822,1,0.0000,402.0,0,0,0.00556
1134532,0.774927,98.8,1.0000,nan,27.837,1,0.0000,398.0,0,0,0.00220
1139880,0.773634,95.7,1.0000,nan,27.248,1,0.0000,396.0,0,0,0.00938
1150240,-0.448032,145.3,0.0000,nan,75.483,1,1.0000,576.0,0,0,0.09340
1161048,-1.077055,181.2,1.0000,nan,80.890,1,1.0000,587.0,0,0,0.16456
1167320,-0.296469,159.4,1.0000,nan,26.039,1,0.0000,389.0,0,0,0.00146
1177484,-0.628277,166.5,0.0000,nan,76.568,1,1.0000,573.0,0,0,0.08179
1183840,-0.731316,164.4,1.0000,nan,28.013,1,0.0000,396.0,0,0,0.00136
1189300,0.101212,106.8,0.0000,nan,28.315,1,0.0000,397.0,0,0,0.07532
1194872,-0.099413,98.8,0.0000,nan,30.975,1,0.0000,404.0,0,0,0.01079
1199940,0.264541,94.9,1.0000,nan,26.859,1,0.0000,392.0,0,0,0.00297
1204980,0.484598,90.3,1.0000,nan,25.170,1,0.0000,386.0,0,0,0.00349
1210244,0.491703,92.8,1.0000,nan,28.268,1,0.0000,397.0,0,0,0.00202
1220912,-0.134222,150.0,0.0000,nan,79.648,1,1.0000,585.0,0,0,0.08824
1226316,-0.134106,149.6,1.0000,nan,27.745,1,0.0000,396.0,0,0,0.00062
1231440,0.021034,93.9,0.0000,nan,25.358,1,0.0000,387.0,0,0,0.23422
1237152,-0.205330,98.0,0.0000,nan,30.743,1,0.0000,405.0,0,0,0.10635
1242668,0.388225,100.3,1.0000,nan,28.439,1,0.0000,395.0,0,0,0.00076
1247708,0.770891,94.3,1.0000,nan,26.733,1,0.0000,392.0,0,0,0.00099
1253476,0.441033,97.4,0.0000,nan,30.068,1,0.0000,403.0,0,0,0.03789
1259020,0.232281,100.9,0.0000,nan,29.239,1,0.0000,401.0,0,0,0.08805
1264732,0.129595,100.8,1.0000,nan,28.026,1,0.0000,396.0,0,0,0.00211
