timestep,ep_rew_mean,ep_len_mean,correctness_rate,alignment_mean,episode_seconds_mean,episodes,truncation_rate,context_size_mean,examples_seen,dataset_pass,kl_step_mean
5208,-0.121578,93.0,0.0000,nan,36.817,1,0.0000,391.0,0,0,0.05983
10276,0.434290,92.0,1.0000,nan,34.258,1,0.0000,386.0,0,0,0.00657
15540,0.033487,93.1,1.0000,nan,37.235,1,0.0000,393.0,0,0,0.00589
21224,0.059846,98.4,1.0000,nan,39.529,1,0.0000,398.0,0,0,0.00375
26712,0.218840,100.1,0.0000,nan,38.675,1,0.0000,397.0,0,0,0.10575
31864,-0.235721,94.9,1.0000,nan,35.597,1,0.0000,389.0,0,0,0.00067
37576,-0.961068,98.1,0.0000,nan,42.612,1,0.0000,406.0,0,0,0.03681
43064,-0.496994,100.1,0.0000,nan,37.597,1,0.0000,394.0,0,0,0.10953
49728,0.010773,110.4,1.0000,nan,43.029,1,0.0000,407.0,0,0,0.00574
54768,0.234267,104.3,1.0000,nan,36.865,1,0.0000,392.0,0,0,0.00163
60368,0.706520,95.7,1.0000,nan,40.172,1,0.0000,403.0,0,0,0.00870
66108,0.714102,101.6,1.0000,nan,36.959,1,0.0000,396.0,0,0,0.00922
72492,0.144417,109.8,0.0000,nan,49.523,1,0.0000,433.0,0,0,0.06049
78708,-0.381009,114.5,0.0000,nan,55.341,1,0.0000,445.0,0,0,0.04192
84196,0.235236,107.7,1.0000,nan,39.003,1,0.0000,401.0,0,0,0.00079
89796,-0.171820,99.4,0.0000,nan,38.028,1,0.0000,398.0,0,0,0.05994
100268,-0.421737,148.1,0.0000,nan,105.650,1,1.0000,576.0,0,0,0.01785
111104,-4.265016,200.7,0.0000,nan,109.879,1,1.0000,593.0,0,0,0.35593
117824,-4.099563,164.2,0.0000,nan,52.453,1,0.0000,438.0,0,0,0.07978
123144,0.070939,108.0,1.0000,nan,36.623,1,0.0000,395.0,0,0,0.00301
134820,-4.579988,157.0,0.0000,nan,105.064,1,1.0000,583.0,0,0,0.30604
139972,-4.580293,144.7,0.0000,nan,34.092,1,0.0000,391.0,0,0,0.11954
145264,-0.200012,93.6,0.0000,nan,36.452,1,0.0000,396.0,0,0,0.07399
150640,0.241167,95.4,1.0000,nan,37.065,1,0.0000,398.0,0,0,0.00231
155708,0.738123,93.0,1.0000,nan,37.016,1,0.0000,398.0,0,0,0.00767
160944,0.173227,93.0,1.0000,nan,37.230,1,0.0000,399.0,0,0,0.01371
166880,0.144843,101.0,1.0000,nan,36.055,1,0.0000,397.0,0,0,0.01145
171948,0.015697,98.5,1.0000,nan,32.244,1,0.0000,386.0,0,0,0.00435
177212,-0.175385,93.1,1.0000,nan,34.923,1,0.0000,393.0,0,0,0.00174
182840,-0.878194,97.9,0.0000,nan,37.150,1,0.0000,397.0,0,0,0.11427
193228,-1.286586,145.3,1.0000,nan,33.974,2,0.0000,394.0,0,0,0.00456
198856,-1.705979,146.8,0.0000,nan,37.328,1,0.0000,397.0,0,0,0.22307
204456,-0.144987,100.8,1.0000,nan,37.656,1,0.0000,401.0,0,0,0.00160
210028,-0.216702,99.7,1.0000,nan,35.242,1,0.0000,395.0,0,0,0.00258
216300,0.174698,107.2,1.0000,nan,49.025,1,0.0000,434.0,0,0,0.00841
231980,-1.466758,208.6,0.0000,nan,105.326,1,1.0000,581.0,0,0,0.03564
237776,-1.498363,181.2,1.0000,nan,38.084,1,0.0000,399.0,0,0,0.00094
248052,-1.066170,139.2,0.6667,nan,31.725,3,0.0000,389.7,0,0,0.01946
258692,-2.456115,195.0,0.0000,nan,106.403,1,1.0000,585.0,0,0,0.12719
264404,-1.268421,152.0,0.0000,nan,41.048,1,0.0000,405.0,0,0,0.01072
275016,-0.677839,149.1,1.0000,nan,36.827,2,0.0000,400.0,0,0,0.00279
280364,-1.043924,145.5,0.0000,nan,38.302,1,0.0000,397.0,0,0,0.09045
286412,-0.657644,102.6,0.0000,nan,39.681,1,0.0000,404.0,0,0,0.05528
296800,-1.514719,148.3,0.0000,nan,102.406,1,1.0000,576.0,0,0,0.10161
302764,-2.173580,151.7,0.0000,nan,43.145,1,0.0000,408.0,0,0,0.04877
307860,-0.090570,97.9,1.0000,nan,34.042,1,0.0000,389.0,0,0,0.00726
318080,-0.388216,143.6,1.0000,nan,34.542,2,0.0000,393.5,0,0,0.00672
328440,-1.787189,195.4,0.0000,nan,37.504,1,0.0000,396.0,0,0,0.03556
333480,-0.813480,142.6,0.0000,nan,31.904,1,0.0000,384.0,0,0,0.01084
344120,-1.203707,149.4,0.0000,nan,103.399,1,1.0000,578.0,0,0,0.07866
349160,-1.535896,143.6,0.0000,nan,37.130,1,0.0000,396.0,0,0,0.03453
354424,0.071182,92.8,1.0000,nan,35.990,1,0.0000,393.0,0,0,0.00567
359800,0.332820,95.4,1.0000,nan,36.773,1,0.0000,397.0,0,0,0.00084
365624,-0.326004,100.5,1.0000,nan,40.773,1,0.0000,407.0,0,0,0.00193
371168,0.386602,101.4,1.0000,nan,37.799,1,0.0000,399.0,0,0,0.00079
376824,0.746944,100.2,1.0000,nan,37.322,1,0.0000,398.0,0,0,0.00484
382480,-0.094529,101.5,0.0000,nan,38.140,1,0.0000,400.0,0,0,0.08183
393064,-1.153920,159.3,0.5000,nan,41.809,2,0.0000,414.0,0,0,0.02988
398104,-1.061172,151.0,0.0000,nan,36.111,1,0.0000,392.0,0,0,0.02617
408856,-0.934908,150.6,0.0000,nan,107.592,1,1.0000,581.0,0,0,0.08370
415324,-1.337110,159.4,1.0000,nan,40.113,1,0.0000,401.0,0,0,0.03345
420336,0.143792,102.8,1.0000,nan,39.583,1,0.0000,402.0,0,0,0.01216
427084,0.677106,108.2,1.0000,nan,38.026,1,0.0000,397.0,0,0,0.00020
432796,0.688518,113.1,1.0000,nan,39.194,1,0.0000,401.0,0,0,0.00168
438536,0.272069,102.5,0.0000,nan,40.104,1,0.0000,405.0,0,0,0.04324
443800,-0.664876,97.9,0.0000,nan,35.402,1,0.0000,394.0,0,0,0.03217
449652,-0.761349,100.0,0.0000,nan,36.669,1,0.0000,396.0,0,0,0.12259
456344,0.301055,114.0,1.0000,nan,39.455,1,0.0000,404.0,0,0,0.00185
461664,0.714843,107.8,1.0000,nan,37.240,1,0.0000,397.0,0,0,0.00789
467544,0.750234,100.7,1.0000,nan,41.732,1,0.0000,409.0,0,0,0.00046
472612,0.261974,97.2,1.0000,nan,34.791,1,0.0000,389.0,0,0,0.00714
477848,0.219137,92.5,1.0000,nan,35.421,1,0.0000,392.0,0,0,0.00844
488124,-0.115164,145.3,0.0000,nan,100.088,1,1.0000,573.0,0,0,0.02031
493808,-0.298420,148.5,1.0000,nan,45.222,1,0.0000,420.0,0,0,0.03796
499492,-0.326132,103.6,0.0000,nan,40.649,1,0.0000,405.0,0,0,0.13976
504700,-0.184500,97.0,1.0000,nan,34.547,1,0.0000,391.0,0,0,0.01374
514752,-0.648659,141.6,0.0000,nan,97.841,1,1.0000,564.0,0,0,0.03006
520128,-0.854130,142.1,1.0000,nan,38.733,1,0.0000,398.0,0,0,0.00151
525756,-0.175375,98.6,1.0000,nan,37.565,1,0.0000,398.0,0,0,0.00434
536256,-1.633943,148.2,0.5000,nan,36.905,2,0.0000,398.0,0,0,0.02806
541940,-1.854086,149.3,0.0000,nan,41.628,1,0.0000,405.0,0,0,0.12176
547372,-0.496008,99.3,1.0000,nan,37.249,1,0.0000,395.0,0,0,0.00056
553980,-0.156245,109.1,0.0000,nan,41.058,1,0.0000,404.0,0,0,0.05958
559020,0.404407,104.1,1.0000,nan,37.513,1,0.0000,392.0,0,0,0.00508
564788,0.717363,97.4,1.0000,nan,40.664,1,0.0000,403.0,0,0,0.00073
570528,0.699414,102.8,1.0000,nan,44.209,1,0.0000,411.0,0,0,0.00867
580804,-2.925014,141.9,0.0000,nan,33.771,2,0.0000,387.0,0,0,0.06965
587720,-2.447006,157.6,1.0000,nan,59.792,1,0.0000,452.0,0,0,0.02293
593432,0.537188,114.8,1.0000,nan,41.477,1,0.0000,405.0,0,0,0.00179
599172,-0.143994,102.5,0.0000,nan,40.828,1,0.0000,402.0,0,0,0.03157
605584,-0.542718,109.4,1.0000,nan,37.483,1,0.0000,395.0,0,0,0.00965
611436,0.156828,111.4,1.0000,nan,38.265,1,0.0000,396.0,0,0,0.00176
621992,-3.152419,149.8,0.0000,nan,37.903,2,0.0000,398.5,0,0,0.09042
627424,-2.920357,146.2,0.0000,nan,36.992,1,0.0000,393.0,0,0,0.04917
633332,0.041942,102.4,0.0000,nan,43.306,1,0.0000,408.0,0,0,0.03621
638484,-0.189264,98.1,0.0000,nan,37.863,1,0.0000,394.0,0,0,0.09383
643748,-0.574641,93.2,0.0000,nan,38.323,1,0.0000,394.0,0,0,0.06246
659092,-2.440907,194.9,0.0000,nan,109.378,1,1.0000,574.0,0,0,0.07774
664944,-1.328930,179.2,1.0000,nan,34.260,1,0.0000,385.0,0,0,0.00174
670600,0.010625,105.0,0.0000,nan,38.921,1,0.0000,398.0,0,0,0.10542
680820,-1.069844,142.0,1.0000,nan,35.046,3,0.0000,391.7,0,0,0.00424
686056,-1.584297,144.4,1.0000,nan,37.532,1,0.0000,393.0,0,0,0.00341
691712,-0.231419,97.9,1.0000,nan,39.100,1,0.0000,398.0,0,0,0.00205
697172,-0.593764,99.5,0.0000,nan,38.601,1,0.0000,397.0,0,0,0.03296
702576,0.037153,97.1,1.0000,nan,39.518,1,0.0000,399.0,0,0,0.00518
713300,-1.504237,151.8,0.0000,nan,107.780,1,1.0000,584.0,0,0,0.13252
718900,-1.455520,151.7,1.0000,nan,42.070,1,0.0000,407.0,0,0,0.00098
729064,-0.736607,143.0,0.5000,nan,34.529,2,0.0000,390.0,0,0,0.01037
739760,-3.720866,179.0,1.0000,nan,107.770,1,1.0000,583.0,0,0,0.35214
745584,-2.585418,153.5,1.0000,nan,43.780,1,0.0000,411.0,0,0,0.00034
750372,0.246387,94.4,0.0000,nan,37.332,1,0.0000,394.0,0,0,0.15756
757008,-1.034750,104.9,0.0000,nan,37.787,1,0.0000,396.0,0,0,0.16018
762692,-0.757688,111.8,1.0000,nan,39.956,1,0.0000,401.0,0,0,0.01076
768908,-0.475397,107.0,0.0000,nan,48.587,1,0.0000,422.0,0,0,0.08395
774536,0.058001,106.3,1.0000,nan,38.526,1,0.0000,398.0,0,0,0.00175
