timestep,correct_full,correct_random,correct_kv_norm,correct_learned,retention,evict_attn_percentile,evict_mean_pos_frac,evict_sink_frac,evict_generated_frac,truncation_rate
43064,1.0000,0.5000,0.5625,0.4375,0.4375,nan,0.3229,0.0000,0.0172,0.0000
89796,1.0000,0.5000,0.5625,0.4375,0.4375,nan,0.2797,0.0000,0.0000,0.0000
150640,1.0000,0.5000,0.5625,0.5000,0.5000,nan,0.3769,0.0000,0.1413,0.1250
198856,1.0000,0.5000,0.5625,0.0000,0.0000,nan,0.7181,0.0000,0.6820,0.9375
264404,1.0000,0.5000,0.5625,0.0000,0.0000,nan,0.7184,0.0000,0.6891,1.0000
328440,1.0000,0.5000,0.5625,0.1250,0.1250,nan,0.7695,0.0000,0.7252,0.8750
376824,1.0000,0.5000,0.5625,0.0000,0.0000,nan,0.7581,0.0000,0.7327,1.0000
432796,1.0000,0.5000,0.5625,0.0625,0.0625,nan,0.7149,0.0000,0.6897,0.8125
477848,1.0000,0.5000,0.5625,0.6250,0.6250,nan,0.4429,0.0000,0.1700,0.0000
536256,1.0000,0.5000,0.5625,0.8750,0.8750,nan,0.4522,0.0000,0.1955,0.1250
587720,1.0000,0.5000,0.5625,0.5000,0.5000,nan,0.4840,0.0000,0.2662,0.1875
638484,1.0000,0.5000,0.5625,0.7500,0.7500,nan,0.6153,0.0000,0.4319,0.1250
697172,1.0000,0.5000,0.5625,0.6250,0.6250,nan,0.5521,0.0000,0.3166,0.1875
757008,1.0000,0.5000,0.5625,0.5625,0.5625,nan,0.5823,0.0000,0.3216,0.1250
809648,1.0000,0.5000,0.5625,0.6875,0.6875,nan,0.5620,0.0000,0.3914,0.3750
862708,1.0000,0.5000,0.5625,0.6875,0.6875,nan,0.6717,0.0000,0.4954,0.1875
911764,1.0000,0.5000,0.5625,0.5625,0.5625,nan,0.5816,0.0000,0.3571,0.3125
964460,1.0000,0.5000,0.5625,0.3125,0.3125,nan,0.5897,0.0000,0.4232,0.5000
1012788,1.0000,0.5000,0.5625,0.4375,0.4375,nan,0.5295,0.0000,0.3207,0.3750
1066996,1.0000,0.5000,0.5625,0.8125,0.8125,nan,0.4104,0.0000,0.1260,0.0625
1119384,1.0000,0.5000,0.5625,0.5625,0.5625,nan,0.4888,0.0000,0.2108,0.1250
1178912,1.0000,0.5000,0.5625,0.4375,0.4375,nan,0.4785,0.0000,0.2958,0.3750
1244096,1.0000,0.5000,0.5625,0.4375,0.4375,nan,0.4775,0.0000,0.2833,0.2500
1298304,1.0000,0.5000,0.5625,0.6250,0.6250,nan,0.5513,0.0000,0.3719,0.2500
1351672,1.0000,0.5000,0.5625,0.5000,0.5000,nan,0.4616,0.0000,0.1806,0.0000
1411144,1.0000,0.5000,0.5625,0.7500,0.7500,nan,0.5223,0.0000,0.2687,0.0625
1462384,1.0000,0.5000,0.5625,0.5625,0.5625,nan,0.5479,0.0000,0.3515,0.1875
1510824,1.0000,0.5000,0.5625,0.6875,0.6875,nan,0.6292,0.0000,0.5150,0.3750
1564304,1.0000,0.5000,0.5625,0.8125,0.8125,nan,0.6501,0.0000,0.5120,0.1250
1620948,1.0000,0.5000,0.5625,0.3125,0.3125,nan,0.6075,0.0000,0.4782,0.5625
1678180,1.0000,0.5000,0.5625,0.2500,0.2500,nan,0.6718,0.0000,0.5467,0.3750
1728440,1.0000,0.5000,0.5625,0.4375,0.4375,nan,0.6843,0.0000,0.5482,0.3750
1785364,1.0000,0.5000,0.5625,0.4375,0.4375,nan,0.6969,0.0000,0.5965,0.3125
1828344,1.0000,0.5000,0.5625,0.2500,0.2500,nan,0.6313,0.0000,0.5519,0.7500
1892380,1.0000,0.5000,0.5625,0.6250,0.6250,nan,0.5885,0.0000,0.4861,0.3750
1943312,1.0000,0.5000,0.5625,0.6875,0.6875,nan,0.7051,0.0000,0.6127,0.2500
1998220,1.0000,0.5000,0.5625,0.5625,0.5625,nan,0.5607,0.0000,0.3886,0.2500
2064440,1.0000,0.5000,0.5625,0.5000,0.5000,nan,0.5718,0.0000,0.3671,0.1875
2120048,1.0000,0.5000,0.5625,0.3125,0.3125,nan,0.5900,0.0000,0.4059,0.3125
2174900,1.0000,0.5000,0.5625,0.2500,0.2500,nan,0.6122,0.0000,0.4606,0.4375
2234120,1.0000,0.5000,0.5625,0.5000,0.5000,nan,0.5873,0.0000,0.3500,0.1875
2305800,1.0000,0.5000,0.5625,0.5000,0.5000,nan,0.5778,0.0000,0.2935,0.0000
2363816,1.0000,0.5000,0.5625,0.5000,0.5000,nan,0.6180,0.0000,0.3453,0.0625
2422252,1.0000,0.5000,0.5625,0.3125,0.3125,nan,0.5985,0.0000,0.3147,0.1250
2474024,1.0000,0.5000,0.5625,0.3750,0.3750,nan,0.6208,0.0000,0.3222,0.1250
2527980,1.0000,0.5000,0.5625,0.5625,0.5625,nan,0.6548,0.0000,0.3777,0.1250
2576644,1.0000,0.5000,0.5625,0.6250,0.6250,nan,0.6881,0.0000,0.5178,0.3125
2631972,1.0000,0.5000,0.5625,0.4375,0.4375,nan,0.6896,0.0000,0.5491,0.3750
2687860,1.0000,0.5000,0.5625,0.1875,0.1875,nan,0.6948,0.0000,0.6206,0.8125
2736104,1.0000,0.5000,0.5625,0.7500,0.7500,nan,0.6827,0.0000,0.4761,0.1250
2796248,1.0000,0.5000,0.5625,0.7500,0.7500,nan,0.7323,0.0000,0.6074,0.1250
2851268,1.0000,0.5000,0.5625,0.8125,0.8125,nan,0.7742,0.0000,0.6835,0.0000
2899120,1.0000,0.5000,0.5625,0.9375,0.9375,nan,0.7696,0.0000,0.6481,0.0625
2948456,1.0000,0.5000,0.5625,0.6250,0.6250,nan,0.7584,0.0000,0.6665,0.2500
3007032,1.0000,0.5000,0.5625,0.3125,0.3125,nan,0.7389,0.0000,0.6966,0.6250
