timestep,ep_rew_mean,ep_len_mean,correctness_rate,alignment_mean,episode_seconds_mean,episodes,truncation_rate,context_size_mean,examples_seen,dataset_pass,kl_step_mean
5208,0.217670,93.0,1.0000,nan,26.541,1,0.0000,392.0,0,0,0.00357
10276,0.467405,91.8,1.0000,nan,24.949,1,0.0000,386.0,0,0,0.00339
15540,0.363670,93.1,1.0000,nan,26.522,1,0.0000,393.0,0,0,0.00670
21196,0.060984,98.2,1.0000,nan,27.917,1,0.0000,398.0,0,0,0.00129
26712,-0.234125,100.1,0.0000,nan,27.818,1,0.0000,398.0,0,0,0.05923
31864,-0.140369,95.0,1.0000,nan,25.847,1,0.0000,389.0,0,0,0.00983
42588,-0.635589,151.4,0.5000,nan,29.593,2,0.0000,405.0,0,0,0.03420
48188,-0.286235,150.3,1.0000,nan,27.380,1,0.0000,395.0,0,0,0.00936
54740,0.316537,110.2,0.0000,nan,40.730,1,0.0000,444.0,0,0,0.07584
65128,-0.451828,155.3,1.0000,nan,78.316,1,1.0000,583.0,0,0,0.29244
70868,-0.200186,152.7,1.0000,nan,32.395,1,0.0000,411.0,0,0,0.00458
77280,0.015915,110.1,0.0000,nan,28.367,1,0.0000,397.0,0,0,0.10010
87416,-0.442553,146.6,0.6667,nan,25.772,3,0.0000,392.0,0,0,0.01043
93268,-0.306674,153.9,1.0000,nan,30.681,1,0.0000,405.0,0,0,0.00577
103992,-0.551716,151.2,0.5000,nan,28.165,2,0.0000,400.0,0,0,0.04261
109844,-0.192131,153.0,1.0000,nan,27.795,1,0.0000,396.0,0,0,0.01040
116536,0.399939,114.0,0.0000,nan,30.162,1,0.0000,404.0,0,0,0.05496
121856,0.553980,107.8,1.0000,nan,28.121,1,0.0000,397.0,0,0,0.00401
127736,0.774153,100.7,1.0000,nan,32.166,1,0.0000,409.0,0,0,0.00615
134400,0.096290,113.2,0.0000,nan,39.322,1,0.0000,436.0,0,0,0.02580
139636,0.229559,106.6,1.0000,nan,27.109,1,0.0000,392.0,0,0,0.00539
149912,-0.508879,144.2,0.0000,nan,76.112,1,1.0000,573.0,0,0,0.12159
154924,-1.003547,141.5,0.0000,nan,21.082,1,0.0000,384.0,0,0,0.02627
160412,0.270953,95.0,1.0000,nan,24.697,1,0.0000,398.0,0,0,0.00173
171080,-0.833410,144.8,0.0000,nan,76.356,1,1.0000,584.0,0,0,0.09982
181328,-0.610101,174.6,1.0000,nan,25.774,2,0.0000,397.0,0,0,0.00059
191996,-0.914825,177.0,0.5000,nan,26.057,2,0.0000,398.0,0,0,0.05011
197540,-0.267892,150.5,1.0000,nan,25.967,1,0.0000,401.0,0,0,0.00427
202664,0.765449,94.9,1.0000,nan,23.082,1,0.0000,389.0,0,0,0.00474
213304,-1.038295,149.3,0.0000,nan,72.212,1,1.0000,576.0,0,0,0.24172
223888,-1.053286,175.3,1.0000,nan,25.616,2,0.0000,399.5,0,0,0.01026
229236,-0.883206,144.2,0.0000,nan,22.445,1,0.0000,389.0,0,0,0.07718
234836,-0.053906,98.9,1.0000,nan,26.442,1,0.0000,403.0,0,0,0.00429
245616,-0.433540,150.7,0.5000,nan,27.610,2,0.0000,403.0,0,0,0.04979
