timestep,correct_full,correct_random,correct_kv_norm,correct_learned,retention,evict_attn_percentile,evict_mean_pos_frac,evict_sink_frac,evict_generated_frac,truncation_rate
47908,1.0000,0.6875,0.6250,0.0625,0.0625,nan,0.8314,0.0000,0.8152,0.8125
103432,1.0000,0.6875,0.6250,0.5625,0.5625,nan,0.2767,0.0000,0.0000,0.0000
176512,1.0000,0.6875,0.6250,0.5625,0.5625,nan,0.2767,0.0000,0.0000,0.0000
234752,1.0000,0.6875,0.6250,0.5625,0.5625,nan,0.2805,0.0000,0.0000,0.0000
287364,1.0000,0.6875,0.6250,0.5000,0.5000,nan,0.3047,0.0000,0.0085,0.0000
353752,1.0000,0.6875,0.6250,0.5625,0.5625,nan,0.3986,0.0000,0.0762,0.0000
402640,1.0000,0.6875,0.6250,0.4375,0.4375,nan,0.3848,0.0000,0.0397,0.0000
458360,1.0000,0.6875,0.6250,0.4375,0.4375,nan,0.2972,0.0000,0.0065,0.0000
502516,1.0000,0.6875,0.6250,0.5000,0.5000,nan,0.4176,0.0000,0.1328,0.0625
552468,1.0000,0.6875,0.6250,0.5625,0.5625,nan,0.5455,0.0000,0.2928,0.1250
607544,1.0000,0.6875,0.6250,0.4375,0.4375,nan,0.5696,0.0000,0.2739,0.1250
656908,1.0000,0.6875,0.6250,0.6875,0.6875,nan,0.6542,0.0000,0.4424,0.0625
706972,1.0000,0.6875,0.6250,0.5625,0.5625,nan,0.4718,0.0000,0.0377,0.0000
767004,1.0000,0.6875,0.6250,0.5000,0.5000,nan,0.4375,0.0000,0.1332,0.0625
822108,1.0000,0.6875,0.6250,0.6875,0.6875,nan,0.6776,0.0000,0.5600,0.3750
872900,1.0000,0.6875,0.6250,0.5000,0.5000,nan,0.6419,0.0000,0.4699,0.0000
936908,1.0000,0.6875,0.6250,0.8125,0.8125,nan,0.6089,0.0000,0.4253,0.0000
982352,1.0000,0.6875,0.6250,0.7500,0.7500,nan,0.5921,0.0000,0.4029,0.0000
1042748,1.0000,0.6875,0.6250,0.8125,0.8125,nan,0.3308,0.0000,0.1003,0.0625
1092588,1.0000,0.6875,0.6250,0.6875,0.6875,nan,0.4430,0.0000,0.1947,0.1250
1146992,1.0000,0.6875,0.6250,0.6250,0.6250,nan,0.4067,0.0000,0.1907,0.1250
