timestep,correct_full,correct_random,correct_kv_norm,correct_learned,retention,evict_attn_percentile,evict_mean_pos_frac,evict_sink_frac,evict_generated_frac,truncation_rate
77448,1.0000,0.0000,0.0000,0.0000,0.0000,nan,0.6137,0.0000,0.4862,1.0000
170884,1.0000,0.0000,0.0000,0.0000,0.0000,nan,0.8995,0.0000,0.8597,0.0000
266532,1.0000,0.0000,0.0000,0.0000,0.0000,nan,0.7063,0.0000,0.5580,1.0000
343812,1.0000,0.0000,0.0000,0.0000,0.0000,nan,0.7945,0.0000,0.7232,1.0000
451780,1.0000,0.0000,0.0000,0.0000,0.0000,nan,0.6323,0.0000,0.4749,1.0000
542388,1.0000,0.0000,0.0000,0.0000,0.0000,nan,0.4993,0.0000,0.1144,0.0000
637280,1.0000,0.0000,0.0000,1.0000,1.0000,nan,0.5842,0.0000,0.2554,0.0000
721168,1.0000,0.0000,0.0000,0.0000,0.0000,nan,0.5017,0.0000,0.2155,0.0000
816032,1.0000,0.0000,0.0000,1.0000,1.0000,nan,0.6611,0.0000,0.3655,0.0000
893396,1.0000,0.0000,0.0000,1.0000,1.0000,nan,0.7915,0.0000,0.7109,0.0000
990444,1.0000,0.0000,0.0000,0.0000,0.0000,nan,0.7403,0.0000,0.6908,1.0000
1090264,1.0000,0.0000,0.0000,1.0000,1.0000,nan,0.6330,0.0000,0.3036,0.0000
1170764,1.0000,0.0000,0.0000,1.0000,1.0000,nan,0.6502,0.0000,0.3319,0.0000
1272012,1.0000,0.0000,0.0000,1.0000,1.0000,nan,0.6741,0.0000,0.4742,0.0000
1372588,1.0000,0.0000,0.0000,1.0000,1.0000,nan,0.5920,0.0000,0.2601,0.0000
1461432,1.0000,0.0000,0.0000,1.0000,1.0000,nan,0.6477,0.0000,0.3696,0.0000
1556884,1.0000,0.0000,0.0000,1.0000,1.0000,nan,0.6268,0.0000,0.3524,0.0000
1636852,1.0000,0.0000,0.0000,0.0000,0.0000,nan,0.7351,0.0000,0.6862,1.0000
1735216,1.0000,0.0000,0.0000,0.0000,0.0000,nan,0.6806,0.0000,0.5804,1.0000
