timestep,ep_rew_mean,ep_len_mean,correctness_rate,alignment_mean,episode_seconds_mean,episodes,truncation_rate,context_size_mean,examples_seen,dataset_pass,kl_step_mean
845796,0.477315,93.7,0.0000,nan,26.604,1,0.0000,391.0,0,0,0.02010
855848,-0.255951,141.4,0.5000,nan,24.705,2,0.0000,389.0,0,0,0.02335
861224,-0.463097,145.0,0.0000,nan,27.691,1,0.0000,396.0,0,0,0.05769
866908,0.576671,99.2,1.0000,nan,29.867,1,0.0000,407.0,0,0,0.00225
872452,0.775498,100.6,1.0000,nan,27.843,1,0.0000,399.0,0,0,0.00548
878108,0.764898,100.2,1.0000,nan,27.367,1,0.0000,398.0,0,0,0.00715
883792,0.747008,101.8,1.0000,nan,28.488,1,0.0000,401.0,0,0,0.01335
889364,0.418297,100.6,1.0000,nan,27.362,1,0.0000,395.0,0,0,0.00053
894544,0.433658,96.2,1.0000,nan,27.000,1,0.0000,395.0,0,0,0.00421
899892,0.781802,94.4,1.0000,nan,28.765,1,0.0000,403.0,0,0,0.00058
905632,0.771844,100.2,1.0000,nan,31.062,1,0.0000,411.0,0,0,0.00794
910896,0.370450,98.6,1.0000,nan,27.427,1,0.0000,397.0,0,0,0.00225
917056,0.164779,103.2,0.0000,nan,39.202,1,0.0000,443.0,0,0,0.09812
927528,-0.168334,156.6,0.0000,nan,78.070,1,1.0000,579.0,0,0,0.02272
933184,-0.608938,151.0,0.0000,nan,24.458,1,0.0000,398.0,0,0,0.04704
938504,0.267646,98.1,1.0000,nan,23.998,1,0.0000,395.0,0,0,0.00164
945700,0.198253,113.9,1.0000,nan,24.016,1,0.0000,396.0,0,0,0.01654
951300,0.193672,116.6,1.0000,nan,26.177,1,0.0000,404.0,0,0,0.00301
956620,0.440015,97.6,0.0000,nan,23.874,1,0.0000,395.0,0,0,0.03604
967456,-0.457743,152.8,0.0000,nan,74.312,1,1.0000,581.0,0,0,0.06741
972608,-0.485188,146.6,1.0000,nan,24.506,1,0.0000,395.0,0,0,0.00414
979020,0.181415,104.8,0.0000,nan,34.003,1,0.0000,434.0,0,0,0.07511
984536,0.344887,107.8,1.0000,nan,24.509,1,0.0000,398.0,0,0,0.00096
994672,-0.251963,145.1,1.0000,nan,24.572,2,0.0000,394.0,0,0,0.03257
1005340,-0.379660,175.9,1.0000,nan,26.216,2,0.0000,398.5,0,0,0.01187
1020376,-1.762113,242.0,0.0000,nan,71.785,1,1.0000,564.0,0,0,0.10735
1025640,-0.773889,171.4,1.0000,nan,26.786,1,0.0000,393.0,0,0,0.00988
1031324,0.739716,98.4,1.0000,nan,28.167,1,0.0000,398.0,0,0,0.00765
1036812,0.056581,100.1,0.0000,nan,27.797,1,0.0000,398.0,0,0,0.04271
1042188,-0.086993,97.0,0.0000,nan,28.250,1,0.0000,398.0,0,0,0.01174
1052912,-0.641542,151.6,0.0000,nan,78.578,1,1.0000,584.0,0,0,0.06784
1058484,-0.668631,151.4,0.0000,nan,30.886,1,0.0000,406.0,0,0,0.06039
1063608,-0.309923,95.7,0.0000,nan,25.971,1,0.0000,391.0,0,0,0.08313
1073940,-0.491858,146.8,1.0000,nan,74.336,1,1.0000,568.0,0,0,0.21325
1080492,-0.761575,156.6,0.0000,nan,38.933,1,0.0000,437.0,0,0,0.09128
1090348,-0.948065,160.9,0.5000,nan,33.484,2,0.0000,421.5,0,0,0.08214
1095640,-0.897386,147.8,0.0000,nan,28.419,1,0.0000,397.0,0,0,0.09668
1101380,-0.196934,99.2,0.0000,nan,29.209,1,0.0000,402.0,0,0,0.14711
1112076,-0.459383,150.8,0.5000,nan,27.708,2,0.0000,399.5,0,0,0.04248
1117368,-0.501373,147.4,1.0000,nan,27.614,1,0.0000,395.0,0,0,0.01259
1127952,-0.307989,147.9,1.0000,nan,27.832,2,0.0000,400.5,0,0,0.00428
1133412,-0.378619,147.0,1.0000,nan,27.467,1,0.0000,395.0,0,0,0.00441
1139348,0.461665,102.7,1.0000,nan,31.873,1,0.0000,409.0,0,0,0.00132
1144528,0.133823,98.7,0.0000,nan,24.975,1,0.0000,388.0,0,0,0.05243
1149680,-0.057413,92.9,1.0000,nan,27.068,1,0.0000,395.0,0,0,0.00066
1155056,0.584114,94.5,1.0000,nan,27.416,1,0.0000,396.0,0,0,0.00515
1160292,0.080142,94.7,0.0000,nan,26.208,1,0.0000,392.0,0,0,0.05116
1166004,-0.182210,98.6,0.0000,nan,28.661,1,0.0000,400.0,0,0,0.09714
1171212,0.221372,97.3,1.0000,nan,28.338,1,0.0000,399.0,0,0,0.00089
1176448,0.593809,93.9,1.0000,nan,27.459,1,0.0000,397.0,0,0,0.00760
1181656,0.362710,93.5,1.0000,nan,26.825,1,0.0000,393.0,0,0,0.00407
1187284,-0.374606,97.3,0.0000,nan,28.464,1,0.0000,397.0,0,0,0.08798
1192800,0.183069,99.9,1.0000,nan,28.294,1,0.0000,398.0,0,0,0.01125
1198204,0.763623,97.6,1.0000,nan,28.434,1,0.0000,399.0,0,0,0.00124
1203552,0.383394,96.1,0.0000,nan,28.405,1,0.0000,398.0,0,0,0.04423
1209040,0.055143,97.1,0.0000,nan,29.645,1,0.0000,403.0,0,0,0.08806
