timestep,correct_full,correct_random,correct_kv_norm,correct_learned,retention,evict_attn_percentile,evict_mean_pos_frac,evict_sink_frac,evict_generated_frac,truncation_rate
63756,1.0000,0.6250,0.6875,0.3125,0.3125,nan,0.7509,0.0000,0.7220,0.4375
115024,1.0000,0.6250,0.6875,0.5000,0.5000,nan,0.4078,0.0000,0.1712,0.0000
164696,1.0000,0.6250,0.6875,0.6250,0.6250,nan,0.5164,0.0000,0.3370,0.3750
212828,1.0000,0.6250,0.6875,0.7500,0.7500,nan,0.6675,0.0000,0.4917,0.1875
262360,1.0000,0.6250,0.6875,0.4375,0.4375,nan,0.5167,0.0000,0.2345,0.1875
318696,1.0000,0.6250,0.6875,0.5000,0.5000,nan,0.5660,0.0000,0.2446,0.0625
361172,1.0000,0.6250,0.6875,0.4375,0.4375,nan,0.5815,0.0000,0.3278,0.1875
409248,1.0000,0.6250,0.6875,0.5625,0.5625,nan,0.5784,0.0000,0.3156,0.1250
454244,1.0000,0.6250,0.6875,0.7500,0.7500,nan,0.6832,0.0000,0.5215,0.1250
513324,1.0000,0.6250,0.6875,0.5625,0.5625,nan,0.7087,0.0000,0.6111,0.3750
587524,1.0000,0.6250,0.6875,0.6250,0.6250,nan,0.6626,0.0000,0.5103,0.1875
635712,1.0000,0.6250,0.6875,0.8125,0.8125,nan,0.6252,0.0000,0.4778,0.2500
719404,1.0000,0.6250,0.6875,0.6875,0.6875,nan,0.6108,0.0000,0.4357,0.2500
768824,1.0000,0.6250,0.6875,0.7500,0.7500,nan,0.5851,0.0000,0.3407,0.0000
820064,1.0000,0.6250,0.6875,0.6250,0.6250,nan,0.6316,0.0000,0.4709,0.1250
889364,1.0000,0.6250,0.6875,0.6875,0.6875,nan,0.6481,0.0000,0.4598,0.1250
938504,1.0000,0.6250,0.6875,0.4375,0.4375,nan,0.6133,0.0000,0.4871,0.5000
994672,1.0000,0.6250,0.6875,0.5000,0.5000,nan,0.6361,0.0000,0.4895,0.3125
1058484,1.0000,0.6250,0.6875,0.5000,0.5000,nan,0.6442,0.0000,0.4704,0.2500
1117368,1.0000,0.6250,0.6875,0.4375,0.4375,nan,0.6785,0.0000,0.5769,0.5625
1166004,1.0000,0.6250,0.6875,0.6250,0.6250,nan,0.6698,0.0000,0.5033,0.2500
1209040,1.0000,0.6250,0.6875,0.5000,0.5000,nan,0.6850,0.0000,0.5382,0.3125
1267756,1.0000,0.6250,0.6875,0.4375,0.4375,nan,0.6838,0.0000,0.5832,0.6250
1347836,1.0000,0.6250,0.6875,0.8125,0.8125,nan,0.6899,0.0000,0.5251,0.2500
1396080,1.0000,0.6250,0.6875,0.6875,0.6875,nan,0.6869,0.0000,0.5205,0.1875
1444576,1.0000,0.6250,0.6875,0.6250,0.6250,nan,0.6998,0.0000,0.5547,0.2500
1494136,1.0000,0.6250,0.6875,0.6875,0.6875,nan,0.6717,0.0000,0.5339,0.3750
1536892,1.0000,0.6250,0.6875,0.5625,0.5625,nan,0.6851,0.0000,0.5199,0.1875
1597484,1.0000,0.6250,0.6875,0.6250,0.6250,nan,0.6734,0.0000,0.5224,0.1875
1653960,1.0000,0.6250,0.6875,0.6250,0.6250,nan,0.7033,0.0000,0.5406,0.1250
1701308,1.0000,0.6250,0.6875,0.6250,0.6250,nan,0.6932,0.0000,0.5403,0.1875
1766716,1.0000,0.6250,0.6875,0.6875,0.6875,nan,0.7162,0.0000,0.5625,0.1250
1832264,1.0000,0.6250,0.6875,0.5625,0.5625,nan,0.6802,0.0000,0.5344,0.2500
1879976,1.0000,0.6250,0.6875,0.7500,0.7500,nan,0.6787,0.0000,0.4960,0.0625
1924720,1.0000,0.6250,0.6875,0.6250,0.6250,nan,0.6725,0.0000,0.5304,0.2500
1974840,1.0000,0.6250,0.6875,0.5625,0.5625,nan,0.6723,0.0000,0.5534,0.3750
2037812,1.0000,0.6250,0.6875,0.5625,0.5625,nan,0.6842,0.0000,0.5422,0.2500
2087260,1.0000,0.6250,0.6875,0.6875,0.6875,nan,0.6638,0.0000,0.5189,0.3125
2142756,1.0000,0.6250,0.6875,0.6250,0.6250,nan,0.6543,0.0000,0.5005,0.1875
2194528,1.0000,0.6250,0.6875,0.5625,0.5625,nan,0.6620,0.0000,0.5466,0.3125
2248876,1.0000,0.6250,0.6875,0.6250,0.6250,nan,0.6789,0.0000,0.5654,0.4375
2304736,1.0000,0.6250,0.6875,0.5000,0.5000,nan,0.6960,0.0000,0.5647,0.2500
2357796,1.0000,0.6250,0.6875,0.5000,0.5000,nan,0.6784,0.0000,0.5963,0.6250
2407020,1.0000,0.6250,0.6875,0.5000,0.5000,nan,0.6995,0.0000,0.5861,0.3750
2453220,1.0000,0.6250,0.6875,0.6875,0.6875,nan,0.6865,0.0000,0.5617,0.3125
2501520,1.0000,0.6250,0.6875,0.6250,0.6250,nan,0.6954,0.0000,0.5897,0.3125
2550548,1.0000,0.6250,0.6875,0.5625,0.5625,nan,0.6568,0.0000,0.5103,0.3125
2617356,1.0000,0.6250,0.6875,0.5625,0.5625,nan,0.6555,0.0000,0.4998,0.2500
2660588,1.0000,0.6250,0.6875,0.6250,0.6250,nan,0.6642,0.0000,0.4920,0.1875
2704576,1.0000,0.6250,0.6875,0.5625,0.5625,nan,0.6490,0.0000,0.5066,0.3125
