timestep,correct_full,correct_random,correct_kv_norm,correct_learned,retention,evict_attn_percentile,evict_mean_pos_frac,evict_sink_frac
28672,0.3333,0.1250,0.0417,0.1250,0.2500,0.2612,0.4535,0.0000
57344,0.3333,0.1250,0.0417,0.1667,0.2500,0.1695,0.5269,0.0000
86016,0.3333,0.1250,0.0417,0.0833,0.1250,0.0257,0.6329,0.0000
114688,0.3333,0.1250,0.0417,0.0833,0.1250,0.0257,0.6329,0.0000
143360,0.3333,0.1250,0.0417,0.0833,0.1250,0.2484,0.4475,0.0000
172032,0.3333,0.1250,0.0417,0.1250,0.2500,0.0180,0.6877,0.0000
200704,0.3333,0.1250,0.0417,0.1250,0.2500,0.0180,0.6877,0.0000
229376,0.3333,0.1250,0.0417,0.1250,0.2500,0.0889,0.6197,0.0000
258048,0.3333,0.1250,0.0417,0.1250,0.2500,0.0887,0.6202,0.0000
286720,0.3333,0.1250,0.0417,0.2083,0.3750,0.1102,0.5750,0.0000
315392,0.3333,0.1250,0.0417,0.1250,0.2500,0.0004,0.7859,0.0000
344064,0.3333,0.1250,0.0417,0.0000,0.0000,0.0004,0.9020,0.0000
372736,0.3333,0.1250,0.0417,0.0833,0.2500,0.0002,0.9735,0.0000
401408,0.3333,0.1250,0.0417,0.1250,0.3750,0.0018,0.9721,0.0000
430080,0.3333,0.1250,0.0417,0.0000,0.0000,0.0217,0.8780,0.0000
458752,0.3333,0.1250,0.0417,0.0417,0.1250,0.0009,0.9045,0.0000
487424,0.3333,0.1250,0.0417,0.0417,0.1250,0.0014,0.8832,0.0001
516096,0.3333,0.1250,0.0417,0.0000,0.0000,0.0005,0.9108,0.0000
