timestep,correct_full,correct_random,correct_kv_norm,correct_learned,retention,evict_attn_percentile,evict_mean_pos_frac,evict_sink_frac,evict_generated_frac
28672,0.3333,0.0000,0.0417,0.1667,0.3750,0.2455,0.4325,0.0000,0.7091
57344,0.3333,0.0000,0.0417,0.0833,0.2500,0.3089,0.4303,0.0000,0.6331
86016,0.3333,0.0000,0.0417,0.0833,0.1250,0.2862,0.5667,0.0000,0.6590
114688,0.3333,0.0000,0.0417,0.2500,0.5000,0.4752,0.2880,0.0000,0.4431
143360,0.3333,0.0000,0.0417,0.2083,0.3750,0.4871,0.2795,0.0000,0.4295
172032,0.3333,0.0000,0.0417,0.2500,0.5000,0.4872,0.2796,0.0000,0.4296
200704,0.3333,0.0000,0.0417,0.1667,0.2500,0.4871,0.2795,0.0000,0.4295
229376,0.3333,0.0000,0.0417,0.1250,0.2500,0.4456,0.3055,0.0000,0.4771
258048,0.3333,0.0000,0.0417,0.2083,0.3750,0.5045,0.2683,0.0000,0.4091
286720,0.3333,0.0000,0.0417,0.2500,0.3750,0.4929,0.2758,0.0000,0.4227
315392,0.3333,0.0000,0.0417,0.2500,0.3750,0.4929,0.2758,0.0000,0.4227
344064,0.3333,0.0000,0.0417,0.2500,0.3750,0.4929,0.2758,0.0000,0.4227
372736,0.3333,0.0000,0.0417,0.2083,0.3750,0.4810,0.2832,0.0000,0.4364
401408,0.3333,0.0000,0.0417,0.2083,0.3750,0.4810,0.2832,0.0000,0.4364
430080,0.3333,0.0000,0.0417,0.1250,0.1250,0.4267,0.3205,0.0000,0.5045
458752,0.3333,0.0000,0.0417,0.2083,0.3750,0.4810,0.2832,0.0000,0.4364
487424,0.3333,0.0000,0.0417,0.2083,0.3750,0.4810,0.2832,0.0000,0.4364
516096,0.3333,0.0000,0.0417,0.2083,0.3750,0.4810,0.2832,0.0000,0.4364
544768,0.3333,0.0000,0.0417,0.2083,0.3750,0.4810,0.2832,0.0000,0.4364
573440,0.3333,0.0000,0.0417,0.1250,0.1250,0.4267,0.3205,0.0000,0.5045
602112,0.3333,0.0000,0.0417,0.1250,0.1250,0.4267,0.3205,0.0000,0.5045
630784,0.3333,0.0000,0.0417,0.1250,0.1250,0.4267,0.3205,0.0000,0.5045
659456,0.3333,0.0000,0.0417,0.1250,0.1250,0.4267,0.3205,0.0000,0.5045
688128,0.3333,0.0000,0.0417,0.1250,0.1250,0.4267,0.3205,0.0000,0.5045
716800,0.3333,0.0000,0.0417,0.1250,0.1250,0.4267,0.3205,0.0000,0.5045
745472,0.3333,0.0000,0.0417,0.2083,0.3750,0.5045,0.2683,0.0000,0.4091
774144,0.3333,0.0000,0.0417,0.1250,0.1250,0.4267,0.3205,0.0000,0.5045
802816,0.3333,0.0000,0.0417,0.1250,0.1250,0.4267,0.3205,0.0000,0.5045
831488,0.3333,0.0000,0.0417,0.1250,0.1250,0.4267,0.3205,0.0000,0.5045
860160,0.3333,0.0000,0.0417,0.2500,0.3750,0.5098,0.2646,0.0000,0.4023
888832,0.3333,0.0000,0.0417,0.2500,0.3750,0.5098,0.2646,0.0000,0.4023
917504,0.3333,0.0000,0.0417,0.2083,0.3750,0.5045,0.2683,0.0000,0.4091
946176,0.3333,0.0000,0.0417,0.2083,0.3750,0.5045,0.2683,0.0000,0.4091
974848,0.3333,0.0000,0.0417,0.2083,0.3750,0.5045,0.2683,0.0000,0.4091
1003520,0.3333,0.0000,0.0417,0.2083,0.3750,0.5045,0.2683,0.0000,0.4091
