timestep,correct_full,correct_random,correct_kv_norm,correct_learned,retention,evict_attn_percentile,evict_mean_pos_frac,evict_sink_frac,evict_generated_frac
28672,0.4583,0.1667,0.3333,0.1250,0.0909,0.0000,0.6810,0.0000,0.9776
57344,0.4583,0.1667,0.3333,0.0417,0.0000,0.0000,0.6815,0.0000,0.9785
86016,0.4583,0.1667,0.3333,0.0417,0.0000,0.0000,0.6996,0.0000,0.9945
114688,0.4583,0.1667,0.3333,0.2083,0.2727,0.0000,0.6180,0.0000,0.9606
143360,0.4583,0.1667,0.3333,0.1250,0.2727,0.0000,0.4368,0.0000,0.6998
172032,0.4583,0.1667,0.3333,0.0833,0.1818,0.0000,0.5520,0.0000,0.8975
200704,0.4583,0.1667,0.3333,0.1250,0.1818,0.0000,0.4367,0.0000,0.7004
229376,0.4583,0.1667,0.3333,0.0417,0.0000,0.0000,0.8332,0.0000,0.9971
258048,0.4583,0.1667,0.3333,0.0833,0.0909,0.0000,0.5016,0.0000,0.8181
286720,0.4583,0.1667,0.3333,0.2083,0.2727,0.0000,0.9616,0.0000,0.9985
315392,0.4583,0.1667,0.3333,0.2083,0.2727,0.0000,0.3516,0.0000,0.5485
344064,0.4583,0.1667,0.3333,0.1667,0.0909,0.0000,0.2940,0.0000,0.4433
372736,0.4583,0.1667,0.3333,0.0833,0.0909,0.0000,0.3737,0.0000,0.5747
401408,0.4583,0.1667,0.3333,0.0833,0.1818,0.0000,0.4762,0.0000,0.7792
430080,0.4583,0.1667,0.3333,0.0833,0.1818,0.0000,0.4739,0.0000,0.7802
458752,0.4583,0.1667,0.3333,0.0417,0.0909,0.0000,0.4809,0.0000,0.7892
487424,0.4583,0.1667,0.3333,0.0833,0.1818,0.0000,0.5307,0.0000,0.8776
516096,0.4583,0.1667,0.3333,0.0417,0.0000,0.0000,0.8587,0.0000,0.9349
